Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 13:37:28.431,cf:e6:8b:14:96:06, 2015-1-1 0:16:4.745, 0.19, -0.099, -0.951, 0.305, 0.244, 0, -174.364, -13.244, 64.561, -34.542, 7.683, -8.800, 26.7, -0.10281, 0.83569, 0.53464, 0.07141,,,,
 13:37:28.553,cf:e6:8b:14:96:06, 2015-1-1 0:16:4.745, 0.19, -0.1, -0.952, 0.427, 0.061, 0, -174.359, -13.189, 64.556, -34.317, 8.108, -8.683, 26.7, -0.10281, 0.83569, 0.53464, 0.07141,,,,
 13:37:28.612,cf:e6:8b:14:96:06, 2015-1-1 0:16:4.745, 0.188, -0.1, -0.951, 0.183, 0.244, 0, -174.348, -13.129, 64.55, -34.317, 8.108, -8.683, 26.7, -0.10236, 0.83588, 0.53458, 0.07025,,,,
 13:37:28.761,cf:e6:8b:14:96:06, 2015-1-1 0:16:4.980, 0.188, -0.101, -0.951, 0, 0.854, 0, -174.32, -13.151, 64.545, -34.317, 8.108, -8.683, 26.7, -0.10236, 0.83588, 0.53458, 0.07025,,,,
 13:37:28.821,cf:e6:8b:14:96:06, 2015-1-1 0:16:4.980, 0.188, -0.101, -0.952, 0, 1.16, 0, -174.298, -13.074, 64.539, -34.708, 7.942, -8.400, 26.7, -0.10236, 0.83588, 0.53458, 0.07025,,,,
 13:37:28.971,cf:e6:8b:14:96:06, 2015-1-1 0:16:5.280, 0.188, -0.102, -0.952, 0.366, 0.549, 0, -174.287, -13.019, 64.534, -34.708, 7.942, -8.400, 26.7, -0.10223, 0.83603, 0.53452, 0.06921,,,,
 13:37:29.062,cf:e6:8b:14:96:06, 2015-1-1 0:16:5.280, 0.187, -0.103, -0.951, -0.061, 0.61, 0, -174.276, -12.964, 64.528, -34.708, 7.942, -8.400, 26.7, -0.10223, 0.83603, 0.53452, 0.06921,,,,
 13:37:29.154,cf:e6:8b:14:96:06, 2015-1-1 0:16:5.280, 0.187, -0.102, -0.951, -0.183, 0.671, 0, -174.265, -12.909, 64.523, -34.583, 7.708, -8.250, 26.7, -0.10223, 0.83603, 0.53452, 0.06921,,,,
 13:37:29.242,cf:e6:8b:14:96:06, 2015-1-1 0:16:5.280, 0.187, -0.102, -0.951, 0, 0, 0, -174.254, -12.854, 64.517, -34.583, 7.708, -8.250, 26.7, -0.10181, 0.83621, 0.53445, 0.06805,,,,
 13:37:29.361,cf:e6:8b:14:96:06, 2015-1-1 0:16:5.575, 0.187, -0.103, -0.951, 0, 0, 0, -174.238, -12.805, 64.512, -34.583, 7.708, -8.250, 26.7, -0.10181, 0.83621, 0.53445, 0.06805,,,,
 13:37:29.422,cf:e6:8b:14:96:06, 2015-1-1 0:16:5.575, 0.187, -0.102, -0.951, 0, 0, 0, -174.227, -12.75, 64.506, -34.925, 7.950, -8.025, 26.7, -0.10181, 0.83621, 0.53445, 0.06805,,,,
 13:37:29.544,cf:e6:8b:14:96:06, 2015-1-1 0:16:5.575, 0.187, -0.103, -0.952, 0, 0, 0, -174.221, -12.7, 64.501, -34.925, 7.950, -8.025, 26.7, -0.10129, 0.83643, 0.53439, 0.06662,,,,
 13:37:29.630,cf:e6:8b:14:96:06, 2015-1-1 0:16:5.905, 0.187, -0.102, -0.952, 0, 0, 0, -174.21, -12.656, 64.501, -34.925, 7.950, -8.025, 26.7, -0.10129, 0.83643, 0.53439, 0.06662,,,,
 13:37:29.753,cf:e6:8b:14:96:06, 2015-1-1 0:16:5.905, 0.186, -0.102, -0.952, 0, 0, 0, -174.199, -12.607, 64.495, -34.458, 8.083, -8.192, 26.7, -0.10129, 0.83643, 0.53439, 0.06662,,,,
 13:37:29.841,cf:e6:8b:14:96:06, 2015-1-1 0:16:5.905, 0.186, -0.102, -0.951, 0, 0, 0, -174.188, -12.563, 64.49, -34.458, 8.083, -8.192, 26.7, -0.10083, 0.83661, 0.53433, 0.06549,,,,
 13:37:29.962,cf:e6:8b:14:96:06, 2015-1-1 0:16:6.175, 0.186, -0.102, -0.952, 0, 0, 0, -174.183, -12.519, 64.484, -34.458, 8.083, -8.192, 26.7, -0.10083, 0.83661, 0.53433, 0.06549,,,,
 13:37:30.021,cf:e6:8b:14:96:06, 2015-1-1 0:16:6.175, 0.186, -0.101, -0.953, 0, 0, 0, -174.177, -12.475, 64.484, -34.325, 8.533, -8.300, 26.7, -0.10083, 0.83661, 0.53433, 0.06549,,,,
 13:37:30.144,cf:e6:8b:14:96:06, 2015-1-1 0:16:6.175, 0.186, -0.101, -0.952, 0, 0, 0, -174.166, -12.431, 64.479, -34.325, 8.533, -8.300, 26.7, -0.10043, 0.83679, 0.53427, 0.06448,,,,
 13:37:30.230,cf:e6:8b:14:96:06, 2015-1-1 0:16:6.500, 0.186, -0.101, -0.952, 0, 0, 0, -174.161, -12.387, 64.473, -34.325, 8.533, -8.300, 26.7, -0.10043, 0.83679, 0.53427, 0.06448,,,,
 13:37:30.381,cf:e6:8b:14:96:06, 2015-1-1 0:16:6.500, 0.187, -0.102, -0.952, 0, 0, 0, -174.155, -12.349, 64.473, -34.717, 8.617, -7.908, 26.7, -0.10007, 0.83691, 0.53424, 0.06357,,,,
 13:37:30.441,cf:e6:8b:14:96:06, 2015-1-1 0:16:6.740, 0.187, -0.102, -0.952, 0, 0, 0, -174.144, -12.31, 64.468, -34.717, 8.617, -7.908, 26.7, -0.10007, 0.83691, 0.53424, 0.06357,,,,
 13:37:30.561,cf:e6:8b:14:96:06, 2015-1-1 0:16:6.740, 0.186, -0.101, -0.952, 0, 0, 0, -174.139, -12.272, 64.462, -34.033, 7.942, -8.708, 26.7, -0.10007, 0.83691, 0.53424, 0.06357,,,,
 13:37:30.652,cf:e6:8b:14:96:06, 2015-1-1 0:16:6.740, 0.187, -0.102, -0.952, 0, 0, 0, -174.133, -12.239, 64.462, -34.033, 7.942, -8.708, 26.7, -0.09976, 0.83704, 0.53418, 0.06287,,,,
 13:37:30.772,cf:e6:8b:14:96:06, 2015-1-1 0:16:6.975, 0.187, -0.101, -0.953, 0, 0, 0, -174.128, -12.2, 64.457, -34.033, 7.942, -8.708, 26.7, -0.09976, 0.83704, 0.53418, 0.06287,,,,
 13:37:30.832,cf:e6:8b:14:96:06, 2015-1-1 0:16:6.975, 0.187, -0.102, -0.952, 0, 0, 0, -174.122, -12.167, 64.451, -34.433, 8.067, -8.242, 26.7, -0.09976, 0.83704, 0.53418, 0.06287,,,,
 13:37:30.954,cf:e6:8b:14:96:06, 2015-1-1 0:16:6.975, 0.188, -0.102, -0.952, 0, 0, 0, -174.117, -12.134, 64.451, -34.433, 8.067, -8.242, 26.7, -0.09943, 0.83719, 0.53412, 0.06204,,,,
 13:37:31.041,cf:e6:8b:14:96:06, 2015-1-1 0:16:7.305, 0.188, -0.102, -0.952, 0, 0, 0, -174.111, -12.101, 64.446, -34.433, 8.067, -8.242, 26.7, -0.09943, 0.83719, 0.53412, 0.06204,,,,
 13:37:31.162,cf:e6:8b:14:96:06, 2015-1-1 0:16:7.305, 0.188, -0.102, -0.951, 0, 0, 0, -174.1, -12.074, 64.44, -34.242, 8.292, -8.308, 26.7, -0.09921, 0.83728, 0.53409, 0.06143,,,,
 13:37:31.252,cf:e6:8b:14:96:06, 2015-1-1 0:16:7.545, 0.189, -0.102, -0.952, 0, 0, 0, -174.095, -12.047, 64.44, -34.242, 8.292, -8.308, 26.7, -0.09921, 0.83728, 0.53409, 0.06143,,,,
 13:37:31.375,cf:e6:8b:14:96:06, 2015-1-1 0:16:7.545, 0.19, -0.102, -0.951, 0, 0, 0, -174.089, -12.025, 64.435, -34.942, 8.258, -8.675, 26.7, -0.09921, 0.83728, 0.53409, 0.06143,,,,
 13:37:31.435,cf:e6:8b:14:96:06, 2015-1-1 0:16:7.545, 0.19, -0.103, -0.951, 0, 0, 0, -174.084, -12.003, 64.429, -34.942, 8.258, -8.675, 26.7, -0.09903, 0.83737, 0.53403, 0.06094,,,,
 13:37:31.552,cf:e6:8b:14:96:06, 2015-1-1 0:16:7.780, 0.19, -0.103, -0.951, 0, 0, 0, -174.078, -11.981, 64.429, -34.942, 8.258, -8.675, 26.7, -0.09903, 0.83737, 0.53403, 0.06094,,,,
 13:37:31.642,cf:e6:8b:14:96:06, 2015-1-1 0:16:7.780, 0.191, -0.102, -0.951, 0, 0, 0, -174.073, -11.959, 64.424, -35.067, 7.642, -8.625, 26.7, -0.09903, 0.83737, 0.53403, 0.06094,,,,
 13:37:31.792,cf:e6:8b:14:96:06, 2015-1-1 0:16:7.780, 0.191, -0.103, -0.951, 0, 0, 0, -174.062, -11.937, 64.418, -35.067, 7.642, -8.625, 26.7, -0.09891, 0.83746, 0.53397, 0.06039,,,,
 13:37:31.852,cf:e6:8b:14:96:06, 2015-1-1 0:16:8.110, 0.19, -0.103, -0.95, 0, 0, 0, -174.056, -11.92, 64.418, -35.067, 7.642, -8.625, 26.7, -0.09891, 0.83746, 0.53397, 0.06039,,,,
 13:37:31.975,cf:e6:8b:14:96:06, 2015-1-1 0:16:8.110, 0.19, -0.103, -0.951, 0, 0, 0, -174.051, -11.904, 64.413, -34.292, 7.783, -7.958, 26.7, -0.09891, 0.83746, 0.53397, 0.06039,,,,
 13:37:32.063,cf:e6:8b:14:96:06, 2015-1-1 0:16:8.110, 0.19, -0.104, -0.95, 0, 0, 0, -174.045, -11.882, 64.407, -34.292, 7.783, -7.958, 26.7, -0.09879, 0.83755, 0.53387, 0.05991,,,,
 13:37:32.182,cf:e6:8b:14:96:06, 2015-1-1 0:16:8.375, 0.19, -0.103, -0.951, 0, 0, 0, -174.034, -11.865, 64.402, -34.292, 7.783, -7.958, 26.7, -0.09879, 0.83755, 0.53387, 0.05991,,,,
 13:37:32.242,cf:e6:8b:14:96:06, 2015-1-1 0:16:8.375, 0.19, -0.103, -0.951, 0, 0, 0, -174.029, -11.849, 64.402, -34.642, 8.200, -7.533, 26.7, -0.09879, 0.83755, 0.53387, 0.05991,,,,
 13:37:32.364,cf:e6:8b:14:96:06, 2015-1-1 0:16:8.375, 0.189, -0.103, -0.95, 0, 0, 0, -174.023, -11.832, 64.396, -34.642, 8.200, -7.533, 26.7, -0.09866, 0.83765, 0.53381, 0.05945,,,,
