Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 13:33:13.639,cf:e6:8b:14:96:06, 2015-1-1 0:11:51.575, -0.129, 0.235, 0.971, -0.488, -1.892, -0.122, 13.766, 6.965, -174.996, 10.725, -28.042, -83.558, 26.34, 0.03668, 0.0683, -0.11642, -0.99011,,,,
 13:33:13.760,cf:e6:8b:14:96:06, 2015-1-1 0:11:51.575, -0.121, 0.238, 0.991, -0.122, -2.136, 0.183, 13.733, 6.806, -175.051, 10.725, -28.042, -83.558, 26.34, 0.03558, 0.06372, -0.11676, -0.99042,,,,
 13:33:13.849,cf:e6:8b:14:96:06, 2015-1-1 0:11:51.905, -0.116, 0.229, 0.979, -0.366, -0.427, 0.305, 13.683, 6.515, -175.128, 10.725, -28.042, -83.558, 26.34, 0.03558, 0.06372, -0.11676, -0.99042,,,,
 13:33:13.970,cf:e6:8b:14:96:06, 2015-1-1 0:11:51.905, -0.116, 0.237, 0.971, 0, -3.967, 0.122, 13.705, 6.356, -175.15, 10.100, -27.817, -84.442, 26.34, 0.03503, 0.05859, -0.11655, -0.99078,,,,
 13:33:14.060,cf:e6:8b:14:96:06, 2015-1-1 0:11:52.140, -0.113, 0.227, 0.992, 0.122, 0.61, -0.366, 13.678, 6.202, -175.204, 10.100, -27.817, -84.442, 26.34, 0.03503, 0.05859, -0.11655, -0.99078,,,,
 13:33:14.184,cf:e6:8b:14:96:06, 2015-1-1 0:11:52.140, -0.114, 0.235, 0.986, 0.183, 0.366, 0, 13.645, 6.268, -175.182, 9.650, -28.225, -84.692, 26.34, 0.03503, 0.05859, -0.11655, -0.99078,,,,
 13:33:14.242,cf:e6:8b:14:96:06, 2015-1-1 0:11:52.140, -0.116, 0.236, 1.004, 0.366, 1.526, 0.488, 13.64, 6.306, -175.199, 9.650, -28.225, -84.692, 26.34, 0.03491, 0.05963, -0.11615, -0.99078,,,,
 13:33:14.391,cf:e6:8b:14:96:06, 2015-1-1 0:11:52.380, -0.116, 0.232, 0.975, -0.488, -0.61, 0.549, 13.623, 6.372, -175.215, 9.650, -28.225, -84.692, 26.34, 0.03491, 0.05963, -0.11615, -0.99078,,,,
 13:33:14.451,cf:e6:8b:14:96:06, 2015-1-1 0:11:52.380, -0.117, 0.24, 0.987, 0, 0, 0, 13.689, 6.465, -175.204, 9.250, -28.042, -83.883, 26.34, 0.03491, 0.05963, -0.11615, -0.99078,,,,
 13:33:14.571,cf:e6:8b:14:96:06, 2015-1-1 0:11:52.680, -0.117, 0.237, 0.984, 0, 0, 0, 13.689, 6.476, -175.215, 9.250, -28.042, -83.883, 26.34, 0.03464, 0.06104, -0.11655, -0.99066,,,,
