Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 13:36:05.163,cf:e6:8b:14:96:06, 2015-1-1 0:14:41.905, -1.014, 0.09, 0.031, 2.563, -2.319, 0.427, 40.045, 84.781, -106.155, 28.892, -21.550, -29.142, 26.56, 0.23297, 0.65714, 0.17609, -0.69482,,,,
 13:36:05.252,cf:e6:8b:14:96:06, 2015-1-1 0:14:42.140, -0.97, 0.102, 0.049, -0.183, -6.409, 1.892, 39.397, 84.391, -106.941, 28.892, -21.550, -29.142, 26.56, 0.23297, 0.65714, 0.17609, -0.69482,,,,
 13:36:05.375,cf:e6:8b:14:96:06, 2015-1-1 0:14:42.140, -0.985, 0.063, 0.121, -2.93, -3.235, -1.648, 35.695, 84.056, -110.413, 29.367, -21.758, -28.958, 26.56, 0.23297, 0.65714, 0.17609, -0.69482,,,,
 13:36:05.434,cf:e6:8b:14:96:06, 2015-1-1 0:14:42.140, -0.992, 0.079, 0.083, -1.343, 2.136, -0.916, 36.711, 84.265, -109.237, 29.367, -21.758, -28.958, 26.56, 0.23529, 0.65454, 0.17847, -0.69586,,,,
 13:36:05.582,cf:e6:8b:14:96:06, 2015-1-1 0:14:42.380, -1.011, 0.088, 0.111, -0.061, 4.333, -0.488, 39.15, 84.556, -106.672, 29.367, -21.758, -28.958, 26.56, 0.23529, 0.65454, 0.17847, -0.69586,,,,
 13:36:05.642,cf:e6:8b:14:96:06, 2015-1-1 0:14:42.380, -0.999, 0.059, 0.045, 3.54, -9.888, 4.211, 40.649, 84.551, -105.271, 29.383, -21.967, -28.475, 26.56, 0.23529, 0.65454, 0.17847, -0.69586,,,,
 13:36:05.762,cf:e6:8b:14:96:06, 2015-1-1 0:14:42.675, -0.991, 0.072, 0.104, -2.93, -6.897, 0.183, 36.777, 83.65, -109.226, 29.383, -21.967, -28.475, 26.56, 0.23846, 0.65125, 0.17474, -0.69882,,,,
 13:36:05.851,cf:e6:8b:14:96:06, 2015-1-1 0:14:42.675, -0.988, 0.085, 0.13, 0, -5.249, 1.282, 34.777, 83.106, -111.242, 29.383, -21.967, -28.475, 26.56, 0.23846, 0.65125, 0.17474, -0.69882,,,,
 13:36:05.973,cf:e6:8b:14:96:06, 2015-1-1 0:14:42.675, -0.983, 0.094, 0.137, -0.916, -5.371, 0.977, 33.794, 82.645, -112.225, 29.800, -21.550, -30.117, 26.56, 0.24246, 0.64474, 0.17029, -0.70456,,,,
 13:36:06.062,cf:e6:8b:14:96:06, 2015-1-1 0:14:42.945, -0.994, 0.095, 0.137, 0.244, -3.967, 0.671, 33.322, 82.348, -112.665, 29.800, -21.550, -30.117, 26.56, 0.24246, 0.64474, 0.17029, -0.70456,,,,
 13:36:06.182,cf:e6:8b:14:96:06, 2015-1-1 0:14:42.945, -0.984, 0.072, 0.126, 0.854, -4.822, 0.366, 32.926, 82.26, -112.978, 29.358, -22.225, -29.758, 26.56, 0.24246, 0.64474, 0.17029, -0.70456,,,,
 13:36:06.243,cf:e6:8b:14:96:06, 2015-1-1 0:14:42.945, -0.992, 0.079, 0.144, -2.075, -4.761, 0.183, 31.437, 81.936, -114.291, 29.358, -22.225, -29.758, 26.56, 0.24545, 0.64059, 0.17065, -0.70721,,,,
 13:36:06.361,cf:e6:8b:14:96:06, 2015-1-1 0:14:43.185, -0.982, 0.077, 0.148, -2.441, -3.845, -0.427, 30.476, 81.738, -95.9, 29.358, -22.225, -29.758, 26.56, 0.24545, 0.64059, 0.17065, -0.70721,,,,
 13:36:06.451,cf:e6:8b:14:96:06, 2015-1-1 0:14:43.185, -0.989, 0.08, 0.148, -1.831, -6.226, 0.427, 29.515, 80.728, -97.564, 30.592, -22.408, -30.167, 26.56, 0.24545, 0.64059, 0.17065, -0.70721,,,,
 13:36:06.570,cf:e6:8b:14:96:06, 2015-1-1 0:14:43.480, -0.983, 0.069, 0.152, -0.488, -4.089, 0.488, 28.499, 80.513, -98.448, 30.592, -22.408, -30.167, 26.56, 0.3613, 0.59534, 0.26489, -0.6669,,,,
 13:36:06.661,cf:e6:8b:14:96:06, 2015-1-1 0:14:43.480, -0.993, 0.068, 0.16, -0.732, -1.831, -0.061, 26.884, 80.277, -100.349, 30.592, -22.408, -30.167, 26.56, 0.3613, 0.59534, 0.26489, -0.6669,,,,
 13:36:06.779,cf:e6:8b:14:96:06, 2015-1-1 0:14:43.480, -0.985, 0.077, 0.156, -0.061, -3.052, 0.671, 26.417, 80.074, -100.827, 30.017, -22.242, -30.433, 26.56, 0.3613, 0.59534, 0.26489, -0.6669,,,,
 13:36:06.843,cf:e6:8b:14:96:06, 2015-1-1 0:14:43.480, -0.986, 0.083, 0.161, 0, 0, 0, 26.318, 79.788, -100.931, 30.017, -22.242, -30.433, 26.56, 0.36212, 0.5932, 0.26346, -0.66891,,,,
 13:36:06.990,cf:e6:8b:14:96:06, 2015-1-1 0:14:43.780, -0.994, 0.083, 0.158, 0, 0, 0, 26.257, 79.733, -101.096, 30.017, -22.242, -30.433, 26.56, 0.36212, 0.5932, 0.26346, -0.66891,,,,
 13:36:07.051,cf:e6:8b:14:96:06, 2015-1-1 0:14:43.780, -0.983, 0.089, 0.158, 0, 0, 0, 26.219, 79.695, -100.97, 30.025, -21.892, -31.875, 26.56, 0.36212, 0.5932, 0.26346, -0.66891,,,,
 13:36:07.171,cf:e6:8b:14:96:06, 2015-1-1 0:14:44.075, -0.994, 0.093, 0.178, 0, 0, 0, 26.158, 79.695, -100.816, 30.025, -21.892, -31.875, 26.56, 0.36484, 0.59174, 0.26416, -0.66846,,,,
 13:36:07.261,cf:e6:8b:14:96:06, 2015-1-1 0:14:44.075, -0.988, 0.076, 0.171, 0, 0, 0, 25.999, 79.733, -100.975, 30.025, -21.892, -31.875, 26.56, 0.36484, 0.59174, 0.26416, -0.66846,,,,
