Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 13:38:53.621,cf:e6:8b:14:96:06, 2015-1-1 0:17:29.280, -0.007, 0.762, 0.698, 2.686, -2.258, -2.014, 44.539, 3.038, -140.098, 5.908, -60.058, -77.150, 26.76, -0.3049, -0.15259, 0.34644, 0.87387,,,,
 13:38:53.743,cf:e6:8b:14:96:06, 2015-1-1 0:17:29.280, 0.018, 0.713, 0.716, 0, 0.61, 1.282, 44.506, 2.862, -140.328, 5.867, -60.567, -78.300, 26.76, -0.30655, -0.15048, 0.34753, 0.8732,,,,
 13:38:53.831,cf:e6:8b:14:96:06, 2015-1-1 0:17:29.520, 0.036, 0.699, 0.74, -1.648, -0.61, 0.183, 44.363, 2.818, -140.109, 5.867, -60.567, -78.300, 26.76, -0.30655, -0.15048, 0.34753, 0.8732,,,,
 13:38:53.953,cf:e6:8b:14:96:06, 2015-1-1 0:17:29.520, -0.026, 0.721, 0.732, 3.601, 1.099, -1.404, 44.407, 2.884, -139.999, 5.600, -60.058, -77.917, 26.76, -0.30655, -0.15048, 0.34753, 0.8732,,,,
 13:38:54.012,cf:e6:8b:14:96:06, 2015-1-1 0:17:29.520, 0.002, 0.688, 0.748, 1.16, -2.38, -0.488, 44.143, 2.922, -140.208, 5.600, -60.058, -77.917, 26.76, -0.30621, -0.15009, 0.34515, 0.87433,,,,
 13:38:54.132,cf:e6:8b:14:96:06, 2015-1-1 0:17:29.785, 0.012, 0.682, 0.73, 2.93, 0.61, 0.793, 44.198, 3.038, -139.982, 5.600, -60.058, -77.917, 26.76, -0.30621, -0.15009, 0.34515, 0.87433,,,,
 13:38:54.221,cf:e6:8b:14:96:06, 2015-1-1 0:17:29.785, -0.005, 0.675, 0.736, -2.258, -0.916, 0.061, 44, 3.087, -139.933, 6.350, -60.125, -77.758, 26.76, -0.30621, -0.15009, 0.34515, 0.87433,,,,
 13:38:54.341,cf:e6:8b:14:96:06, 2015-1-1 0:17:30.085, 0.012, 0.671, 0.729, 1.648, -1.892, -0.305, 43.94, 3.164, -139.801, 6.350, -60.125, -77.758, 26.76, -0.30908, -0.15314, 0.3425, 0.87384,,,,
 13:38:54.432,cf:e6:8b:14:96:06, 2015-1-1 0:17:30.085, 0, 0.69, 0.733, -1.404, 0.671, 0.488, 43.973, 3.246, -139.675, 6.350, -60.125, -77.758, 26.76, -0.30908, -0.15314, 0.3425, 0.87384,,,,
 13:38:54.552,cf:e6:8b:14:96:06, 2015-1-1 0:17:30.085, -0.003, 0.684, 0.747, 2.014, 5.188, 2.075, 44.116, 3.411, -139.389, 5.833, -60.025, -78.117, 26.76, -0.311, -0.15823, 0.34302, 0.87207,,,,
 13:38:54.611,cf:e6:8b:14:96:06, 2015-1-1 0:17:30.325, -0.007, 0.626, 0.757, -5.615, -6.47, -1.282, 43.978, 3.521, -139.477, 5.833, -60.025, -78.117, 26.76, -0.311, -0.15823, 0.34302, 0.87207,,,,
 13:38:54.733,cf:e6:8b:14:96:06, 2015-1-1 0:17:30.325, 0.003, 0.67, 0.764, -1.16, 0.61, 0, 43.918, 3.615, -139.307, 6.000, -60.092, -77.825, 26.76, -0.311, -0.15823, 0.34302, 0.87207,,,,
 13:38:54.824,cf:e6:8b:14:96:06, 2015-1-1 0:17:30.560, 0.004, 0.693, 0.72, -0.977, 1.099, 0, 43.945, 3.713, -139.164, 6.000, -60.092, -77.825, 26.76, -0.31192, -0.15863, 0.34, 0.87283,,,,
 13:38:54.943,cf:e6:8b:14:96:06, 2015-1-1 0:17:30.560, -0.007, 0.688, 0.743, -0.916, -0.122, -0.732, 43.489, 2.214, 11.239, 6.000, -60.092, -77.825, 26.76, -0.31192, -0.15863, 0.34, 0.87283,,,,
 13:38:55.034,cf:e6:8b:14:96:06, 2015-1-1 0:17:30.560, -0.019, 0.693, 0.743, 0.793, 0, -1.404, 43.297, 0.802, 23.824, 6.325, -59.775, -78.533, 26.76, -0.31192, -0.15863, 0.34, 0.87283,,,,
 13:38:55.154,cf:e6:8b:14:96:06, 2015-1-1 0:17:30.860, 0.003, 0.693, 0.727, 0.122, -0.183, 0.183, 43.281, 0.736, 24.928, 6.325, -59.775, -78.533, 26.76, 0.90805, 0.35876, 0.08542, 0.1983,,,,
 13:38:55.215,cf:e6:8b:14:96:06, 2015-1-1 0:17:30.860, 0.001, 0.708, 0.731, 0.793, -0.305, -0.244, 43.286, 0.824, 24.89, 6.325, -59.775, -78.533, 26.76, 0.90805, 0.35876, 0.08542, 0.1983,,,,
 13:38:55.336,cf:e6:8b:14:96:06, 2015-1-1 0:17:30.860, -0.007, 0.654, 0.791, 3.662, 4.822, 1.038, 43.138, 0.857, 24.972, 6.217, -59.800, -78.183, 26.76, 0.90762, 0.35916, 0.08734, 0.1987,,,,
 13:38:55.422,cf:e6:8b:14:96:06, 2015-1-1 0:17:31.100, 0.001, 0.692, 0.729, -1.404, 1.648, 0, 43.341, 0.791, 24.928, 6.217, -59.800, -78.183, 26.76, 0.90762, 0.35916, 0.08734, 0.1987,,,,
 13:38:55.546,cf:e6:8b:14:96:06, 2015-1-1 0:17:31.100, -0.003, 0.692, 0.73, -0.366, -2.075, -0.061, 43.27, 0.802, 24.966, 6.092, -60.217, -78.017, 26.76, 0.90762, 0.35916, 0.08734, 0.1987,,,,
 13:38:55.632,cf:e6:8b:14:96:06, 2015-1-1 0:17:31.365, -0.001, 0.693, 0.731, 0, -1.953, 0, 43.22, 0.538, 27.252, 6.092, -60.217, -78.017, 26.76, 0.90369, 0.35684, 0.09137, 0.21811,,,,
 13:38:55.753,cf:e6:8b:14:96:06, 2015-1-1 0:17:31.365, -0.005, 0.686, 0.747, 0.122, 0.366, 0.244, 43.226, 0.522, 27.587, 6.092, -60.217, -78.017, 26.76, 0.90369, 0.35684, 0.09137, 0.21811,,,,
 13:38:55.845,cf:e6:8b:14:96:06, 2015-1-1 0:17:31.365, 0, 0.685, 0.748, -0.061, 0.061, 0.061, 43.231, 0.494, 28.087, 6.283, -59.733, -77.950, 26.76, 0.90369, 0.35684, 0.09137, 0.21811,,,,
 13:38:55.963,cf:e6:8b:14:96:06, 2015-1-1 0:17:31.665, -0.007, 0.686, 0.74, -0.916, -0.061, 0, 43.22, 0.483, 28.383, 6.283, -59.733, -77.950, 26.76, 0.90158, 0.35608, 0.09418, 0.22662,,,,
 13:38:56.025,cf:e6:8b:14:96:06, 2015-1-1 0:17:31.665, 0.004, 0.683, 0.752, -0.549, -1.709, 0, 43.204, 0.472, 28.542, 6.283, -59.733, -77.950, 26.76, 0.90158, 0.35608, 0.09418, 0.22662,,,,
 13:38:56.142,cf:e6:8b:14:96:06, 2015-1-1 0:17:31.665, 0.002, 0.681, 0.748, 0.732, -1.465, 0.366, 43.171, 0.467, 28.707, 6.475, -59.492, -78.375, 26.76, 0.90112, 0.35535, 0.09482, 0.22937,,,,
 13:38:56.231,cf:e6:8b:14:96:06, 2015-1-1 0:17:31.900, 0.002, 0.683, 0.742, 0.488, -1.099, 0.061, 43.154, 0.417, 28.839, 6.475, -59.492, -78.375, 26.76, 0.90112, 0.35535, 0.09482, 0.22937,,,,
 13:38:56.353,cf:e6:8b:14:96:06, 2015-1-1 0:17:31.900, 0.01, 0.681, 0.74, 0.366, -0.244, 0.244, 43.132, 0.39, 28.916, 5.825, -59.550, -78.733, 26.76, 0.90073, 0.35501, 0.09473, 0.23151,,,,
