Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 13:34:40.571,cf:e6:8b:14:96:06, 2015-1-1 0:13:18.080, 0.882, 0.123, 0.446, 1.404, -1.953, 1.526, 17.875, -61.298, -167.141, -46.558, -28.808, -75.317, 26.38, 0.17426, -0.48587, -0.18933, -0.83524,,,,
 13:34:40.661,cf:e6:8b:14:96:06, 2015-1-1 0:13:18.080, 0.872, 0.099, 0.462, 3.662, -5.737, 2.014, 17.496, -61.463, -166.564, -46.558, -28.808, -75.317, 26.38, 0.17426, -0.48587, -0.18933, -0.83524,,,,
 13:34:40.783,cf:e6:8b:14:96:06, 2015-1-1 0:13:18.080, 0.891, 0.122, 0.451, 1.221, -3.967, 0.854, 17.518, -61.837, -166.47, -46.925, -28.933, -74.875, 26.38, 0.17773, -0.49109, -0.18982, -0.83133,,,,
 13:34:40.870,cf:e6:8b:14:96:06, 2015-1-1 0:13:18.320, 0.89, 0.123, 0.446, 2.625, -4.7, 0.671, 17.672, -62.309, -166.553, -46.925, -28.933, -74.875, 26.38, 0.17773, -0.49109, -0.18982, -0.83133,,,,
 13:34:40.990,cf:e6:8b:14:96:06, 2015-1-1 0:13:18.320, 0.906, 0.111, 0.425, 0.122, -5.92, 0.61, 17.721, -62.792, -166.723, -48.158, -28.583, -74.400, 26.38, 0.17773, -0.49109, -0.18982, -0.83133,,,,
 13:34:41.055,cf:e6:8b:14:96:06, 2015-1-1 0:13:18.320, 0.889, 0.125, 0.414, -0.183, -6.409, 0.549, 17.902, -63.27, -166.943, -48.158, -28.583, -74.400, 26.38, 0.1767, -0.49942, -0.19046, -0.82642,,,,
 13:34:41.169,cf:e6:8b:14:96:06, 2015-1-1 0:13:18.585, 0.78, 0.133, 0.415, -3.784, -3.662, -0.061, 18.073, -63.715, -167.261, -48.158, -28.583, -74.400, 26.38, 0.1767, -0.49942, -0.19046, -0.82642,,,,
 13:34:41.263,cf:e6:8b:14:96:06, 2015-1-1 0:13:18.585, 0.896, 0.111, 0.428, -4.333, -15.442, 2.625, 17.924, -64.484, -167.552, -48.008, -28.575, -73.358, 26.38, 0.1767, -0.49942, -0.19046, -0.82642,,,,
 13:34:41.381,cf:e6:8b:14:96:06, 2015-1-1 0:13:18.885, 0.945, 0.073, 0.401, -15.808, -23.499, 2.014, 17.842, -66.555, -168.333, -48.008, -28.575, -73.358, 26.38, 0.16681, -0.53015, -0.18271, -0.81094,,,,
 13:34:41.471,cf:e6:8b:14:96:06, 2015-1-1 0:13:18.885, 0.98, 0.038, 0.398, 11.597, -15.991, -0.183, 18.798, -68.176, -169.42, -48.008, -28.575, -73.358, 26.38, 0.16681, -0.53015, -0.18271, -0.81094,,,,
 13:34:41.590,cf:e6:8b:14:96:06, 2015-1-1 0:13:18.885, 0.968, 0.139, 0.3, 10.01, -26.611, 4.211, 22.308, -70.983, -171.821, -49.250, -28.850, -71.600, 26.38, 0.16681, -0.53015, -0.18271, -0.81094,,,,
 13:34:41.655,cf:e6:8b:14:96:06, 2015-1-1 0:13:18.885, 0.98, 0.116, 0.266, 13.733, -8.057, -1.038, 25.516, -72.631, -174.644, -49.250, -28.850, -71.600, 26.38, 0.16708, -0.56848, -0.20416, -0.77917,,,,
 13:34:41.771,cf:e6:8b:14:96:06, 2015-1-1 0:13:19.180, 0.98, 0.117, 0.227, -0.732, -3.967, 3.845, 26.488, -73.361, -175.457, -49.250, -28.850, -71.600, 26.38, 0.16708, -0.56848, -0.20416, -0.77917,,,,
 13:34:41.861,cf:e6:8b:14:96:06, 2015-1-1 0:13:19.180, 1.068, 0.099, 0.245, -0.122, 5.493, 2.136, 25.098, -73.076, -174.26, -50.467, -29.425, -70.092, 26.38, 0.16708, -0.56848, -0.20416, -0.77917,,,,
 13:34:41.981,cf:e6:8b:14:96:06, 2015-1-1 0:13:19.480, 0.96, 0.298, 0.194, -10.986, -1.587, -9.399, 25.219, -72.268, -174.655, -50.467, -29.425, -70.092, 26.38, 0.16467, -0.56693, -0.2016, -0.78149,,,,
 13:34:42.071,cf:e6:8b:14:96:06, 2015-1-1 0:13:19.480, 0.97, 0.094, 0.247, 4.578, 3.418, 0.488, 23.621, -72.131, -173.886, -50.467, -29.425, -70.092, 26.38, 0.16467, -0.56693, -0.2016, -0.78149,,,,
 13:34:42.191,cf:e6:8b:14:96:06, 2015-1-1 0:13:19.480, 1.032, 0.039, 0.278, 2.93, 5.615, -2.747, 22.736, -71.697, -173.117, -50.417, -29.025, -71.758, 26.38, 0.16467, -0.56693, -0.2016, -0.78149,,,,
 13:34:42.253,cf:e6:8b:14:96:06, 2015-1-1 0:13:19.480, 0.914, 0.101, 0.229, 83.984, -13.428, -12.512, 29.537, -70.977, -176.364, -50.417, -29.025, -71.758, 26.38, 0.16989, -0.55511, -0.21869, -0.78424,,,,
 13:34:42.402,cf:e6:8b:14:96:06, 2015-1-1 0:13:19.780, 0.894, 0.221, 0.277, 64.697, 16.235, -8.667, 36.096, -69.598, -177.495, -50.417, -29.025, -71.758, 26.38, 0.16989, -0.55511, -0.21869, -0.78424,,,,
 13:34:42.460,cf:e6:8b:14:96:06, 2015-1-1 0:13:19.780, 0.921, 0.391, 0.244, 34.79, 6.653, 0.732, 41.819, -69.016, -178.165, -49.358, -39.250, -67.350, 26.38, 0.16989, -0.55511, -0.21869, -0.78424,,,,
 13:34:42.584,cf:e6:8b:14:96:06, 2015-1-1 0:13:19.780, 0.982, 0.162, 0.364, -50.415, -13.428, 10.681, 35.711, -68.467, -174.798, -49.358, -39.250, -67.350, 26.38, 0.20511, -0.52737, -0.27274, -0.77802,,,,
 13:34:42.671,cf:e6:8b:14:96:06, 2015-1-1 0:13:20.105, 0.961, 0.206, 0.245, -22.4, -21.057, 9.644, 33.486, -70.829, -175.49, -49.358, -39.250, -67.350, 26.38, 0.20511, -0.52737, -0.27274, -0.77802,,,,
 13:34:42.791,cf:e6:8b:14:96:06, 2015-1-1 0:13:20.105, 0.958, 0.17, 0.242, -0.549, -3.784, 0.793, 33.871, -71.691, -176.501, -50.325, -35.100, -69.208, 26.38, 0.19357, -0.55353, -0.25024, -0.77032,,,,
 13:34:42.880,cf:e6:8b:14:96:06, 2015-1-1 0:13:20.345, 0.948, 0.154, 0.258, -2.93, 6.592, 0.427, 32.975, -71.691, -175.941, -50.325, -35.100, -69.208, 26.38, 0.19357, -0.55353, -0.25024, -0.77032,,,,
 13:34:43.004,cf:e6:8b:14:96:06, 2015-1-1 0:13:20.345, 0.933, 0.14, 0.281, -3.601, 10.925, -2.441, 31.487, -70.807, -174.798, -50.075, -34.867, -69.825, 26.38, 0.19357, -0.55353, -0.25024, -0.77032,,,,
 13:34:43.064,cf:e6:8b:14:96:06, 2015-1-1 0:13:20.345, 0.941, 0.156, 0.288, -0.183, 7.568, -4.333, 30.959, -69.824, -174.419, -50.075, -34.867, -69.825, 26.38, 0.19049, -0.53918, -0.24557, -0.78268,,,,
 13:34:43.181,cf:e6:8b:14:96:06, 2015-1-1 0:13:20.580, 0.93, 0.172, 0.295, -1.404, 3.418, 0.122, 30.707, -69.445, -174.276, -50.075, -34.867, -69.825, 26.38, 0.19049, -0.53918, -0.24557, -0.78268,,,,
 13:34:43.272,cf:e6:8b:14:96:06, 2015-1-1 0:13:20.580, 0.937, 0.166, 0.313, -2.747, 6.653, -0.244, 30.031, -69.099, -173.914, -49.767, -34.800, -69.942, 26.38, 0.19049, -0.53918, -0.24557, -0.78268,,,,
