Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 13:52:47.645,cf:e6:8b:14:96:06, 2015-1-1 0:31:17.385, 0.001, 0.066, -0.934, -8.85, -1.526, 0.061, 176.155, 3.252, -43.671, -23.092, -25.958, -7.025, 26.43, 0.01685, 0.9278, -0.37161, -0.02625,,,,
 13:52:47.764,cf:e6:8b:14:96:06, 2015-1-1 0:31:17.385, -0.031, 0.062, -1.036, 2.625, 13.489, -0.366, 176.468, 1.049, -43.55, -23.200, -26.300, -7.167, 26.43, 0.02411, 0.92828, -0.3703, -0.02127,,,,
 13:52:47.856,cf:e6:8b:14:96:06, 2015-1-1 0:31:17.740, -0.014, 0.062, -0.937, -0.854, -7.935, 0.366, 176.446, 1.923, -43.566, -23.200, -26.300, -7.167, 26.43, 0.02411, 0.92828, -0.3703, -0.02127,,,,
 13:52:48.009,cf:e6:8b:14:96:06, 2015-1-1 0:31:17.740, -0.023, 0.057, -1.008, -2.808, -0.488, 0.061, 176.506, 1.285, -43.539, -23.633, -26.408, -7.567, 26.43, 0.02411, 0.92828, -0.3703, -0.02127,,,,
 13:52:48.037,cf:e6:8b:14:96:06, 2015-1-1 0:31:17.740, -0.021, 0.064, -0.969, 1.038, 0.122, 0, 176.342, 1.461, -43.561, -23.633, -26.408, -7.567, 26.43, 0.02475, 0.92819, -0.37042, -0.02344,,,,
 13:52:48.185,cf:e6:8b:14:96:06, 2015-1-1 0:31:18.010, -0.021, 0.061, -0.973, 1.526, 0.122, 0, 176.429, 1.379, -43.539, -23.633, -26.408, -7.567, 26.43, 0.02475, 0.92819, -0.37042, -0.02344,,,,
 13:52:48.247,cf:e6:8b:14:96:06, 2015-1-1 0:31:18.010, -0.02, 0.061, -0.973, 0.244, 0.061, 0, 176.429, 1.379, -42.935, -23.800, -26.200, -7.008, 26.43, 0.02475, 0.92819, -0.37042, -0.02344,,,,
 13:52:48.369,cf:e6:8b:14:96:06, 2015-1-1 0:31:18.010, -0.02, 0.059, -0.976, -0.183, -0.366, 0, 176.429, 1.368, -42.567, -23.800, -26.200, -7.008, 26.43, 0.02466, 0.93164, -0.36172, -0.0224,,,,
 13:52:48.456,cf:e6:8b:14:96:06, 2015-1-1 0:31:18.305, -0.021, 0.061, -0.974, -0.427, -0.549, 0, 176.435, 1.362, -42.308, -23.800, -26.200, -7.008, 26.43, 0.02466, 0.93164, -0.36172, -0.0224,,,,
 13:52:48.576,cf:e6:8b:14:96:06, 2015-1-1 0:31:18.305, -0.02, 0.06, -0.975, -0.488, -0.183, 0, 176.435, 1.351, -42.188, -24.575, -26.300, -7.617, 26.43, 0.02475, 0.9328, -0.3587, -0.02216,,,,
 13:52:48.667,cf:e6:8b:14:96:06, 2015-1-1 0:31:18.545, -0.032, 0.062, -0.979, -1.221, -2.686, 0, 176.435, 1.346, -42.1, -24.575, -26.300, -7.617, 26.43, 0.02475, 0.9328, -0.3587, -0.02216,,,,
 13:52:48.787,cf:e6:8b:14:96:06, 2015-1-1 0:31:18.545, -0.044, 0.067, -0.977, -1.526, -9.705, 1.099, 176.155, 1.983, -42.16, -23.208, -26.292, -7.242, 26.43, 0.02475, 0.9328, -0.3587, -0.02216,,,,
 13:52:48.846,cf:e6:8b:14:96:06, 2015-1-1 0:31:18.545, -0.048, 0.069, -0.971, 1.16, -1.648, 0.671, 176.094, 2.604, -42.242, -23.208, -26.292, -7.242, 26.43, 0.02295, 0.93219, -0.35956, -0.03357,,,,
 13:52:48.965,cf:e6:8b:14:96:06, 2015-1-1 0:31:18.815, -0.047, 0.068, -0.972, 0, -3.784, 0.732, 176.16, 2.769, -42.297, -23.208, -26.292, -7.242, 26.43, 0.02295, 0.93219, -0.35956, -0.03357,,,,
 13:52:49.054,cf:e6:8b:14:96:06, 2015-1-1 0:31:18.815, -0.104, 0.067, -0.987, -2.136, -9.521, 0.549, 176.083, 3.076, -42.352, -23.208, -26.708, -6.667, 26.43, 0.02295, 0.93219, -0.35956, -0.03357,,,,
 13:52:49.176,cf:e6:8b:14:96:06, 2015-1-1 0:31:19.080, -0.109, 0.066, -0.961, -2.625, -15.259, 0.854, 175.908, 4.499, -42.528, -23.208, -26.708, -6.667, 26.43, 0.01886, 0.93091, -0.3609, -0.05219,,,,
 13:52:49.265,cf:e6:8b:14:96:06, 2015-1-1 0:31:19.080, -0.087, 0.068, -0.95, -0.366, -2.197, 3.662, 175.386, 5.433, -42.665, -23.208, -26.708, -6.667, 26.43, 0.01886, 0.93091, -0.3609, -0.05219,,,,
 13:52:49.447,cf:e6:8b:14:96:06, 2015-1-1 0:31:19.080, -0.093, 0.074, -0.982, 1.648, -3.113, -0.488, 175.842, 5.35, -43.044, -20.758, -26.875, -6.500, 26.43, 0.01886, 0.93091, -0.3609, -0.05219,,,,
 13:52:49.447,cf:e6:8b:14:96:06, 2015-1-1 0:31:19.080, -0.052, 0.079, -0.974, -0.977, 9.644, -1.16, 175.485, 4.949, -42.814, -20.758, -26.875, -6.500, 26.43, 0.01886, 0.93091, -0.3609, -0.05219,,,,
 13:52:49.595,cf:e6:8b:14:96:06, 2015-1-1 0:31:19.440, -0.069, 0.074, -1.008, 1.099, 6.042, 1.282, 175.836, 3.549, -42.885, -20.758, -26.875, -6.500, 26.43, 0.02048, 0.9299, -0.36292, -0.05533,,,,
 13:52:49.656,cf:e6:8b:14:96:06, 2015-1-1 0:31:19.440, -0.073, 0.078, -0.95, 1.953, 1.709, 0, 175.715, 4.005, -42.874, -21.975, -27.017, -6.908, 26.43, 0.02048, 0.9299, -0.36292, -0.05533,,,,
 13:52:49.807,cf:e6:8b:14:96:06, 2015-1-1 0:31:19.440, -0.047, 0.034, -0.979, 2.38, 5.981, 0.122, 175.605, 3.246, -42.759, -21.975, -27.017, -6.908, 26.43, 0.0253, 0.93054, -0.36307, -0.03937,,,,
 13:52:49.867,cf:e6:8b:14:96:06, 2015-1-1 0:31:19.705, -0.023, 0.076, -0.967, 4.517, 10.254, 0.183, 175.924, 2.631, -42.764, -21.975, -27.017, -6.908, 26.43, 0.0253, 0.93054, -0.36307, -0.03937,,,,
 13:52:49.985,cf:e6:8b:14:96:06, 2015-1-1 0:31:19.705, 0.021, 0.066, -0.973, 2.258, 14.16, -0.061, 176.276, 1.351, -42.671, -23.625, -26.558, -7.308, 26.43, 0.0253, 0.93054, -0.36307, -0.03937,,,,
 13:52:50.077,cf:e6:8b:14:96:06, 2015-1-1 0:31:19.705, 0.021, 0.065, -1.003, 9.766, 14.587, 0.793, 176.248, -0.747, -42.259, -23.625, -26.558, -7.308, 26.43, 0.03223, 0.93216, -0.36044, -0.00189,,,,
