Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 13:48:35.069,cf:e6:8b:14:96:06, 2015-1-1 0:27:6.480, -0.085, 0.062, 0.999, -0.732, 2.319, -0.122, 4.032, 3.466, 106.87, 8.033, -30.367, -88.183, 26.34, 0.59595, -0.00287, 0.04596, 0.80164,,,,
 13:48:35.216,cf:e6:8b:14:96:06, 2015-1-1 0:27:6.780, -0.053, 0.036, 1.026, -1.16, -2.991, -1.099, 2.576, 4.103, 176.017, 8.033, -30.367, -88.183, 26.34, 0.59595, -0.00287, 0.04596, 0.80164,,,,
 13:48:35.276,cf:e6:8b:14:96:06, 2015-1-1 0:27:6.780, -0.061, 0.052, 1.013, 2.502, 2.38, 0.732, 2.027, 3.884, 174.99, 8.300, -30.175, -87.817, 26.34, 0.59595, -0.00287, 0.04596, 0.80164,,,,
 13:48:35.398,cf:e6:8b:14:96:06, 2015-1-1 0:27:6.780, -0.113, 0.042, 1.042, 2.014, 0.427, 1.221, 2.39, 3.647, 174.556, 8.300, -30.175, -87.817, 26.34, 0.04794, -0.03079, 0.02274, 0.99808,,,,
 13:48:35.486,cf:e6:8b:14:96:06, 2015-1-1 0:27:7.105, -0.108, 0.054, 0.999, -4.578, 1.282, -0.549, 2.302, 3.554, 174.419, 8.300, -30.175, -87.817, 26.34, 0.04794, -0.03079, 0.02274, 0.99808,,,,
 13:48:35.605,cf:e6:8b:14:96:06, 2015-1-1 0:27:7.105, 0.002, -0.011, 1.104, 15.564, 0.977, 1.282, 2.477, 3.153, 174.43, 8.133, -30.508, -87.833, 26.34, 0.04953, -0.02512, 0.03015, 0.99796,,,,
 13:48:35.697,cf:e6:8b:14:96:06, 2015-1-1 0:27:7.345, -0.099, 0.089, 1.03, 1.587, -2.93, -3.418, 3.329, 2.999, 174.359, 8.133, -30.508, -87.833, 26.34, 0.04953, -0.02512, 0.03015, 0.99796,,,,
 13:48:35.819,cf:e6:8b:14:96:06, 2015-1-1 0:27:7.345, -0.106, 0.152, 0.972, -0.244, 1.831, 1.892, 3.829, 3.428, 174.276, 7.917, -30.508, -87.500, 26.34, 0.04953, -0.02512, 0.03015, 0.99796,,,,
 13:48:35.879,cf:e6:8b:14:96:06, 2015-1-1 0:27:7.345, -0.076, 0.011, 1.03, 11.475, -0.122, 2.869, 3.62, 3.565, 174.452, 7.917, -30.508, -87.500, 26.34, 0.04858, -0.0293, 0.0358, 0.99771,,,,
 13:48:35.995,cf:e6:8b:14:96:06, 2015-1-1 0:27:7.580, -0.082, 0.084, 1.018, 0, -3.174, 1.587, 4.246, 3.367, 174.787, 7.917, -30.508, -87.500, 26.34, 0.04858, -0.0293, 0.0358, 0.99771,,,,
 13:48:36.086,cf:e6:8b:14:96:06, 2015-1-1 0:27:7.580, -0.058, 0.126, 0.985, -0.854, -0.549, -2.441, 4.565, 3.323, 174.721, 7.542, -31.725, -87.867, 26.34, 0.04858, -0.0293, 0.0358, 0.99771,,,,
 13:48:36.206,cf:e6:8b:14:96:06, 2015-1-1 0:27:7.880, -0.096, 0.079, 1.02, -0.549, 2.38, -0.793, 4.384, 3.417, 174.754, 7.542, -31.725, -87.867, 26.34, 0.04663, -0.02869, 0.0397, 0.99765,,,,
