Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 13:51:24.252,cf:e6:8b:14:96:06, 2015-1-1 0:29:54.545, -0.973, -0.05, 0.242, 0.061, 0.122, -0.671, -9.75, 74.174, -177.501, 34.792, -22.167, -33.142, 26.68, -0.06836, -0.59946, -0.08093, 0.7933,,,,
 13:51:24.372,cf:e6:8b:14:96:06, 2015-1-1 0:29:54.780, -0.979, -0.05, 0.229, -4.089, 0.305, -1.16, -10.311, 74.323, -177.924, 34.792, -22.167, -33.142, 26.68, -0.06836, -0.59946, -0.08093, 0.7933,,,,
 13:51:24.491,cf:e6:8b:14:96:06, 2015-1-1 0:29:54.780, -0.979, -0.054, 0.247, 0.488, 0, 0.61, -10.816, 74.509, -178.281, 35.350, -21.817, -32.317, 26.68, -0.06836, -0.59946, -0.08093, 0.7933,,,,
 13:51:24.582,cf:e6:8b:14:96:06, 2015-1-1 0:29:55.080, -0.975, -0.057, 0.238, 0.488, -1.099, 0.061, -10.887, 74.575, -178.347, 35.350, -21.817, -32.317, 26.68, -0.06888, -0.60196, -0.0842, 0.79102,,,,
 13:51:24.674,cf:e6:8b:14:96:06, 2015-1-1 0:29:55.080, -0.965, -0.059, 0.232, 0.183, -3.906, 0.366, -10.964, 74.625, -178.418, 35.350, -21.817, -32.317, 26.68, -0.06888, -0.60196, -0.0842, 0.79102,,,,
 13:51:24.792,cf:e6:8b:14:96:06, 2015-1-1 0:29:55.080, -0.966, -0.046, 0.244, 0, -1.892, -0.122, -11.025, 74.658, -178.473, 34.500, -21.608, -32.333, 26.68, -0.06888, -0.60196, -0.0842, 0.79102,,,,
 13:51:24.882,cf:e6:8b:14:96:06, 2015-1-1 0:29:55.080, -0.966, -0.064, 0.253, 0.061, 1.099, -0.732, -11.036, 74.685, -178.478, 34.500, -21.608, -32.333, 26.68, -0.06879, -0.60266, -0.08441, 0.79047,,,,
 13:51:25.034,cf:e6:8b:14:96:06, 2015-1-1 0:29:55.375, -1.07, -0.063, 0.259, -0.244, 3.418, -1.221, -11.684, 74.916, -179.105, 34.500, -21.608, -32.333, 26.68, -0.06879, -0.60266, -0.08441, 0.79047,,,,
 13:51:25.125,cf:e6:8b:14:96:06, 2015-1-1 0:29:55.375, -0.824, -0.053, 0.28, -7.08, 47.485, -2.38, -14.678, 76.783, 178.066, 34.500, -21.608, -32.333, 26.68, -0.06879, -0.60266, -0.08441, 0.79047,,,,
 13:51:25.184,cf:e6:8b:14:96:06, 2015-1-1 0:29:55.375, -1.017, -0.098, 0.154, -8.972, 57.19, -14.16, -35.491, 81.848, 158.335, 34.067, -20.758, -27.658, 26.68, -0.06879, -0.60266, -0.08441, 0.79047,,,,
 13:51:25.273,cf:e6:8b:14:96:06, 2015-1-1 0:29:55.765, -1.153, -0.08, -0.036, 2.258, 41.016, 2.747, -92.098, 84.534, 100.624, 34.067, -20.758, -27.658, 26.68, -0.04462, -0.70041, -0.11182, 0.70343,,,,
