Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 13:54:29.280,cf:e6:8b:14:96:06, 2015-1-1 0:32:58.305, -0.165, 0.798, 0.569, 5.005, 1.526, 0.488, 52.652, 9.866, -61.392, -35.958, -44.583, -67.708, 26.65, 0.7908, 0.44629, -0.12488, -0.39969,,,,
 13:54:29.367,cf:e6:8b:14:96:06, 2015-1-1 0:32:58.305, -0.151, 0.823, 0.561, -0.183, -1.099, 0.427, 52.872, 9.8, -61.342, -35.958, -44.583, -67.708, 26.65, 0.74786, 0.4205, -0.16034, -0.48788,,,,
 13:54:29.487,cf:e6:8b:14:96:06, 2015-1-1 0:32:58.575, -0.179, 0.806, 0.581, -2.441, -0.427, 0.427, 54.904, 9.811, -58.596, -35.958, -44.583, -67.708, 26.65, 0.74786, 0.4205, -0.16034, -0.48788,,,,
 13:54:29.552,cf:e6:8b:14:96:06, 2015-1-1 0:32:58.575, -0.14, 0.788, 0.59, -3.052, -1.038, -0.488, 54.613, 9.564, -58.799, -35.533, -44.583, -66.592, 26.65, 0.74786, 0.4205, -0.16034, -0.48788,,,,
 13:54:29.671,cf:e6:8b:14:96:06, 2015-1-1 0:32:58.575, -0.155, 0.78, 0.604, -5.249, -0.488, -0.549, 54.031, 9.481, -58.909, -35.533, -44.583, -66.592, 26.65, 0.75488, 0.42963, -0.15784, -0.46964,,,,
 13:54:29.757,cf:e6:8b:14:96:06, 2015-1-1 0:32:58.900, -0.175, 0.792, 0.609, -0.244, 1.282, -1.038, 53.888, 9.591, -58.898, -35.533, -44.583, -66.592, 26.65, 0.75488, 0.42963, -0.15784, -0.46964,,,,
 13:54:29.879,cf:e6:8b:14:96:06, 2015-1-1 0:32:58.900, -0.167, 0.788, 0.603, -2.136, 0.244, -0.244, 53.152, 9.465, -59.793, -35.675, -44.283, -67.308, 26.65, 0.75372, 0.42245, -0.15848, -0.47769,,,,
 13:54:29.969,cf:e6:8b:14:96:06, 2015-1-1 0:32:59.140, -0.16, 0.809, 0.581, -0.671, 0.183, 0.244, 53.064, 9.481, -59.996, -35.675, -44.283, -67.308, 26.65, 0.75372, 0.42245, -0.15848, -0.47769,,,,
 13:54:30.090,cf:e6:8b:14:96:06, 2015-1-1 0:32:59.140, -0.142, 0.771, 0.629, 0.122, 0, 0.488, 52.828, 9.421, -60.057, -35.717, -44.125, -68.000, 26.65, 0.75372, 0.42245, -0.15848, -0.47769,,,,
 13:54:30.178,cf:e6:8b:14:96:06, 2015-1-1 0:32:59.140, -0.183, 0.797, 0.603, -0.183, -0.671, -1.587, 52.844, 9.448, -60.046, -35.717, -44.125, -68.000, 26.65, 0.75485, 0.41977, -0.15839, -0.47833,,,,
 13:54:30.297,cf:e6:8b:14:96:06, 2015-1-1 0:32:59.375, -0.179, 0.79, 0.606, 0.916, 1.77, 0.061, 52.696, 9.344, -60.029, -35.717, -44.125, -68.000, 26.65, 0.75485, 0.41977, -0.15839, -0.47833,,,,
 13:54:30.358,cf:e6:8b:14:96:06, 2015-1-1 0:32:59.375, -0.166, 0.771, 0.617, -0.488, 0.366, 1.221, 52.679, 9.415, -60.068, -35.783, -44.000, -67.650, 26.65, 0.75485, 0.41977, -0.15839, -0.47833,,,,
 13:54:30.478,cf:e6:8b:14:96:06, 2015-1-1 0:32:59.375, -0.12, 0.798, 0.594, -0.122, -0.732, 1.526, 52.625, 9.47, -60.233, -35.783, -44.000, -67.650, 26.65, 0.7543, 0.41928, -0.15762, -0.47986,,,,
 13:54:30.566,cf:e6:8b:14:96:06, 2015-1-1 0:32:59.705, -0.18, 0.781, 0.621, -0.427, 0.061, -0.427, 52.641, 9.404, -60.172, -35.783, -44.000, -67.650, 26.65, 0.7543, 0.41928, -0.15762, -0.47986,,,,
 13:54:30.688,cf:e6:8b:14:96:06, 2015-1-1 0:32:59.705, -0.174, 0.772, 0.609, -0.305, 0.488, -1.648, 52.592, 9.3, -60.194, -35.708, -43.958, -67.308, 26.65, 0.75458, 0.41827, -0.15845, -0.48007,,,,
 13:54:30.778,cf:e6:8b:14:96:06, 2015-1-1 0:32:59.945, -0.166, 0.781, 0.608, -0.488, 0.61, 0.366, 52.553, 9.366, -60.315, -35.708, -43.958, -67.308, 26.65, 0.75458, 0.41827, -0.15845, -0.48007,,,,
 13:54:30.901,cf:e6:8b:14:96:06, 2015-1-1 0:32:59.945, -0.151, 0.797, 0.598, 1.343, -0.549, 0, 52.509, 9.388, -60.392, -36.083, -43.825, -67.783, 26.65, 0.75458, 0.41827, -0.15845, -0.48007,,,,
 13:54:30.962,cf:e6:8b:14:96:06, 2015-1-1 0:32:59.945, -0.146, 0.79, 0.6, 1.709, 0.916, 1.404, 52.504, 9.399, -60.419, -36.083, -43.825, -67.783, 26.65, 0.75418, 0.41794, -0.15836, -0.48102,,,,
 13:54:31.079,cf:e6:8b:14:96:06, 2015-1-1 0:33:0.180, -0.181, 0.78, 0.607, -0.916, 0.916, 0.244, 52.344, 9.382, -60.419, -36.083, -43.825, -67.783, 26.65, 0.75418, 0.41794, -0.15836, -0.48102,,,,
