Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 13:50:00.679,cf:e6:8b:14:96:06, 2015-1-1 0:28:31.705, 0.907, 0.21, 0.369, 0, 0, 0, 30.657, -65.396, 156.116, -45.025, -38.542, -80.150, 26.46, 0.02814, 0.55585, 0.10983, 0.82346,,,,
 13:50:00.800,cf:e6:8b:14:96:06, 2015-1-1 0:28:31.705, 0.908, 0.218, 0.369, 0, 0, 0, 30.635, -65.385, 156.138, -45.133, -37.892, -80.008, 26.46, 0.02817, 0.55554, 0.1098, 0.82364,,,,
 13:50:00.889,cf:e6:8b:14:96:06, 2015-1-1 0:28:31.940, 0.904, 0.211, 0.372, 0, 0, 0, 30.613, -65.369, 156.154, -45.133, -37.892, -80.008, 26.46, 0.02817, 0.55554, 0.1098, 0.82364,,,,
 13:50:01.010,cf:e6:8b:14:96:06, 2015-1-1 0:28:31.940, 0.904, 0.214, 0.368, 0, 0, 0, 30.591, -65.358, 156.176, -45.208, -38.308, -79.467, 26.46, 0.02817, 0.55554, 0.1098, 0.82364,,,,
 13:50:01.072,cf:e6:8b:14:96:06, 2015-1-1 0:28:31.940, 0.905, 0.213, 0.367, 0, 0, 0, 30.569, -65.341, 156.193, -45.208, -38.308, -79.467, 26.46, 0.02817, 0.55524, 0.10977, 0.82388,,,,
 13:50:01.217,cf:e6:8b:14:96:06, 2015-1-1 0:28:32.180, 0.904, 0.212, 0.372, 0, 0, 0, 30.547, -65.325, 156.22, -45.208, -38.308, -79.467, 26.46, 0.02817, 0.55524, 0.10977, 0.82388,,,,
 13:50:01.279,cf:e6:8b:14:96:06, 2015-1-1 0:28:32.180, 0.905, 0.213, 0.374, 0, 0, 0, 30.52, -65.308, 156.242, -45.233, -38.167, -79.350, 26.46, 0.02817, 0.55524, 0.10977, 0.82388,,,,
 13:50:01.399,cf:e6:8b:14:96:06, 2015-1-1 0:28:32.480, 0.903, 0.211, 0.373, 0, 0, 0, 30.498, -65.286, 156.264, -45.233, -38.167, -79.350, 26.46, 0.0282, 0.55481, 0.10971, 0.82419,,,,
 13:50:01.492,cf:e6:8b:14:96:06, 2015-1-1 0:28:32.480, 0.906, 0.21, 0.374, 0, 0, 0, 30.476, -65.27, 156.286, -45.233, -38.167, -79.350, 26.46, 0.0282, 0.55481, 0.10971, 0.82419,,,,
 13:50:01.610,cf:e6:8b:14:96:06, 2015-1-1 0:28:32.480, 0.907, 0.217, 0.375, 0, 0, 0, 30.449, -65.253, 156.308, -44.817, -38.575, -80.025, 26.46, 0.02823, 0.55447, 0.10965, 0.8244,,,,
