Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 02:51:35.863,cf:e6:8b:14:96:06, 2015-1-1 0:22:36.700, -0.149, 0.075, 1.007, 0, 0, 0, 3.642, 7.855, 8.377, 11.092, 13.083, -62.592, 25.8, 0.9946, 0.02667, 0.07071, 0.07037,,,,
 02:51:35.863,cf:e6:8b:14:96:06, 2015-1-1 0:22:36.700, -0.149, 0.065, 0.994, 0, 0, 0, 3.658, 7.844, 8.394, 11.092, 13.083, -62.592, 25.8, 0.9946, 0.02667, 0.07071, 0.07037,,,,
 02:51:35.982,cf:e6:8b:14:96:06, 2015-1-1 0:22:36.700, -0.138, 0.065, 0.994, 0, 0, 0, 3.658, 7.844, 8.394, 11.025, 13.425, -62.950, 25.8, 0.9946, 0.02679, 0.07059, 0.07074,,,,
 02:51:35.982,cf:e6:8b:14:96:06, 2015-1-1 0:22:36.700, -0.138, 0.068, 0.998, 0, 0, 0, 3.669, 7.866, 8.372, 11.025, 13.425, -62.950, 25.8, 0.9946, 0.02679, 0.07059, 0.07074,,,,
 02:51:36.071,cf:e6:8b:14:96:06, 2015-1-1 0:22:36.935, -0.132, 0.068, 0.998, 0, 0, 0, 3.669, 7.866, 8.372, 11.025, 13.425, -62.950, 25.8, 0.9946, 0.02679, 0.07059, 0.07074,,,,
 02:51:36.071,cf:e6:8b:14:96:06, 2015-1-1 0:22:36.935, -0.132, 0.073, 1.008, 0, 0, 0, 3.686, 7.866, 8.388, 11.025, 13.425, -62.950, 25.8, 0.9946, 0.02679, 0.07059, 0.07074,,,,
 02:51:36.193,cf:e6:8b:14:96:06, 2015-1-1 0:22:36.935, -0.134, 0.073, 1.008, 0, 0, 0, 3.686, 7.866, 8.388, 11.108, 12.592, -63.817, 25.8, 0.9946, 0.02679, 0.07059, 0.07074,,,,
 02:51:36.193,cf:e6:8b:14:96:06, 2015-1-1 0:22:36.935, -0.134, 0.076, 1.004, 0, 0, 0, 3.708, 7.855, 8.421, 11.108, 12.592, -63.817, 25.8, 0.9946, 0.02679, 0.07059, 0.07074,,,,
 02:51:36.285,cf:e6:8b:14:96:06, 2015-1-1 0:22:36.935, -0.123, 0.076, 1.004, 0, 0, 0, 3.708, 7.855, 8.421, 11.108, 12.592, -63.817, 25.8, 0.99457, 0.02722, 0.07062, 0.07092,,,,
 02:51:36.285,cf:e6:8b:14:96:06, 2015-1-1 0:22:36.935, -0.123, 0.018, 1.048, 11.23, 2.625, 0.671, 4.026, 7.872, 8.443, 11.108, 12.592, -63.817, 25.8, 0.99457, 0.02722, 0.07062, 0.07092,,,,
 02:51:36.403,cf:e6:8b:14:96:06, 2015-1-1 0:22:37.205, -0.154, 0.018, 1.048, 11.23, 2.625, 0.671, 4.026, 7.872, 8.443, 11.108, 12.592, -63.817, 25.8, 0.99457, 0.02722, 0.07062, 0.07092,,,,
 02:51:36.403,cf:e6:8b:14:96:06, 2015-1-1 0:22:37.205, -0.154, 0.199, 0.939, -1.099, -0.793, -4.639, 4.79, 8.009, 8.438, 11.108, 12.592, -63.817, 25.8, 0.99457, 0.02722, 0.07062, 0.07092,,,,
 02:51:36.463,cf:e6:8b:14:96:06, 2015-1-1 0:22:37.205, -0.103, 0.199, 0.939, -1.099, -0.793, -4.639, 4.79, 8.009, 8.438, 11.433, 12.567, -63.183, 25.8, 0.99457, 0.02722, 0.07062, 0.07092,,,,
 02:51:36.463,cf:e6:8b:14:96:06, 2015-1-1 0:22:37.205, -0.103, 0.074, 1.018, -6.104, -3.479, -7.69, 3.9, 7.756, 7.811, 11.433, 12.567, -63.183, 25.8, 0.99457, 0.02722, 0.07062, 0.07092,,,,
 02:51:36.586,cf:e6:8b:14:96:06, 2015-1-1 0:22:37.205, -0.123, 0.074, 1.018, -6.104, -3.479, -7.69, 3.9, 7.756, 7.811, 11.433, 12.567, -63.183, 25.8, 0.99503, 0.02838, 0.06924, 0.06479,,,,
 02:51:36.586,cf:e6:8b:14:96:06, 2015-1-1 0:22:37.205, -0.123, 0.045, 1.029, -4.7, -1.038, -4.456, 3.257, 7.553, 7.218, 11.433, 12.567, -63.183, 25.8, 0.99503, 0.02838, 0.06924, 0.06479,,,,
 02:51:36.674,cf:e6:8b:14:96:06, 2015-1-1 0:22:37.505, -0.123, 0.045, 1.029, -4.7, -1.038, -4.456, 3.257, 7.553, 7.218, 11.433, 12.567, -63.183, 25.8, 0.99503, 0.02838, 0.06924, 0.06479,,,,
 02:51:36.674,cf:e6:8b:14:96:06, 2015-1-1 0:22:37.505, -0.123, 0.017, 1.008, 4.7, 1.587, 5.127, 3.329, 7.553, 7.416, 11.433, 12.567, -63.183, 25.8, 0.99503, 0.02838, 0.06924, 0.06479,,,,
 02:51:36.793,cf:e6:8b:14:96:06, 2015-1-1 0:22:37.505, -0.165, 0.017, 1.008, 4.7, 1.587, 5.127, 3.329, 7.553, 7.416, 10.767, 13.367, -63.325, 25.8, 0.99484, 0.03049, 0.06824, 0.06799,,,,
 02:51:36.793,cf:e6:8b:14:96:06, 2015-1-1 0:22:37.505, -0.165, 0.096, 0.99, 6.836, -2.563, 7.69, 4.208, 7.498, 8.256, 10.767, 13.367, -63.325, 25.8, 0.99484, 0.03049, 0.06824, 0.06799,,,,
 02:51:36.884,cf:e6:8b:14:96:06, 2015-1-1 0:22:37.740, -0.08, 0.096, 0.99, 6.836, -2.563, 7.69, 4.208, 7.498, 8.256, 10.767, 13.367, -63.325, 25.8, 0.99484, 0.03049, 0.06824, 0.06799,,,,
 02:51:36.885,cf:e6:8b:14:96:06, 2015-1-1 0:22:37.740, -0.08, 0.127, 1.01, 8.362, -5.981, 5.676, 5.098, 6.976, 9.069, 10.767, 13.367, -63.325, 25.8, 0.99484, 0.03049, 0.06824, 0.06799,,,,
 02:51:37.005,cf:e6:8b:14:96:06, 2015-1-1 0:22:37.740, -0.083, 0.127, 1.01, 8.362, -5.981, 5.676, 5.098, 6.976, 9.069, 10.408, 11.992, -64.467, 25.8, 0.99484, 0.03049, 0.06824, 0.06799,,,,
 02:51:37.005,cf:e6:8b:14:96:06, 2015-1-1 0:22:37.740, -0.083, 0.132, 0.997, 1.221, 2.014, 0.061, 5.641, 6.696, 9.366, 10.408, 11.992, -64.467, 25.8, 0.99484, 0.03049, 0.06824, 0.06799,,,,
 02:51:37.067,cf:e6:8b:14:96:06, 2015-1-1 0:22:37.740, -0.136, 0.132, 0.997, 1.221, 2.014, 0.061, 5.641, 6.696, 9.366, 10.408, 11.992, -64.467, 25.8, 0.9939, 0.04428, 0.06268, 0.07874,,,,
 02:51:37.067,cf:e6:8b:14:96:06, 2015-1-1 0:22:37.740, -0.136, 0.094, 0.983, -3.174, 0.122, -1.099, 5.609, 6.823, 9.443, 10.408, 11.992, -64.467, 25.8, 0.9939, 0.04428, 0.06268, 0.07874,,,,
 02:51:37.214,cf:e6:8b:14:96:06, 2015-1-1 0:22:37.980, -0.114, 0.094, 0.983, -3.174, 0.122, -1.099, 5.609, 6.823, 9.443, 10.408, 11.992, -64.467, 25.8, 0.9939, 0.04428, 0.06268, 0.07874,,,,
 02:51:37.214,cf:e6:8b:14:96:06, 2015-1-1 0:22:37.980, -0.114, 0.099, 1.029, 0.305, -6.409, -0.061, 5.493, 6.268, 9.47, 10.408, 11.992, -64.467, 25.8, 0.9939, 0.04428, 0.06268, 0.07874,,,,
 02:51:37.274,cf:e6:8b:14:96:06, 2015-1-1 0:22:37.980, -0.049, 0.099, 1.029, 0.305, -6.409, -0.061, 5.493, 6.268, 9.47, 11.067, 11.425, -65.075, 25.8, 0.9939, 0.04428, 0.06268, 0.07874,,,,
 02:51:37.275,cf:e6:8b:14:96:06, 2015-1-1 0:22:37.980, -0.049, 0.103, 1.03, -0.793, -1.526, -0.366, 5.284, 5.938, 9.311, 11.067, 11.425, -65.075, 25.8, 0.9939, 0.04428, 0.06268, 0.07874,,,,
 02:51:37.394,cf:e6:8b:14:96:06, 2015-1-1 0:22:38.280, -0.11, 0.103, 1.03, -0.793, -1.526, -0.366, 5.284, 5.938, 9.311, 11.067, 11.425, -65.075, 25.8, 0.99448, 0.04126, 0.05533, 0.07864,,,,
 02:51:37.396,cf:e6:8b:14:96:06, 2015-1-1 0:22:38.280, -0.11, 0.093, 0.996, 3.052, 5.005, 1.404, 5.186, 6.284, 9.465, 11.067, 11.425, -65.075, 25.8, 0.99448, 0.04126, 0.05533, 0.07864,,,,
 02:51:37.483,cf:e6:8b:14:96:06, 2015-1-1 0:22:38.280, -0.168, 0.093, 0.996, 3.052, 5.005, 1.404, 5.186, 6.284, 9.465, 11.067, 11.425, -65.075, 25.8, 0.99448, 0.04126, 0.05533, 0.07864,,,,
 02:51:37.483,cf:e6:8b:14:96:06, 2015-1-1 0:22:38.280, -0.168, 0.133, 0.99, 6.104, 1.648, 0.671, 5.587, 6.636, 9.679, 11.067, 11.425, -65.075, 25.8, 0.99448, 0.04126, 0.05533, 0.07864,,,,
 02:51:37.602,cf:e6:8b:14:96:06, 2015-1-1 0:22:38.280, -0.102, 0.133, 0.99, 6.104, 1.648, 0.671, 5.587, 6.636, 9.679, 11.117, 11.217, -66.433, 25.8, 0.9939, 0.04428, 0.0589, 0.08148,,,,
 02:51:37.602,cf:e6:8b:14:96:06, 2015-1-1 0:22:38.280, -0.102, 0.122, 0.996, -2.319, -7.141, -1.709, 5.598, 6.196, 9.662, 11.117, 11.217, -66.433, 25.8, 0.9939, 0.04428, 0.0589, 0.08148,,,,
 02:51:37.692,cf:e6:8b:14:96:06, 2015-1-1 0:22:38.545, -0.045, 0.122, 0.996, -2.319, -7.141, -1.709, 5.598, 6.196, 9.662, 11.117, 11.217, -66.433, 25.8, 0.9939, 0.04428, 0.0589, 0.08148,,,,
 02:51:37.692,cf:e6:8b:14:96:06, 2015-1-1 0:22:38.545, -0.045, 0.094, 1.011, -7.69, -0.732, -4.028, 5.131, 5.696, 9.349, 11.117, 11.217, -66.433, 25.8, 0.9939, 0.04428, 0.0589, 0.08148,,,,
