Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 13:45:02.111,cf:e6:8b:14:96:06, 2015-1-1 0:23:35.165, 0.246, 0.049, -0.943, 0, 0, 0, 176.77, -14.667, 23.357, -45.883, -25.425, -21.683, 26.52, -0.00156, -0.97159, -0.19714, -0.13062,,,,
 13:45:02.202,cf:e6:8b:14:96:06, 2015-1-1 0:23:35.165, 0.247, 0.05, -0.943, 0, 0, 0, 176.776, -14.661, 23.362, -45.658, -25.375, -21.825, 26.52, -0.00156, -0.97159, -0.19714, -0.13062,,,,
 13:45:02.323,cf:e6:8b:14:96:06, 2015-1-1 0:23:35.465, 0.247, 0.05, -0.943, 0, 0, 0, 176.781, -14.661, 23.362, -45.658, -25.375, -21.825, 26.52, -0.0014, -0.97159, -0.19724, -0.13052,,,,
 13:45:02.385,cf:e6:8b:14:96:06, 2015-1-1 0:23:35.465, 0.246, 0.05, -0.943, 0, 0, 0, 176.786, -14.661, 23.362, -45.658, -25.375, -21.825, 26.52, -0.0014, -0.97159, -0.19724, -0.13052,,,,
 13:45:02.504,cf:e6:8b:14:96:06, 2015-1-1 0:23:35.465, 0.246, 0.049, -0.942, 0, 0, 0, 176.792, -14.661, 23.368, -45.833, -25.267, -21.517, 26.52, -0.00128, -0.97156, -0.1973, -0.13049,,,,
 13:45:02.622,cf:e6:8b:14:96:06, 2015-1-1 0:23:35.700, 0.246, 0.05, -0.942, 0, 0, 0, 176.797, -14.656, 23.368, -45.833, -25.267, -21.517, 26.52, -0.00128, -0.97156, -0.1973, -0.13049,,,,
 13:45:02.712,cf:e6:8b:14:96:06, 2015-1-1 0:23:35.700, 0.247, 0.05, -0.942, 0, 0, 0, 176.803, -14.656, 23.373, -45.542, -25.650, -21.650, 26.52, -0.00128, -0.97156, -0.1973, -0.13049,,,,
 13:45:02.805,cf:e6:8b:14:96:06, 2015-1-1 0:23:35.700, 0.247, 0.05, -0.943, 0, 0, 0, 176.808, -14.656, 23.373, -45.542, -25.650, -21.650, 26.52, -0.00116, -0.97156, -0.19739, -0.13043,,,,
 13:45:02.923,cf:e6:8b:14:96:06, 2015-1-1 0:23:36.000, 0.246, 0.05, -0.942, 0, 0, 0, 176.814, -14.656, 23.379, -45.542, -25.650, -21.650, 26.52, -0.00116, -0.97156, -0.19739, -0.13043,,,,
 13:45:02.982,cf:e6:8b:14:96:06, 2015-1-1 0:23:36.000, 0.246, 0.05, -0.942, 0, 0, 0, 176.819, -14.656, 23.379, -46.050, -25.358, -22.142, 26.52, -0.00116, -0.97156, -0.19739, -0.13043,,,,
 13:45:03.133,cf:e6:8b:14:96:06, 2015-1-1 0:23:36.000, 0.246, 0.05, -0.943, 0, 0, 0, 176.825, -14.65, 23.384, -46.050, -25.358, -22.142, 26.52, -0.00104, -0.97156, -0.19745, -0.1304,,,,
 13:45:03.193,cf:e6:8b:14:96:06, 2015-1-1 0:23:36.295, 0.246, 0.049, -0.942, 0, 0, 0, 176.825, -14.65, 23.384, -46.050, -25.358, -22.142, 26.52, -0.00104, -0.97156, -0.19745, -0.1304,,,,
 13:45:03.313,cf:e6:8b:14:96:06, 2015-1-1 0:23:36.295, 0.246, 0.05, -0.942, 0, 0, 0, 176.83, -14.65, 23.39, -45.658, -26.258, -22.233, 26.52, -0.00104, -0.97156, -0.19745, -0.1304,,,,
 13:45:03.404,cf:e6:8b:14:96:06, 2015-1-1 0:23:36.295, 0.247, 0.05, -0.942, 0, 0, 0, 176.836, -14.65, 23.39, -45.658, -26.258, -22.233, 26.52, -0.00095, -0.97153, -0.19754, -0.13034,,,,
 13:45:03.522,cf:e6:8b:14:96:06, 2015-1-1 0:23:36.625, 0.247, 0.05, -0.942, 0, 0, 0, 176.836, -14.65, 23.395, -45.658, -26.258, -22.233, 26.52, -0.00095, -0.97153, -0.19754, -0.13034,,,,
 13:45:03.615,cf:e6:8b:14:96:06, 2015-1-1 0:23:36.625, 0.246, 0.05, -0.943, 0, 0, 0, 176.841, -14.65, 23.395, -46.058, -25.233, -21.383, 26.52, -0.00095, -0.97153, -0.19754, -0.13034,,,,
 13:45:03.734,cf:e6:8b:14:96:06, 2015-1-1 0:23:36.865, 0.247, 0.05, -0.942, 0, 0, 0, 176.847, -14.65, 23.401, -46.058, -25.233, -21.383, 26.52, -0.00085, -0.97153, -0.19763, -0.13034,,,,
 13:45:03.795,cf:e6:8b:14:96:06, 2015-1-1 0:23:36.865, 0.246, 0.051, -0.942, 0, 0, 0, 176.847, -14.65, 23.401, -46.058, -25.233, -21.383, 26.52, -0.00085, -0.97153, -0.19763, -0.13034,,,,
 13:45:03.915,cf:e6:8b:14:96:06, 2015-1-1 0:23:36.865, 0.246, 0.05, -0.942, 0, 0, 0, 176.852, -14.645, 23.406, -45.783, -25.242, -21.658, 26.52, -0.00079, -0.9715, -0.19769, -0.13031,,,,
 13:45:04.003,cf:e6:8b:14:96:06, 2015-1-1 0:23:37.100, 0.246, 0.05, -0.943, 0, 0, 0, 176.852, -14.645, 23.412, -45.783, -25.242, -21.658, 26.52, -0.00079, -0.9715, -0.19769, -0.13031,,,,
 13:45:04.124,cf:e6:8b:14:96:06, 2015-1-1 0:23:37.100, 0.247, 0.05, -0.942, 0, 0, 0, 176.858, -14.645, 23.412, -45.817, -25.500, -22.333, 26.52, -0.00079, -0.9715, -0.19769, -0.13031,,,,
 13:45:04.216,cf:e6:8b:14:96:06, 2015-1-1 0:23:37.100, 0.247, 0.05, -0.943, 0, 0, 0, 176.858, -14.645, 23.417, -45.817, -25.500, -22.333, 26.52, -0.0007, -0.9715, -0.19778, -0.13028,,,,
 13:45:04.362,cf:e6:8b:14:96:06, 2015-1-1 0:23:37.400, 0.247, 0.05, -0.945, 0, 0, 0, 176.863, -14.645, 23.417, -45.817, -25.500, -22.333, 26.52, -0.0007, -0.9715, -0.19778, -0.13028,,,,
 13:45:04.423,cf:e6:8b:14:96:06, 2015-1-1 0:23:37.400, 0.248, 0.05, -0.942, 0, 0, 0, 176.863, -14.645, 23.423, -45.817, -25.500, -22.333, 26.52, -0.0007, -0.9715, -0.19778, -0.13028,,,,
 13:45:04.543,cf:e6:8b:14:96:06, 2015-1-1 0:23:37.400, 0.247, 0.051, -0.943, 0, 0, 0, 176.869, -14.645, 23.428, -46.167, -25.808, -22.183, 26.52, -0.00061, -0.97147, -0.19788, -0.13025,,,,
 13:45:04.602,cf:e6:8b:14:96:06, 2015-1-1 0:23:37.725, 0.247, 0.05, -0.942, 0, 0, 0, 176.869, -14.645, 23.428, -46.167, -25.808, -22.183, 26.52, -0.00061, -0.97147, -0.19788, -0.13025,,,,
