Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 13:40:51.242,cf:e6:8b:14:96:06, 2015-1-1 0:19:26.080, 0.009, -0.18, 1.006, 0.671, -1.404, -0.061, -9.619, -1.093, 51.559, 3.075, -18.050, -90.450, 27.58, 0.89801, -0.06961, -0.04617, 0.43188,,,,
 13:40:51.363,cf:e6:8b:14:96:06, 2015-1-1 0:19:26.080, 0.011, -0.179, 0.994, -2.197, 1.404, 0.061, -9.97, -0.478, 172.963, 2.325, -17.867, -91.125, 27.58, 0.89801, -0.06961, -0.04617, 0.43188,,,,
 13:40:51.453,cf:e6:8b:14:96:06, 2015-1-1 0:19:26.080, 0.016, -0.195, 1.006, 0.061, -0.732, -0.549, -10.157, -0.352, 172.93, 2.325, -17.867, -91.125, 27.58, 0.06158, -0.00244, -0.08853, 0.99411,,,,
 13:40:51.572,cf:e6:8b:14:96:06, 2015-1-1 0:19:26.375, 0.003, -0.18, 0.989, -2.808, 0.793, 0.183, -10.596, -0.412, 173.425, 2.325, -17.867, -91.125, 27.58, 0.06158, -0.00244, -0.08853, 0.99411,,,,
 13:40:51.633,cf:e6:8b:14:96:06, 2015-1-1 0:19:26.375, 0.005, -0.187, 1, -0.488, 1.526, 0.244, -10.662, -0.368, 173.326, 2.883, -18.217, -91.642, 27.58, 0.06158, -0.00244, -0.08853, 0.99411,,,,
 13:40:51.754,cf:e6:8b:14:96:06, 2015-1-1 0:19:26.375, 0, -0.189, 0.999, -2.136, 0.488, 0, -10.668, -0.396, 173.568, 2.883, -18.217, -91.642, 27.58, 0.05615, -0.00186, -0.09332, 0.99399,,,,
 13:40:51.842,cf:e6:8b:14:96:06, 2015-1-1 0:19:26.705, 0.007, -0.208, 1.017, 1.038, 0, 0.061, -10.827, -0.368, 173.562, 2.883, -18.217, -91.642, 27.58, 0.05615, -0.00186, -0.09332, 0.99399,,,,
 13:40:51.964,cf:e6:8b:14:96:06, 2015-1-1 0:19:26.705, -0.002, -0.198, 0.993, -1.16, 2.014, 0.244, -10.926, -0.236, 173.644, 3.125, -17.833, -90.375, 27.58, 0.05493, -0.00424, -0.09573, 0.99384,,,,
 13:40:52.054,cf:e6:8b:14:96:06, 2015-1-1 0:19:26.945, -0.006, -0.193, 0.995, -2.014, -0.122, -0.122, -11.03, -0.115, 173.677, 3.125, -17.833, -90.375, 27.58, 0.05493, -0.00424, -0.09573, 0.99384,,,,
 13:40:52.175,cf:e6:8b:14:96:06, 2015-1-1 0:19:26.945, -0.006, -0.198, 0.991, -1.282, 2.197, 0.244, -11.124, 0, 173.65, 3.650, -17.600, -89.775, 27.58, 0.05493, -0.00424, -0.09573, 0.99384,,,,
 13:40:52.235,cf:e6:8b:14:96:06, 2015-1-1 0:19:26.945, 0.001, -0.194, 0.997, 0.061, -0.183, 0.183, -11.085, 0.093, 173.826, 3.650, -17.600, -89.775, 27.58, 0.05347, -0.00598, -0.0965, 0.99384,,,,
 13:40:52.353,cf:e6:8b:14:96:06, 2015-1-1 0:19:27.180, -0.008, -0.175, 0.974, -6.165, 2.625, 0.061, -11.294, 0.242, 173.793, 3.650, -17.600, -89.775, 27.58, 0.05347, -0.00598, -0.0965, 0.99384,,,,
 13:40:52.443,cf:e6:8b:14:96:06, 2015-1-1 0:19:27.180, -0.015, -0.193, 0.981, -1.038, 0.305, 0.122, -11.453, 0.401, 173.76, 3.842, -17.050, -90.408, 27.58, 0.05347, -0.00598, -0.0965, 0.99384,,,,
 13:40:52.563,cf:e6:8b:14:96:06, 2015-1-1 0:19:27.480, -0.019, -0.209, 0.997, 0.122, 0.61, 0, -11.618, 0.5, 173.886, 3.842, -17.050, -90.408, 27.58, 0.05197, -0.00974, -0.10086, 0.99344,,,,
 13:40:52.652,cf:e6:8b:14:96:06, 2015-1-1 0:19:27.480, -0.021, -0.212, 1, -1.892, 1.648, 0, -11.722, 0.648, 174.067, 3.842, -17.050, -90.408, 27.58, 0.05197, -0.00974, -0.10086, 0.99344,,,,
 13:40:52.772,cf:e6:8b:14:96:06, 2015-1-1 0:19:27.480, -0.013, -0.219, 0.995, -1.465, -0.305, 0, -11.832, 0.665, 174.045, 4.267, -16.908, -89.358, 27.58, 0.05197, -0.00974, -0.10086, 0.99344,,,,
