Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 13:43:38.420,cf:e6:8b:14:96:06, 2015-1-1 0:22:12.145, -1.003, 0, 0, 0, 0, 0, 17.737, 88.66, -159.62, 31.675, -30.983, -23.575, 26.7, -0.01895, -0.69894, -0.01355, 0.71472,,,,
 13:43:38.538,cf:e6:8b:14:96:06, 2015-1-1 0:22:12.145, -1.004, 0, 0.012, 0, 0, 0, 17.924, 88.693, -159.428, 31.700, -30.417, -22.792, 26.7, -0.01895, -0.69894, -0.01355, 0.71472,,,,
 13:43:38.599,cf:e6:8b:14:96:06, 2015-1-1 0:22:12.145, -0.997, 0.012, 0.011, 0, 0, 0, 18.182, 88.715, -159.17, 31.700, -30.417, -22.792, 26.7, -0.01895, -0.69937, -0.01364, 0.71429,,,,
 13:43:38.718,cf:e6:8b:14:96:06, 2015-1-1 0:22:12.385, -1.001, 0.01, -0.004, 0, 0, 0, 18.6, 88.742, -158.747, 31.700, -30.417, -22.792, 26.7, -0.01895, -0.69937, -0.01364, 0.71429,,,,
 13:43:38.807,cf:e6:8b:14:96:06, 2015-1-1 0:22:12.385, -0.994, 0.004, -0.006, 0, 0, 0, 18.688, 88.775, -158.544, 32.092, -30.608, -23.383, 26.7, -0.01895, -0.69937, -0.01364, 0.71429,,,,
 13:43:38.930,cf:e6:8b:14:96:06, 2015-1-1 0:22:12.685, -1.001, 0.002, -0.004, 0, 0, 0, 19.056, 88.792, -158.17, 32.092, -30.608, -23.383, 26.7, -0.01968, -0.69989, -0.0145, 0.71375,,,,
 13:43:39.018,cf:e6:8b:14:96:06, 2015-1-1 0:22:12.685, -1.001, 0.006, 0.005, 0, 0, 0, 19.457, 88.824, -157.764, 32.092, -30.608, -23.383, 26.7, -0.01968, -0.69989, -0.0145, 0.71375,,,,
 13:43:39.138,cf:e6:8b:14:96:06, 2015-1-1 0:22:12.685, -0.997, 0.008, -0.001, 0, 0, 0, 19.896, 88.852, -157.324, 31.350, -30.933, -23.742, 26.7, -0.01968, -0.69989, -0.0145, 0.71375,,,,
 13:43:39.199,cf:e6:8b:14:96:06, 2015-1-1 0:22:12.685, -1.003, 0.003, -0.003, 0, 0, 0, 20.336, 88.879, -156.885, 31.350, -30.933, -23.742, 26.7, -0.01965, -0.70038, -0.01456, 0.71329,,,,
 13:43:39.317,cf:e6:8b:14:96:06, 2015-1-1 0:22:12.980, -0.997, 0.005, 0.008, 0, 0, 0, 20.803, 88.907, -156.412, 31.350, -30.933, -23.742, 26.7, -0.01965, -0.70038, -0.01456, 0.71329,,,,
 13:43:39.408,cf:e6:8b:14:96:06, 2015-1-1 0:22:12.980, -1, 0.003, -0.008, 0, 0, 0, 21.264, 88.934, -155.951, 31.317, -30.917, -23.542, 26.7, -0.01965, -0.70038, -0.01456, 0.71329,,,,
 13:43:39.528,cf:e6:8b:14:96:06, 2015-1-1 0:22:13.280, -1, 0.008, 0, 0, 0, 0, 21.676, 88.967, -155.539, 31.317, -30.917, -23.542, 26.7, -0.01962, -0.70102, -0.01462, 0.71268,,,,
 13:43:39.620,cf:e6:8b:14:96:06, 2015-1-1 0:22:13.280, -0.996, 0.002, -0.001, 0, 0, 0, 22.297, 88.989, -154.924, 31.317, -30.917, -23.542, 26.7, -0.01962, -0.70102, -0.01462, 0.71268,,,,
 13:43:39.738,cf:e6:8b:14:96:06, 2015-1-1 0:22:13.280, -1.003, 0.003, -0.012, 0, 0, 0, 22.819, 89.017, -154.396, 30.875, -30.558, -22.442, 26.7, -0.01962, -0.70148, -0.01468, 0.71222,,,,
