Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 13:46:27.905,cf:e6:8b:14:96:06, 2015-1-1 0:25:0.480, -0.01, 0.521, 0.867, 3.235, 0, 0.244, 31.124, 0.253, -65.171, -27.158, -31.125, -75.108, 26.43, 0.81119, 0.2276, -0.14301, -0.51923,,,,
 13:46:27.995,cf:e6:8b:14:96:06, 2015-1-1 0:25:0.480, -0.012, 0.537, 0.857, -2.075, -0.549, 0.183, 31.229, 0.214, -65.193, -27.067, -31.175, -75.092, 26.43, 0.81119, 0.2276, -0.14301, -0.51923,,,,
 13:46:28.147,cf:e6:8b:14:96:06, 2015-1-1 0:25:0.685, -0.01, 0.521, 0.869, 1.343, 0.305, 0.122, 31.251, 0.797, -65.945, -27.067, -31.175, -75.092, 26.43, 0.80646, 0.2294, -0.14114, -0.52628,,,,
 13:46:28.209,cf:e6:8b:14:96:06, 2015-1-1 0:25:0.685, -0.013, 0.526, 0.868, -1.282, -0.366, -0.366, 31.251, 0.764, -65.885, -27.067, -31.175, -75.092, 26.43, 0.80646, 0.2294, -0.14114, -0.52628,,,,
 13:46:28.328,cf:e6:8b:14:96:06, 2015-1-1 0:25:0.685, -0.009, 0.521, 0.864, 0.793, 0.488, 0.122, 31.207, 0.753, -65.962, -27.458, -30.850, -74.492, 26.43, 0.80667, 0.22903, -0.14127, -0.52606,,,,
 13:46:28.386,cf:e6:8b:14:96:06, 2015-1-1 0:25:0.925, -0.011, 0.523, 0.87, -2.869, -1.16, -0.977, 31.229, 0.742, -65.945, -27.458, -30.850, -74.492, 26.43, 0.80667, 0.22903, -0.14127, -0.52606,,,,
 13:46:28.510,cf:e6:8b:14:96:06, 2015-1-1 0:25:0.925, -0.014, 0.508, 0.867, 2.136, -0.488, -0.61, 31.256, 0.714, -65.94, -27.500, -30.042, -75.550, 26.43, 0.80667, 0.22903, -0.14127, -0.52606,,,,
 13:46:28.596,cf:e6:8b:14:96:06, 2015-1-1 0:25:1.165, -0.013, 0.516, 0.869, 0, 0, 0, 31.388, 0.731, -65.995, -27.500, -30.042, -75.550, 26.43, 0.8064, 0.23022, -0.14218, -0.52573,,,,
 13:46:28.716,cf:e6:8b:14:96:06, 2015-1-1 0:25:1.165, -0.01, 0.524, 0.88, 0, 0, 0, 31.382, 0.67, -66.319, -27.500, -30.042, -75.550, 26.43, 0.8064, 0.23022, -0.14218, -0.52573,,,,
 13:46:28.809,cf:e6:8b:14:96:06, 2015-1-1 0:25:1.165, -0.011, 0.515, 0.87, 0, 0, 0, 31.311, 0.643, -66.33, -27.100, -30.733, -74.667, 26.43, 0.8064, 0.23022, -0.14218, -0.52573,,,,
 13:46:28.926,cf:e6:8b:14:96:06, 2015-1-1 0:25:1.460, -0.006, 0.53, 0.864, 0, 0, 0, 31.448, 0.582, -66.407, -27.100, -30.733, -74.667, 26.43, 0.8046, 0.22943, -0.14429, -0.52826,,,,
 13:46:28.988,cf:e6:8b:14:96:06, 2015-1-1 0:25:1.460, -0.01, 0.529, 0.874, 0, 0, 0, 31.448, 0.527, -66.308, -27.100, -30.733, -74.667, 26.43, 0.8046, 0.22943, -0.14429, -0.52826,,,,
 13:46:29.107,cf:e6:8b:14:96:06, 2015-1-1 0:25:1.460, -0.008, 0.519, 0.868, 0, 0, 0, 31.443, 0.505, -66.341, -28.017, -31.367, -74.650, 26.43, 0.80487, 0.229, -0.14468, -0.52792,,,,
 13:46:29.199,cf:e6:8b:14:96:06, 2015-1-1 0:25:1.700, -0.005, 0.523, 0.869, 0, 0, 0, 31.432, 0.5, -66.407, -28.017, -31.367, -74.650, 26.43, 0.80487, 0.229, -0.14468, -0.52792,,,,
 13:46:29.345,cf:e6:8b:14:96:06, 2015-1-1 0:25:1.700, 0, 0.531, 0.861, 0, 0, 0, 31.465, 0.401, -66.478, -27.700, -31.050, -74.992, 26.43, 0.8045, 0.22812, -0.14597, -0.5285,,,,
 13:46:29.407,cf:e6:8b:14:96:06, 2015-1-1 0:25:1.935, -0.002, 0.52, 0.862, 0, 0, 0, 31.421, 0.346, -66.478, -27.700, -31.050, -74.992, 26.43, 0.8045, 0.22812, -0.14597, -0.5285,,,,
 13:46:29.526,cf:e6:8b:14:96:06, 2015-1-1 0:25:1.935, -0.001, 0.522, 0.864, 0, 0, 0, 31.415, 0.335, -66.44, -28.117, -30.900, -74.958, 26.43, 0.8045, 0.22812, -0.14597, -0.5285,,,,
 13:46:29.646,cf:e6:8b:14:96:06, 2015-1-1 0:25:1.935, -0.017, 0.523, 0.863, 0, 0, 0, 31.399, 0.33, -66.44, -28.117, -30.900, -74.958, 26.43, 0.80505, 0.22757, -0.14563, -0.52798,,,,
 13:46:29.764,cf:e6:8b:14:96:06, 2015-1-1 0:25:2.205, 0, 0.497, 0.884, 1.953, 0.854, 0, 31.201, 0.374, -66.418, -28.117, -30.900, -74.958, 26.43, 0.80505, 0.22757, -0.14563, -0.52798,,,,
