Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 13:42:14.607,cf:e6:8b:14:96:06, 2015-1-1 0:20:48.680, 0.945, -0.028, 0.315, 0.732, 0.366, 0.122, -2.889, -72.543, 168.14, -52.483, -23.650, -83.217, 26.76, 0.09808, 0.58621, -0.08127, 0.80002,,,,
 13:42:14.727,cf:e6:8b:14:96:06, 2015-1-1 0:20:48.980, 0.951, -0.023, 0.312, 1.038, -0.61, -0.061, -2.939, -72.515, 168.19, -52.008, -23.558, -83.758, 26.76, 0.09808, 0.58621, -0.08127, 0.80002,,,,
 13:42:14.816,cf:e6:8b:14:96:06, 2015-1-1 0:20:48.980, 0.945, -0.028, 0.311, 0.488, -0.977, 0, -2.972, -72.482, 168.223, -52.008, -23.558, -83.758, 26.76, 0.09793, 0.58566, -0.08145, 0.80042,,,,
 13:42:14.935,cf:e6:8b:14:96:06, 2015-1-1 0:20:49.215, 0.951, -0.03, 0.323, 0.305, 1.099, 0, -3.049, -72.405, 168.278, -52.008, -23.558, -83.758, 26.76, 0.09793, 0.58566, -0.08145, 0.80042,,,,
 13:42:15.025,cf:e6:8b:14:96:06, 2015-1-1 0:20:49.215, 0.945, -0.023, 0.316, -0.244, 1.099, 0, -3.093, -72.328, 168.333, -52.733, -24.050, -85.025, 26.76, 0.09793, 0.58566, -0.08145, 0.80042,,,,
 13:42:15.147,cf:e6:8b:14:96:06, 2015-1-1 0:20:49.485, 0.945, -0.022, 0.322, 0.427, 0.793, 0, -3.197, -72.263, 168.431, -52.733, -24.050, -85.025, 26.76, 0.09769, 0.58408, -0.08182, 0.80157,,,,
 13:42:15.236,cf:e6:8b:14:96:06, 2015-1-1 0:20:49.485, 0.945, -0.024, 0.328, 0.244, -0.122, 0, -3.23, -72.23, 168.464, -52.733, -24.050, -85.025, 26.76, 0.09769, 0.58408, -0.08182, 0.80157,,,,
 13:42:15.357,cf:e6:8b:14:96:06, 2015-1-1 0:20:49.485, 0.946, -0.025, 0.321, 0, 0, 0, -3.268, -72.197, 168.503, -51.992, -23.217, -83.775, 26.76, 0.09769, 0.58408, -0.08182, 0.80157,,,,
 13:42:15.418,cf:e6:8b:14:96:06, 2015-1-1 0:20:49.485, 0.952, -0.024, 0.319, 0, 0, 0, -3.312, -72.169, 168.541, -51.992, -23.217, -83.775, 26.76, 0.09753, 0.58347, -0.082, 0.802,,,,
 13:42:15.536,cf:e6:8b:14:96:06, 2015-1-1 0:20:49.785, 0.945, -0.022, 0.317, 0, 0, 0, -3.351, -72.147, 168.58, -51.992, -23.217, -83.775, 26.76, 0.09753, 0.58347, -0.082, 0.802,,,,
