Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 14:02:52.496,cf:e6:8b:14:96:06, 2015-1-1 0:41:18.145, 0.154, -0.043, -0.963, 0, 0, 0, -177.407, -9.058, 16.853, -35.783, -23.908, -11.733, 26.26, 0.03391, -0.9855, -0.14807, -0.0748,,,,
 14:02:52.646,cf:e6:8b:14:96:06, 2015-1-1 0:41:18.145, 0.154, -0.043, -0.963, 0, 0, 0, -177.407, -9.058, 16.787, -35.208, -24.192, -13.067, 26.26, 0.03391, -0.9855, -0.14807, -0.0748,,,,
 14:02:52.710,cf:e6:8b:14:96:06, 2015-1-1 0:41:18.145, 0.154, -0.043, -0.964, 0, 0, 0, -177.407, -9.064, 16.721, -35.208, -24.192, -13.067, 26.26, 0.03391, -0.9855, -0.14807, -0.0748,,,,
 14:02:52.797,cf:e6:8b:14:96:06, 2015-1-1 0:41:18.145, 0.154, -0.043, -0.964, 0, 0, 0, -177.407, -9.058, 16.655, -35.208, -24.192, -13.067, 26.26, 0.03372, -0.98578, -0.14624, -0.07486,,,,
 14:02:52.887,cf:e6:8b:14:96:06, 2015-1-1 0:41:18.145, 0.154, -0.043, -0.963, 0, 0, 0, -177.407, -9.064, 16.589, -35.208, -24.192, -13.067, 26.26, 0.03372, -0.98578, -0.14624, -0.07486,,,,
 14:02:53.006,cf:e6:8b:14:96:06, 2015-1-1 0:41:18.145, 0.154, -0.044, -0.963, 0, 0, 0, -177.407, -9.064, 16.523, -35.208, -24.192, -13.067, 26.16, 0.03372, -0.98578, -0.14624, -0.07486,,,,
 14:02:53.126,cf:e6:8b:14:96:06, 2015-1-1 0:41:18.740, 0.154, -0.043, -0.964, 0, 0, 0, -177.407, -9.064, 16.458, -35.208, -24.192, -13.067, 26.16, 0.03372, -0.98578, -0.14624, -0.07486,,,,
 14:02:53.217,cf:e6:8b:14:96:06, 2015-1-1 0:41:18.740, 0.155, -0.044, -0.964, 0, 0, 0, -177.407, -9.064, 16.386, -35.658, -23.617, -11.942, 26.16, 0.03372, -0.98578, -0.14624, -0.07486,,,,
 14:02:53.276,cf:e6:8b:14:96:06, 2015-1-1 0:41:18.740, 0.154, -0.043, -0.963, 0, 0, 0, -177.407, -9.064, 16.32, -35.658, -23.617, -11.942, 26.16, 0.03348, -0.98627, -0.14301, -0.07501,,,,
 14:02:53.426,cf:e6:8b:14:96:06, 2015-1-1 0:41:19.010, 0.154, -0.043, -0.963, 0, 0, 0, -177.407, -9.064, 16.254, -35.658, -23.617, -11.942, 26.16, 0.03348, -0.98627, -0.14301, -0.07501,,,,
 14:02:53.488,cf:e6:8b:14:96:06, 2015-1-1 0:41:19.010, 0.154, -0.044, -0.962, 0, 0, 0, -177.407, -9.064, 16.183, -36.008, -23.900, -11.700, 26.16, 0.03348, -0.98627, -0.14301, -0.07501,,,,
 14:02:53.696,cf:e6:8b:14:96:06, 2015-1-1 0:41:19.010, 0.154, -0.044, -0.964, 0, 0, 0, -177.407, -9.064, 16.117, -36.008, -23.900, -11.700, 26.16, 0.03336, -0.98648, -0.14136, -0.07507,,,,
 14:02:53.698,cf:e6:8b:14:96:06, 2015-1-1 0:41:19.305, 0.155, -0.044, -0.963, 0, 0, 0, -177.407, -9.064, 16.046, -36.008, -23.900, -11.700, 26.16, 0.03336, -0.98648, -0.14136, -0.07507,,,,
 14:02:53.816,cf:e6:8b:14:96:06, 2015-1-1 0:41:19.305, 0.155, -0.043, -0.963, 0, 0, 0, -177.407, -9.064, 15.98, -36.008, -23.900, -11.700, 26.16, 0.03336, -0.98648, -0.14136, -0.07507,,,,
 14:02:53.908,cf:e6:8b:14:96:06, 2015-1-1 0:41:19.305, 0.154, -0.043, -0.963, 0, 0, 0, -177.407, -9.069, 15.908, -35.558, -23.675, -12.725, 26.16, 0.03336, -0.98648, -0.14136, -0.07507,,,,
 14:02:54.056,cf:e6:8b:14:96:06, 2015-1-1 0:41:19.665, 0.154, -0.044, -0.963, 0, 0, 0, -177.407, -9.069, 15.837, -35.558, -23.675, -12.725, 26.16, 0.0332, -0.98682, -0.1391, -0.07516,,,,
 14:02:54.087,cf:e6:8b:14:96:06, 2015-1-1 0:41:19.665, 0.154, -0.044, -0.963, 0, 0, 0, -177.407, -9.069, 15.771, -35.558, -23.675, -12.725, 26.16, 0.0332, -0.98682, -0.1391, -0.07516,,,,
 14:02:54.208,cf:e6:8b:14:96:06, 2015-1-1 0:41:19.665, 0.154, -0.043, -0.963, 0, 0, 0, -177.407, -9.069, 15.699, -35.867, -23.825, -12.475, 26.16, 0.0332, -0.98682, -0.1391, -0.07516,,,,
 14:02:54.417,cf:e6:8b:14:96:06, 2015-1-1 0:41:19.960, 0.154, -0.043, -0.964, 0, 0, 0, -177.407, -9.069, 15.628, -35.867, -23.825, -12.475, 26.16, 0.03305, -0.98706, -0.1373, -0.07523,,,,
 14:02:54.446,cf:e6:8b:14:96:06, 2015-1-1 0:41:19.960, 0.154, -0.043, -0.963, 0, 0, 0, -177.407, -9.069, 15.562, -35.867, -23.825, -12.475, 26.16, 0.03305, -0.98706, -0.1373, -0.07523,,,,
 14:02:54.521,cf:e6:8b:14:96:06, 2015-1-1 0:41:19.960, 0.154, -0.044, -0.964, 0, 0, 0, -177.407, -9.069, 15.491, -35.867, -23.825, -12.475, 26.16, 0.03305, -0.98706, -0.1373, -0.07523,,,,
 14:02:54.629,cf:e6:8b:14:96:06, 2015-1-1 0:41:19.960, 0.154, -0.043, -0.963, 0, 0, 0, -177.407, -9.069, 15.419, -35.742, -24.075, -12.633, 26.16, 0.03287, -0.98737, -0.1351, -0.07532,,,,
 14:02:54.716,cf:e6:8b:14:96:06, 2015-1-1 0:41:20.320, 0.154, -0.043, -0.964, 0, 0, 0, -177.407, -9.069, 15.348, -35.742, -24.075, -12.633, 26.16, 0.03287, -0.98737, -0.1351, -0.07532,,,,
 14:02:54.809,cf:e6:8b:14:96:06, 2015-1-1 0:41:20.320, 0.154, -0.043, -0.963, 0, 0, 0, -177.407, -9.069, 15.276, -35.475, -23.483, -12.733, 26.16, 0.03287, -0.98737, -0.1351, -0.07532,,,,
 14:02:54.897,cf:e6:8b:14:96:06, 2015-1-1 0:41:20.560, 0.154, -0.043, -0.963, 0, 0, 0, -177.407, -9.069, 15.205, -35.475, -23.483, -12.733, 26.16, 0.03275, -0.98758, -0.13364, -0.07535,,,,
 14:02:55.017,cf:e6:8b:14:96:06, 2015-1-1 0:41:20.560, 0.154, -0.044, -0.964, 0, 0, 0, -177.407, -9.069, 15.134, -35.475, -23.483, -12.733, 26.16, 0.03275, -0.98758, -0.13364, -0.07535,,,,
 14:02:55.167,cf:e6:8b:14:96:06, 2015-1-1 0:41:20.560, 0.154, -0.043, -0.963, 0, 0, 0, -177.407, -9.069, 15.062, -35.633, -23.800, -12.233, 26.16, 0.03275, -0.98758, -0.13364, -0.07535,,,,
 14:02:55.226,cf:e6:8b:14:96:06, 2015-1-1 0:41:20.560, 0.153, -0.043, -0.964, 0, 0, 0, -177.407, -9.069, 14.991, -35.633, -23.800, -12.233, 26.16, 0.03275, -0.98758, -0.13364, -0.07535,,,,
 14:02:55.316,cf:e6:8b:14:96:06, 2015-1-1 0:41:20.560, 0.155, -0.044, -0.963, 0, 0, 0, -177.407, -9.069, 14.919, -35.633, -23.800, -12.233, 26.16, 0.03256, -0.98792, -0.13104, -0.07544,,,,
 14:02:55.435,cf:e6:8b:14:96:06, 2015-1-1 0:41:20.975, 0.154, -0.043, -0.963, 0, 0, 0, -177.407, -9.069, 14.848, -35.633, -23.800, -12.233, 26.16, 0.03256, -0.98792, -0.13104, -0.07544,,,,
 14:02:55.494,cf:e6:8b:14:96:06, 2015-1-1 0:41:20.975, 0.154, -0.044, -0.964, 0, 0, 0, -177.407, -9.069, 14.777, -36.250, -24.217, -12.117, 26.16, 0.03256, -0.98792, -0.13104, -0.07544,,,,
 14:02:55.617,cf:e6:8b:14:96:06, 2015-1-1 0:41:20.975, 0.154, -0.043, -0.963, 0, 0, 0, -177.407, -9.069, 14.705, -36.250, -24.217, -12.117, 26.16, 0.03244, -0.98816, -0.12918, -0.07553,,,,
 14:02:55.705,cf:e6:8b:14:96:06, 2015-1-1 0:41:21.305, 0.154, -0.043, -0.963, 0, 0, 0, -177.407, -9.069, 14.628, -36.250, -24.217, -12.117, 26.16, 0.03244, -0.98816, -0.12918, -0.07553,,,,
 14:02:55.856,cf:e6:8b:14:96:06, 2015-1-1 0:41:21.305, 0.154, -0.043, -0.963, 0, 0, 0, -177.407, -9.069, 14.557, -35.783, -23.675, -11.683, 26.16, 0.03244, -0.98816, -0.12918, -0.07553,,,,
 14:02:55.921,cf:e6:8b:14:96:06, 2015-1-1 0:41:21.305, 0.154, -0.043, -0.964, 0, 0, 0, -177.407, -9.069, 14.485, -35.783, -23.675, -11.683, 26.16, 0.03244, -0.98816, -0.12918, -0.07553,,,,
 14:02:56.037,cf:e6:8b:14:96:06, 2015-1-1 0:41:21.660, 0.154, -0.043, -0.964, 0, 0, 0, -177.407, -9.069, 14.414, -35.783, -23.675, -11.683, 26.16, 0.03229, -0.98843, -0.12717, -0.07559,,,,
 14:02:56.099,cf:e6:8b:14:96:06, 2015-1-1 0:41:21.660, 0.154, -0.043, -0.963, 0, 0, 0, -177.407, -9.069, 14.337, -35.783, -23.675, -11.683, 26.16, 0.03229, -0.98843, -0.12717, -0.07559,,,,
 14:02:56.218,cf:e6:8b:14:96:06, 2015-1-1 0:41:21.660, 0.154, -0.043, -0.964, 0, 0, 0, -177.407, -9.069, 14.266, -36.083, -23.933, -11.550, 26.16, 0.03214, -0.98868, -0.12527, -0.07565,,,,
 14:02:56.306,cf:e6:8b:14:96:06, 2015-1-1 0:41:21.900, 0.154, -0.043, -0.964, 0, 0, 0, -177.407, -9.069, 14.189, -36.083, -23.933, -11.550, 26.16, 0.03214, -0.98868, -0.12527, -0.07565,,,,
 14:02:56.428,cf:e6:8b:14:96:06, 2015-1-1 0:41:21.900, 0.154, -0.043, -0.964, 0, 0, 0, -177.407, -9.069, 14.117, -35.933, -23.950, -11.683, 26.16, 0.03214, -0.98868, -0.12527, -0.07565,,,,
 14:02:56.575,cf:e6:8b:14:96:06, 2015-1-1 0:41:22.165, 0.154, -0.043, -0.963, 0, 0, 0, -177.407, -9.069, 14.046, -35.933, -23.950, -11.683, 26.16, 0.03198, -0.98886, -0.12363, -0.07571,,,,
 14:02:56.636,cf:e6:8b:14:96:06, 2015-1-1 0:41:22.165, 0.154, -0.043, -0.963, 0, 0, 0, -177.407, -9.069, 13.975, -35.933, -23.950, -11.683, 26.16, 0.03198, -0.98886, -0.12363, -0.07571,,,,
 14:02:56.727,cf:e6:8b:14:96:06, 2015-1-1 0:41:22.165, 0.154, -0.043, -0.963, 0, 0, 0, -177.413, -9.069, 13.898, -35.900, -23.925, -13.033, 26.16, 0.03198, -0.98886, -0.12363, -0.07571,,,,
 14:02:56.846,cf:e6:8b:14:96:06, 2015-1-1 0:41:22.165, 0.154, -0.043, -0.964, 0, 0, 0, -177.413, -9.069, 13.826, -35.900, -23.925, -13.033, 26.16, 0.03183, -0.98914, -0.12146, -0.07578,,,,
 14:02:56.907,cf:e6:8b:14:96:06, 2015-1-1 0:41:22.495, 0.154, -0.043, -0.964, 0, 0, 0, -177.413, -9.069, 13.749, -35.900, -23.925, -13.033, 26.16, 0.03183, -0.98914, -0.12146, -0.07578,,,,
 14:02:57.029,cf:e6:8b:14:96:06, 2015-1-1 0:41:22.495, 0.154, -0.043, -0.963, 0, 0, 0, -177.413, -9.069, 13.678, -36.233, -23.933, -12.417, 26.16, 0.03183, -0.98914, -0.12146, -0.07578,,,,
