Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 13:58:05.981,cf:e6:8b:14:96:06, 2015-1-1 0:36:33.580, -0.136, 0.161, 1.042, 2.686, 5.798, 2.38, 9.86, 3.192, 174.402, 6.167, -28.975, -88.717, 25.34, 0.05536, -0.02158, 0.08643, 0.99445,,,,
 13:58:06.071,cf:e6:8b:14:96:06, 2015-1-1 0:36:33.580, -0.078, 0.2, 0.985, -5.188, -1.587, -0.427, 9.58, 3.384, 175.182, 5.883, -28.808, -89.275, 25.34, 0.05536, -0.02158, 0.08643, 0.99445,,,,
 13:58:06.192,cf:e6:8b:14:96:06, 2015-1-1 0:36:33.880, -0.075, 0.16, 0.994, 2.441, -3.845, 0.488, 9.454, 3.406, 176.067, 5.883, -28.808, -89.275, 25.34, 0.03656, -0.02625, 0.08405, 0.99539,,,,
 13:58:06.281,cf:e6:8b:14:96:06, 2015-1-1 0:36:33.880, -0.138, 0.167, 0.997, 2.136, -0.61, 2.014, 9.531, 3.274, 176.979, 5.883, -28.808, -89.275, 25.34, 0.03656, -0.02625, 0.08405, 0.99539,,,,
 13:58:06.402,cf:e6:8b:14:96:06, 2015-1-1 0:36:33.880, -0.136, 0.173, 1.042, 6.775, 0.671, -2.319, 9.646, 3.362, 177.764, 6.292, -28.808, -88.542, 25.34, 0.03656, -0.02625, 0.08405, 0.99539,,,,
 13:58:06.492,cf:e6:8b:14:96:06, 2015-1-1 0:36:33.880, -0.083, 0.178, 0.991, 2.441, -0.427, -2.258, 9.739, 3.521, 178.846, 6.292, -28.808, -88.542, 25.34, 0.01541, -0.02911, 0.08521, 0.99576,,,,
 13:58:06.613,cf:e6:8b:14:96:06, 2015-1-1 0:36:33.880, -0.065, 0.231, 0.93, -0.732, -3.479, -4.028, 9.767, 3.647, 179.918, 6.292, -28.808, -88.542, 25.52, 0.01541, -0.02911, 0.08521, 0.99576,,,,
 13:58:06.672,cf:e6:8b:14:96:06, 2015-1-1 0:36:34.325, -0.096, 0.222, 1.006, 0.183, 5.249, -2.014, 9.954, 3.994, -178.984, 6.292, -28.808, -88.542, 25.52, 0.01541, -0.02911, 0.08521, 0.99576,,,,
 13:58:06.793,cf:e6:8b:14:96:06, 2015-1-1 0:36:34.325, -0.117, 0.22, 1.087, 0.366, -0.122, 1.404, 9.992, 4.125, -177.66, 5.958, -28.975, -88.850, 25.52, 0.01541, -0.02911, 0.08521, 0.99576,,,,
 13:58:06.881,cf:e6:8b:14:96:06, 2015-1-1 0:36:34.565, -0.106, 0.172, 1.003, 8.179, 1.77, 3.845, 10.338, 4.164, -177.056, 5.958, -28.975, -88.850, 25.52, -0.02243, -0.03851, 0.08932, 0.99496,,,,
 13:58:07.001,cf:e6:8b:14:96:06, 2015-1-1 0:36:34.565, -0.101, 0.176, 0.974, 4.883, -0.122, 1.221, 10.712, 4.109, -176.407, 6.067, -29.792, -88.367, 25.52, -0.02243, -0.03851, 0.08932, 0.99496,,,,
 13:58:07.092,cf:e6:8b:14:96:06, 2015-1-1 0:36:34.565, -0.084, 0.147, 0.967, 0.977, -0.427, 0.488, 10.778, 4.257, -175.067, 6.067, -29.792, -88.367, 25.52, -0.04141, -0.04129, 0.09341, 0.99387,,,,
 13:58:07.215,cf:e6:8b:14:96:06, 2015-1-1 0:36:34.805, -0.072, 0.257, 0.996, -4.395, -0.427, -2.258, 10.876, 4.351, -174.265, 6.067, -29.792, -88.367, 25.52, -0.04141, -0.04129, 0.09341, 0.99387,,,,
 13:58:07.272,cf:e6:8b:14:96:06, 2015-1-1 0:36:34.805, -0.095, 0.181, 0.993, -4.456, -1.221, 0.61, 10.256, 4.471, -174.397, 6.108, -29.300, -89.100, 25.52, -0.04141, -0.04129, 0.09341, 0.99387,,,,
 13:58:07.391,cf:e6:8b:14:96:06, 2015-1-1 0:36:34.805, -0.119, 0.151, 0.997, -3.357, 2.625, 0.427, 10.02, 4.691, -173.502, 6.108, -29.300, -89.100, 25.52, -0.05289, -0.04587, 0.08453, 0.9939,,,,
 13:58:07.481,cf:e6:8b:14:96:06, 2015-1-1 0:36:35.100, -0.102, 0.178, 0.99, -0.549, 0.916, 0.427, 9.893, 5.405, -170.03, 6.108, -29.300, -89.100, 25.52, -0.05289, -0.04587, 0.08453, 0.9939,,,,
 13:58:07.601,cf:e6:8b:14:96:06, 2015-1-1 0:36:35.100, -0.085, 0.173, 1.003, -0.183, 1.038, -0.488, 9.904, 5.422, -169.953, 5.917, -28.808, -88.808, 25.52, -0.0806, -0.05405, 0.08197, 0.99185,,,,
 13:58:07.692,cf:e6:8b:14:96:06, 2015-1-1 0:36:35.340, -0.098, 0.17, 0.992, -1.221, -0.549, 0, 9.91, 5.383, -170.255, 5.917, -28.808, -88.808, 25.52, -0.0806, -0.05405, 0.08197, 0.99185,,,,
 13:58:07.812,cf:e6:8b:14:96:06, 2015-1-1 0:36:35.340, -0.097, 0.179, 1.004, 1.221, -0.305, -0.183, 9.91, 5.35, -170.502, 6.258, -29.117, -88.283, 25.52, -0.0806, -0.05405, 0.08197, 0.99185,,,,
 13:58:07.901,cf:e6:8b:14:96:06, 2015-1-1 0:36:35.340, -0.098, 0.172, 1.001, 0.732, 0.916, -0.061, 9.91, 5.35, -170.733, 6.258, -29.117, -88.283, 25.52, -0.07663, -0.05334, 0.08221, 0.99219,,,,
 13:58:08.021,cf:e6:8b:14:96:06, 2015-1-1 0:36:35.575, -0.094, 0.18, 0.99, -0.61, -0.305, 0.244, 9.899, 5.345, -170.782, 6.258, -29.117, -88.283, 25.52, -0.07663, -0.05334, 0.08221, 0.99219,,,,
 13:58:08.081,cf:e6:8b:14:96:06, 2015-1-1 0:36:35.575, -0.101, 0.175, 0.999, 0.488, 0.305, 0, 9.91, 5.328, -170.832, 6.233, -28.750, -89.308, 25.52, -0.07663, -0.05334, 0.08221, 0.99219,,,,
 13:58:08.203,cf:e6:8b:14:96:06, 2015-1-1 0:36:35.575, -0.097, 0.174, 0.992, 0.244, 0, 0, 9.904, 5.317, -170.942, 6.233, -28.750, -89.308, 25.52, -0.0748, -0.05289, 0.08231, 0.99234,,,,
 13:58:08.292,cf:e6:8b:14:96:06, 2015-1-1 0:36:35.905, -0.094, 0.179, 0.997, 0.488, 0.305, 0, 9.904, 5.317, -170.876, 6.233, -28.750, -89.308, 25.52, -0.0748, -0.05289, 0.08231, 0.99234,,,,
 13:58:08.411,cf:e6:8b:14:96:06, 2015-1-1 0:36:35.905, -0.099, 0.175, 0.995, 0, 0, 0, 9.904, 5.306, -171.024, 6.467, -29.450, -87.917, 25.52, -0.07397, -0.0527, 0.0824, 0.9924,,,,
 13:58:08.501,cf:e6:8b:14:96:06, 2015-1-1 0:36:36.145, -0.102, 0.188, 0.992, 0, 0, 0, 9.91, 5.301, -171.03, 6.467, -29.450, -87.917, 25.52, -0.07397, -0.0527, 0.0824, 0.9924,,,,
 13:58:08.622,cf:e6:8b:14:96:06, 2015-1-1 0:36:36.145, -0.089, 0.171, 0.989, 0, 0, 0, 9.921, 5.306, -170.975, 6.575, -29.142, -88.783, 25.52, -0.07397, -0.0527, 0.0824, 0.9924,,,,
 13:58:08.683,cf:e6:8b:14:96:06, 2015-1-1 0:36:36.145, -0.083, 0.172, 0.993, 0, 0, 0, 9.915, 5.317, -170.947, 6.575, -29.142, -88.783, 25.52, -0.07455, -0.05289, 0.08243, 0.99234,,,,
 13:58:08.802,cf:e6:8b:14:96:06, 2015-1-1 0:36:36.380, -0.087, 0.175, 0.996, 0, 0, 0, 9.915, 5.306, -170.997, 6.575, -29.142, -88.783, 25.52, -0.07455, -0.05289, 0.08243, 0.99234,,,,
 13:58:08.892,cf:e6:8b:14:96:06, 2015-1-1 0:36:36.380, -0.096, 0.18, 1, 0, 0, 0, 9.915, 5.273, -171.074, 5.742, -29.500, -88.892, 25.52, -0.07455, -0.05289, 0.08243, 0.99234,,,,
 13:58:09.011,cf:e6:8b:14:96:06, 2015-1-1 0:36:36.680, -0.097, 0.171, 0.999, 0, 0, 0, 9.921, 5.257, -171.046, 5.742, -29.500, -88.892, 25.52, -0.07367, -0.05228, 0.08252, 0.99243,,,,
 13:58:09.102,cf:e6:8b:14:96:06, 2015-1-1 0:36:36.680, -0.073, 0.177, 0.988, 0, 0, 0, 9.915, 5.257, -171.068, 5.742, -29.500, -88.892, 25.52, -0.07367, -0.05228, 0.08252, 0.99243,,,,
 13:58:09.221,cf:e6:8b:14:96:06, 2015-1-1 0:36:36.680, -0.099, 0.176, 0.991, -1.282, 4.639, -1.77, 9.91, 5.295, -171.074, 6.233, -29.342, -89.292, 25.52, -0.07318, -0.05276, 0.08224, 0.99246,,,,
 13:58:09.311,cf:e6:8b:14:96:06, 2015-1-1 0:36:36.920, -0.103, 0.169, 0.986, -3.174, 2.319, -0.305, 9.734, 5.367, -171.107, 6.233, -29.342, -89.292, 25.52, -0.07318, -0.05276, 0.08224, 0.99246,,,,
 13:58:09.432,cf:e6:8b:14:96:06, 2015-1-1 0:36:36.920, -0.099, 0.167, 1.006, 0.122, 2.197, 0.122, 9.767, 5.565, -171.09, 6.283, -28.933, -88.933, 25.52, -0.07318, -0.05276, 0.08224, 0.99246,,,,
 13:58:09.521,cf:e6:8b:14:96:06, 2015-1-1 0:36:36.920, -0.111, 0.167, 1, 0.244, 0.793, -0.122, 9.739, 5.554, -171.288, 6.283, -28.933, -88.933, 25.52, -0.07147, -0.0546, 0.0809, 0.99261,,,,
 13:58:09.613,cf:e6:8b:14:96:06, 2015-1-1 0:36:37.185, -0.101, 0.174, 0.991, 0.183, -0.183, 0.488, 9.783, 5.609, -171.249, 6.283, -28.933, -88.933, 25.52, -0.07147, -0.0546, 0.0809, 0.99261,,,,
 13:58:09.702,cf:e6:8b:14:96:06, 2015-1-1 0:36:37.185, -0.095, 0.172, 0.999, 0.061, 0.061, 0.061, 9.761, 5.603, -171.183, 6.542, -28.717, -87.967, 25.52, -0.07147, -0.0546, 0.0809, 0.99261,,,,
 13:58:09.822,cf:e6:8b:14:96:06, 2015-1-1 0:36:37.485, -0.088, 0.172, 0.987, 0.366, 0.488, 0.671, 9.761, 5.587, -171.156, 6.542, -28.717, -87.967, 25.52, -0.0723, -0.05496, 0.08099, 0.99252,,,,
 13:58:09.913,cf:e6:8b:14:96:06, 2015-1-1 0:36:37.485, -0.116, 0.172, 0.994, -0.122, 3.662, 0, 9.761, 5.647, -171.194, 6.542, -28.717, -87.967, 25.52, -0.0723, -0.05496, 0.08099, 0.99252,,,,
 13:58:10.031,cf:e6:8b:14:96:06, 2015-1-1 0:36:37.485, -0.115, 0.166, 0.994, -0.244, -0.61, 0.122, 9.69, 5.845, -171.156, 7.242, -28.908, -87.750, 25.52, -0.0723, -0.05496, 0.08099, 0.99252,,,,
 13:58:10.093,cf:e6:8b:14:96:06, 2015-1-1 0:36:37.485, -0.098, 0.163, 1.005, 1.587, -0.977, 0.244, 9.706, 5.861, -171.167, 7.242, -28.908, -87.750, 25.52, -0.07227, -0.05734, 0.0802, 0.99246,,,,
 13:58:10.211,cf:e6:8b:14:96:06, 2015-1-1 0:36:37.780, -0.099, 0.182, 1.007, 0.61, -0.488, 0.732, 10.14, 5.79, -171.14, 7.242, -28.908, -87.750, 25.52, -0.07227, -0.05734, 0.0802, 0.99246,,,,
 13:58:10.301,cf:e6:8b:14:96:06, 2015-1-1 0:36:37.780, -0.102, 0.187, 0.992, 0.305, -0.671, 0.549, 10.074, 5.63, -171.161, 6.150, -28.767, -87.942, 25.52, -0.07227, -0.05734, 0.0802, 0.99246,,,,
 13:58:10.422,cf:e6:8b:14:96:06, 2015-1-1 0:36:38.080, -0.112, 0.171, 0.987, 2.747, -1.587, 0.244, 10.146, 5.636, -171.156, 6.150, -28.767, -87.942, 25.52, -0.0723, -0.05533, 0.08484, 0.99219,,,,
 13:58:10.511,cf:e6:8b:14:96:06, 2015-1-1 0:36:38.080, -0.094, 0.179, 0.995, -1.587, 0.549, -0.61, 10.239, 5.537, -171.2, 6.150, -28.767, -87.942, 25.52, -0.0723, -0.05533, 0.08484, 0.99219,,,,
 13:58:10.631,cf:e6:8b:14:96:06, 2015-1-1 0:36:38.080, -0.097, 0.167, 0.985, 0.61, -0.366, 0, 10.14, 5.63, -171.337, 6.567, -29.042, -88.725, 25.52, -0.0723, -0.05533, 0.08484, 0.99219,,,,
 13:58:10.722,cf:e6:8b:14:96:06, 2015-1-1 0:36:38.080, -0.098, 0.191, 1.009, 0.183, 2.197, 0.061, 10.135, 5.614, -171.293, 6.567, -29.042, -88.725, 25.52, -0.07129, -0.05536, 0.08423, 0.99231,,,,
 13:58:10.843,cf:e6:8b:14:96:06, 2015-1-1 0:36:38.375, -0.13, 0.178, 0.998, 1.404, 2.197, 0.916, 10.135, 5.598, -171.288, 6.567, -29.042, -88.725, 25.52, -0.07129, -0.05536, 0.08423, 0.99231,,,,
 13:58:10.902,cf:e6:8b:14:96:06, 2015-1-1 0:36:38.375, -0.103, 0.178, 0.988, 0.366, -2.38, 0.488, 10.157, 5.422, -171.26, 6.550, -29.567, -88.075, 25.52, -0.07129, -0.05536, 0.08423, 0.99231,,,,
 13:58:11.023,cf:e6:8b:14:96:06, 2015-1-1 0:36:38.375, -0.09, 0.176, 0.994, 0, -0.244, -0.305, 10.107, 5.416, -171.123, 6.550, -29.567, -88.075, 25.52, -0.07336, -0.05386, 0.08405, 0.99225,,,,
 13:58:11.111,cf:e6:8b:14:96:06, 2015-1-1 0:36:38.705, -0.102, 0.184, 0.991, 0.122, -1.099, 0, 10.107, 5.422, -171.063, 6.550, -29.567, -88.075, 25.52, -0.07336, -0.05386, 0.08405, 0.99225,,,,
 13:58:11.232,cf:e6:8b:14:96:06, 2015-1-1 0:36:38.705, -0.113, 0.182, 0.978, -2.136, 0.061, 0, 10.113, 5.416, -171.107, 6.108, -29.567, -88.808, 25.52, -0.07327, -0.05453, 0.08386, 0.99225,,,,
 13:58:11.321,cf:e6:8b:14:96:06, 2015-1-1 0:36:38.945, -0.105, 0.178, 1.006, 0.916, 0.732, 0.305, 10.102, 5.515, -171.057, 6.108, -29.567, -88.808, 25.52, -0.07327, -0.05453, 0.08386, 0.99225,,,,
 13:58:11.471,cf:e6:8b:14:96:06, 2015-1-1 0:36:38.945, -0.097, 0.17, 0.98, -0.366, -0.671, -0.122, 10.135, 5.548, -170.997, 6.592, -29.533, -89.225, 25.52, -0.07327, -0.05453, 0.08386, 0.99225,,,,
 13:58:11.502,cf:e6:8b:14:96:06, 2015-1-1 0:36:38.945, -0.106, 0.184, 1.008, -0.244, 0.61, 0.122, 10.157, 5.609, -170.969, 6.592, -29.533, -89.225, 25.52, -0.07394, -0.05548, 0.08432, 0.9921,,,,
 13:58:11.621,cf:e6:8b:14:96:06, 2015-1-1 0:36:39.210, -0.112, 0.183, 0.987, -0.244, -1.343, 0.61, 10.129, 5.63, -170.936, 6.592, -29.533, -89.225, 25.52, -0.07394, -0.05548, 0.08432, 0.9921,,,,
 13:58:11.711,cf:e6:8b:14:96:06, 2015-1-1 0:36:39.210, -0.12, 0.172, 0.987, -0.305, 1.831, -0.427, 10.058, 5.718, -170.936, 6.700, -29.200, -88.742, 25.52, -0.07394, -0.05548, 0.08432, 0.9921,,,,
 13:58:11.831,cf:e6:8b:14:96:06, 2015-1-1 0:36:39.210, -0.106, 0.161, 1.015, -1.099, 2.136, -1.038, 9.91, 5.955, -170.958, 6.700, -29.200, -88.742, 25.52, -0.07379, -0.05878, 0.08197, 0.99213,,,,
 13:58:11.921,cf:e6:8b:14:96:06, 2015-1-1 0:36:39.510, -0.108, 0.163, 0.983, 0.305, 3.174, 0.061, 9.97, 6.163, -170.931, 6.700, -29.200, -88.742, 25.52, -0.07379, -0.05878, 0.08197, 0.99213,,,,
 13:58:12.041,cf:e6:8b:14:96:06, 2015-1-1 0:36:39.510, -0.114, 0.183, 1.002, -0.305, 1.16, 0, 9.97, 6.306, -170.958, 7.200, -29.025, -88.275, 25.52, -0.07379, -0.05878, 0.08197, 0.99213,,,,
 13:58:12.131,cf:e6:8b:14:96:06, 2015-1-1 0:36:39.510, -0.117, 0.18, 1.001, 1.465, 0.671, 0.488, 9.954, 6.323, -170.865, 7.200, -29.025, -88.275, 25.52, -0.07443, -0.06168, 0.08197, 0.99188,,,,
 13:58:12.250,cf:e6:8b:14:96:06, 2015-1-1 0:36:39.775, -0.113, 0.179, 0.988, 1.099, 0.244, 0.977, 9.948, 6.317, -170.799, 7.200, -29.025, -88.275, 25.52, -0.07443, -0.06168, 0.08197, 0.99188,,,,
 13:58:12.311,cf:e6:8b:14:96:06, 2015-1-1 0:36:39.775, -0.106, 0.176, 1.003, 1.343, -2.014, 0.916, 10.08, 6.136, -170.76, 7.617, -29.367, -89.108, 25.52, -0.07443, -0.06168, 0.08197, 0.99188,,,,
 13:58:12.435,cf:e6:8b:14:96:06, 2015-1-1 0:36:39.775, -0.109, 0.17, 0.99, 0.488, -1.16, 0.732, 10.052, 6.004, -170.744, 7.617, -29.367, -89.108, 25.52, -0.07562, -0.05908, 0.08304, 0.99185,,,,
 13:58:12.522,cf:e6:8b:14:96:06, 2015-1-1 0:36:40.105, -0.11, 0.191, 0.979, -2.319, -0.732, -0.061, 10.047, 6.01, -170.755, 7.617, -29.367, -89.108, 25.52, -0.07562, -0.05908, 0.08304, 0.99185,,,,
 13:58:12.642,cf:e6:8b:14:96:06, 2015-1-1 0:36:40.105, -0.112, 0.174, 1.013, 0.488, 0.305, 0.366, 10.052, 5.971, -170.739, 6.425, -29.092, -89.458, 25.52, -0.07626, -0.0592, 0.08295, 0.99182,,,,
 13:58:12.731,cf:e6:8b:14:96:06, 2015-1-1 0:36:40.345, -0.108, 0.175, 0.968, -1.282, -0.977, -0.671, 10.052, 6.015, -170.667, 6.425, -29.092, -89.458, 25.52, -0.07626, -0.0592, 0.08295, 0.99182,,,,
 13:58:12.852,cf:e6:8b:14:96:06, 2015-1-1 0:36:40.345, -0.11, 0.177, 0.997, 0.427, 0.732, 0.122, 10.047, 6.01, -170.535, 7.000, -28.608, -89.267, 25.52, -0.07626, -0.0592, 0.08295, 0.99182,,,,
 13:58:12.912,cf:e6:8b:14:96:06, 2015-1-1 0:36:40.345, -0.122, 0.173, 1.025, 1.953, -0.244, 0.61, 10.107, 6.119, -170.519, 7.000, -28.608, -89.267, 25.52, -0.07751, -0.06049, 0.0835, 0.99161,,,,
 13:58:13.030,cf:e6:8b:14:96:06, 2015-1-1 0:36:40.580, -0.11, 0.174, 0.972, 0.305, -2.747, 0.305, 9.987, 6.075, -170.546, 7.000, -28.608, -89.267, 25.52, -0.07751, -0.06049, 0.0835, 0.99161,,,,
 13:58:13.121,cf:e6:8b:14:96:06, 2015-1-1 0:36:40.580, -0.112, 0.171, 0.995, 0, 0.916, 0.061, 10.042, 6.29, -170.497, 6.625, -29.392, -89.492, 25.52, -0.07751, -0.06049, 0.0835, 0.99161,,,,
 13:58:13.272,cf:e6:8b:14:96:06, 2015-1-1 0:36:40.880, -0.12, 0.179, 0.997, -1.892, 1.343, -0.61, 9.959, 6.334, -170.502, 6.625, -29.392, -89.492, 25.52, -0.07742, -0.06219, 0.08163, 0.99167,,,,
