Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 14:01:19.950,cf:e6:8b:14:96:06, 2015-1-1 0:39:46.100, -1.011, -0.008, -0.123, 0.977, -0.793, 0.244, 161.065, 87.204, -21.302, 29.575, -19.533, -17.592, 26.1, 0.00983, -0.72009, 0.02469, 0.6933,,,,
 14:01:20.041,cf:e6:8b:14:96:06, 2015-1-1 0:39:46.100, -0.975, -0.008, -0.121, 9.583, -13.062, 2.747, 151.139, 87.852, -31.514, 29.575, -19.533, -17.592, 26.1, 0.00943, -0.71448, 0.02438, 0.6991,,,,
 14:01:20.161,cf:e6:8b:14:96:06, 2015-1-1 0:39:46.400, -0.982, 0.004, -0.055, 4.456, -12.451, 10.254, 109.276, 88.341, -73.636, 29.575, -19.533, -17.592, 26.1, 0.00943, -0.71448, 0.02438, 0.6991,,,,
 14:01:20.252,cf:e6:8b:14:96:06, 2015-1-1 0:39:46.400, -0.985, 0.053, -0.06, -4.517, -8.179, -1.953, 83.403, 88.044, -99.459, 31.358, -20.833, -19.733, 26.1, 0.00943, -0.71448, 0.02438, 0.6991,,,,
 14:01:20.371,cf:e6:8b:14:96:06, 2015-1-1 0:39:46.665, -1.012, 0.03, -0.026, -2.38, -4.883, -0.854, 63.413, 88.006, -119.125, 31.358, -20.833, -19.733, 26.1, 0.0047, -0.70096, 0.02631, 0.71265,,,,
 14:01:20.435,cf:e6:8b:14:96:06, 2015-1-1 0:39:46.665, -0.991, 0.017, -0.051, -3.784, -10.254, 0.122, 48.076, 87.748, -134.039, 31.358, -20.833, -19.733, 26.1, 0.0047, -0.70096, 0.02631, 0.71265,,,,
 14:01:20.555,cf:e6:8b:14:96:06, 2015-1-1 0:39:46.665, -0.996, -0.008, -0.008, 3.052, -11.841, 5.249, 35.343, 86.83, -146.58, 32.217, -21.250, -20.850, 26.1, -3E-05, -0.68863, 0.02478, 0.72464,,,,
 14:01:20.644,cf:e6:8b:14:96:06, 2015-1-1 0:39:46.905, -0.975, 0.038, -0.02, 4.395, -2.197, 1.953, 37.293, 86.364, -144.888, 32.217, -21.250, -20.850, 26.1, -3E-05, -0.68863, 0.02478, 0.72464,,,,
 14:01:20.761,cf:e6:8b:14:96:06, 2015-1-1 0:39:46.905, -1.012, 0.032, 0.03, -1.831, -0.916, -1.953, 35.612, 86.259, -146.398, 32.883, -21.217, -21.825, 26.1, 0.00104, -0.69803, 0.02368, 0.71561,,,,
 14:01:20.881,cf:e6:8b:14:96:06, 2015-1-1 0:39:47.145, -0.978, 0.038, -0.036, 0.916, -0.427, 1.038, 53.361, 87.687, -128.644, 32.883, -21.217, -21.825, 26.1, 0.00104, -0.69803, 0.02368, 0.71561,,,,
 14:01:20.976,cf:e6:8b:14:96:06, 2015-1-1 0:39:47.145, -1.006, 0.005, 0.007, -0.916, 2.258, -0.732, 55.838, 87.907, -125.931, 31.900, -21.108, -21.317, 26.1, 0.00104, -0.69803, 0.02368, 0.71561,,,,
 14:01:21.031,cf:e6:8b:14:96:06, 2015-1-1 0:39:47.145, -0.973, 0.009, -0.046, 6.104, -2.563, 1.892, 65.457, 88, -116.675, 31.900, -21.108, -21.317, 26.1, 0.00256, -0.70151, 0.0253, 0.71213,,,,
 14:01:21.150,cf:e6:8b:14:96:06, 2015-1-1 0:39:47.380, -1.002, 0.032, 0.007, 1.404, 12.695, 1.953, 84.545, 87.957, -97.745, 31.900, -21.108, -21.317, 26.1, 0.00256, -0.70151, 0.0253, 0.71213,,,,
 14:01:21.242,cf:e6:8b:14:96:06, 2015-1-1 0:39:47.380, -1.007, 0.046, -0.077, 2.563, 10.193, -1.221, 123.437, 87.594, -59.211, 31.317, -21.108, -21.317, 26.1, 0.00256, -0.70151, 0.0253, 0.71213,,,,
 14:01:21.361,cf:e6:8b:14:96:06, 2015-1-1 0:39:47.380, -0.983, 0.023, -0.098, -1.77, -0.549, -1.465, 137.659, 87.396, -44.835, 31.317, -21.542, -19.317, 26.1, 0.00296, -0.71887, 0.02377, 0.69464,,,,
 14:01:21.451,cf:e6:8b:14:96:06, 2015-1-1 0:39:47.740, -0.996, 0.03, -0.049, -8.057, 17.456, -9.399, 151.683, 87.259, -30.048, 31.317, -21.542, -19.317, 26.1, 0.00296, -0.71887, 0.02377, 0.69464,,,,
 14:01:21.600,cf:e6:8b:14:96:06, 2015-1-1 0:39:47.740, -1.019, 0.023, -0.142, -4.456, 12.085, -5.188, 171.035, 85.743, -10.091, 29.308, -20.308, -16.775, 26.1, 0.00296, -0.71887, 0.02377, 0.69464,,,,
 14:01:21.664,cf:e6:8b:14:96:06, 2015-1-1 0:39:47.740, -1, -0.039, -0.136, -3.906, -1.404, -3.784, 177.632, 85.397, -2.758, 29.308, -20.308, -16.775, 26.1, 0.00095, -0.73508, 0.00266, 0.67792,,,,
 14:01:21.783,cf:e6:8b:14:96:06, 2015-1-1 0:39:47.740, -0.989, -0.021, -0.107, -3.113, -1.526, -2.319, 179.467, 85.32, -0.439, 29.308, -20.308, -16.775, 26.21, 0.00095, -0.73508, 0.00266, 0.67792,,,,
 14:01:21.841,cf:e6:8b:14:96:06, 2015-1-1 0:39:48.125, -0.994, -0.005, -0.146, 0.122, -2.808, -0.244, -179.5, 85.122, 0.681, 29.308, -20.308, -16.775, 26.21, 0.00095, -0.73508, 0.00266, 0.67792,,,,
 14:01:21.961,cf:e6:8b:14:96:06, 2015-1-1 0:39:48.125, -0.986, -0.008, -0.127, 0.793, -4.7, 0.732, -179.572, 85.562, 0.593, 28.483, -19.967, -16.950, 26.21, 0.00095, -0.73508, 0.00266, 0.67792,,,,
 14:01:22.051,cf:e6:8b:14:96:06, 2015-1-1 0:39:48.125, -0.989, -0.004, -0.116, -0.305, -2.869, 0.244, -178.55, 85.001, 1.659, 28.483, -19.967, -16.950, 26.21, -0.00046, -0.73734, -0.00217, 0.67545,,,,
 14:01:22.171,cf:e6:8b:14:96:06, 2015-1-1 0:39:48.425, -0.987, -0.014, -0.127, -0.427, -0.122, -0.427, -178.088, 84.924, 2.197, 28.483, -19.967, -16.950, 26.21, -0.00046, -0.73734, -0.00217, 0.67545,,,,
 14:01:22.262,cf:e6:8b:14:96:06, 2015-1-1 0:39:48.425, -0.986, -0.004, -0.116, 0.732, 0.732, 0, -177.891, 84.809, 2.368, 28.417, -19.942, -17.542, 26.21, -0.00046, -0.73734, -0.00217, 0.67545,,,,
 14:01:22.382,cf:e6:8b:14:96:06, 2015-1-1 0:39:48.660, -1.001, -0.006, -0.11, 0.916, 7.141, -0.977, -177.209, 84.457, 3.016, 28.417, -19.942, -17.542, 26.21, 0.00034, -0.74066, -0.00317, 0.67181,,,,
 14:01:22.442,cf:e6:8b:14:96:06, 2015-1-1 0:39:48.660, -0.983, -0.02, -0.162, -0.732, -1.526, -0.61, -176.094, 83.831, 4.268, 28.267, -19.075, -15.183, 26.21, 0.00034, -0.74066, -0.00317, 0.67181,,,,
 14:01:22.566,cf:e6:8b:14:96:06, 2015-1-1 0:39:48.660, -0.984, -0.006, -0.146, -0.244, 1.221, -0.793, -175.754, 83.688, 4.636, 28.267, -19.075, -15.183, 26.21, 0.00055, -0.74481, -0.00546, 0.66718,,,,
 14:01:22.659,cf:e6:8b:14:96:06, 2015-1-1 0:39:48.900, -0.981, -0.014, -0.151, -0.671, 0, -0.488, -175.616, 83.447, 4.796, 28.267, -19.075, -15.183, 26.21, 0.00055, -0.74481, -0.00546, 0.66718,,,,
 14:01:22.772,cf:e6:8b:14:96:06, 2015-1-1 0:39:48.900, -0.984, -0.016, -0.149, 0.244, 0, 0.183, -175.523, 83.386, 4.889, 28.067, -19.350, -16.492, 26.21, 0.0007, -0.7468, -0.00607, 0.66495,,,,
 14:01:22.862,cf:e6:8b:14:96:06, 2015-1-1 0:39:49.140, -0.986, -0.015, -0.156, -0.732, -0.366, 0.122, -175.457, 83.326, 4.977, 28.067, -19.350, -16.492, 26.21, 0.0007, -0.7468, -0.00607, 0.66495,,,,
 14:01:22.983,cf:e6:8b:14:96:06, 2015-1-1 0:39:49.140, -0.985, -0.02, -0.16, 0.793, -1.953, 0.977, -175.369, 83.26, 5.07, 28.208, -19.183, -15.350, 26.21, 0.0007, -0.7468, -0.00607, 0.66495,,,,
 14:01:23.072,cf:e6:8b:14:96:06, 2015-1-1 0:39:49.140, -0.99, -0.018, -0.15, 0.671, -2.808, 0.977, -175.303, 83.194, 5.136, 28.208, -19.183, -15.350, 26.21, 0.00082, -0.74768, -0.00635, 0.66394,,,,
 14:01:23.190,cf:e6:8b:14:96:06, 2015-1-1 0:39:49.375, -1.01, -0.013, -0.151, -0.183, -4.7, 1.038, -175.254, 83.134, 5.191, 28.208, -19.183, -15.350, 26.21, 0.00082, -0.74768, -0.00635, 0.66394,,,,
 14:01:23.250,cf:e6:8b:14:96:06, 2015-1-1 0:39:49.375, -1, -0.009, -0.161, -0.916, -4.883, 0.244, -175.226, 83.084, 5.213, 28.275, -19.567, -15.600, 26.21, 0.00082, -0.74768, -0.00635, 0.66394,,,,
 14:01:23.402,cf:e6:8b:14:96:06, 2015-1-1 0:39:49.375, -0.977, -0.019, -0.154, -2.747, -8.667, -0.488, -174.776, 83.26, 5.74, 28.275, -19.567, -15.600, 26.21, 0.00049, -0.74643, -0.00748, 0.66534,,,,
 14:01:23.460,cf:e6:8b:14:96:06, 2015-1-1 0:39:49.705, -1.003, -0.047, -0.128, -0.427, -18.555, 0.244, -173.392, 84.54, 7.377, 28.275, -19.567, -15.600, 26.21, 0.00049, -0.74643, -0.00748, 0.66534,,,,
 14:01:23.580,cf:e6:8b:14:96:06, 2015-1-1 0:39:49.705, -0.992, -0.014, -0.092, 3.906, -22.4, 5.432, -175.809, 86.704, 4.625, 31.242, -19.975, -19.583, 26.21, 0.00049, -0.74643, -0.00748, 0.66534,,,,
 14:01:23.672,cf:e6:8b:14:96:06, 2015-1-1 0:39:49.705, -0.993, 0.003, -0.054, 6.104, -22.522, 5.554, 171.227, 88.693, -8.882, 31.242, -19.975, -19.583, 26.21, -0.00067, -0.70853, 0.00455, 0.7056,,,,
 14:01:23.790,cf:e6:8b:14:96:06, 2015-1-1 0:39:50.005, -0.978, 0.021, 0, 2.014, -18.738, 2.93, 34.915, 88.94, -145.613, 31.242, -19.975, -19.583, 26.21, -0.00067, -0.70853, 0.00455, 0.7056,,,,
 14:01:23.850,cf:e6:8b:14:96:06, 2015-1-1 0:39:50.005, -0.992, 0.016, 0.036, 2.441, -15.442, 6.47, 23.621, 87.253, -157.094, 33.450, -20.417, -24.283, 26.21, -0.00067, -0.70853, 0.00455, 0.7056,,,,
 14:01:23.972,cf:e6:8b:14:96:06, 2015-1-1 0:39:50.005, -0.979, 0.024, 0.043, 3.723, -7.263, 4.883, 25.087, 86.045, -155.923, 33.450, -20.417, -24.283, 26.21, -0.00394, -0.68411, 0.01682, 0.7291,,,,
 14:01:24.061,cf:e6:8b:14:96:06, 2015-1-1 0:39:50.300, -0.999, 0.029, 0.08, 1.343, -2.319, 1.343, 25.197, 85.496, -155.995, 33.450, -20.417, -24.283, 26.21, -0.00394, -0.68411, 0.01682, 0.7291,,,,
 14:01:24.180,cf:e6:8b:14:96:06, 2015-1-1 0:39:50.300, -0.991, 0.037, 0.034, 0.61, 6.47, 0.305, 29.158, 85.968, -152.095, 33.875, -21.425, -24.942, 26.21, -0.00388, -0.68735, 0.01978, 0.72598,,,,
 14:01:24.270,cf:e6:8b:14:96:06, 2015-1-1 0:39:50.540, -1.004, 0.026, 0.046, 1.526, 6.653, 0.305, 33.431, 86.446, -147.876, 33.875, -21.425, -24.942, 26.21, -0.00388, -0.68735, 0.01978, 0.72598,,,,
