Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 14:04:30.501,cf:e6:8b:14:96:06, 2015-1-1 0:42:55.345, -0.085, 0.91, 0.402, 0.305, -0.244, 0.854, 66.297, 4.482, 4.197, 8.367, -68.525, -57.758, 26.34, 0.83676, 0.54492, 0.05234, 0.00885,,,,
 14:04:30.562,cf:e6:8b:14:96:06, 2015-1-1 0:42:55.345, -0.091, 0.916, 0.408, 2.319, -0.427, 0.671, 66.292, 4.482, 4.153, 8.367, -68.525, -57.758, 26.34, 0.83682, 0.5448, 0.05252, 0.00894,,,,
 14:04:30.680,cf:e6:8b:14:96:06, 2015-1-1 0:42:55.580, -0.071, 0.932, 0.384, 1.953, 0.061, 1.16, 66.292, 4.488, 4.213, 8.367, -68.525, -57.758, 26.34, 0.83682, 0.5448, 0.05252, 0.00894,,,,
 14:04:30.771,cf:e6:8b:14:96:06, 2015-1-1 0:42:55.580, -0.075, 0.903, 0.394, 0.183, -0.061, 0.549, 66.27, 4.449, 4.274, 8.450, -69.150, -57.383, 26.34, 0.83682, 0.5448, 0.05252, 0.00894,,,,
 14:04:30.894,cf:e6:8b:14:96:06, 2015-1-1 0:42:55.580, -0.073, 0.92, 0.401, -0.61, 0.61, 0, 66.313, 4.449, 4.175, 8.450, -69.150, -57.383, 26.34, 0.8367, 0.54495, 0.05246, 0.00934,,,,
 14:04:30.981,cf:e6:8b:14:96:06, 2015-1-1 0:42:55.880, -0.093, 0.918, 0.404, 0.977, 1.648, 0.916, 66.313, 4.449, 4.191, 8.450, -69.150, -57.383, 26.34, 0.8367, 0.54495, 0.05246, 0.00934,,,,
 14:04:31.102,cf:e6:8b:14:96:06, 2015-1-1 0:42:55.880, -0.074, 0.901, 0.404, 2.197, -0.61, 1.282, 66.313, 4.46, 4.158, 8.383, -68.842, -57.125, 26.34, 0.8367, 0.54495, 0.05246, 0.00934,,,,
 14:04:31.192,cf:e6:8b:14:96:06, 2015-1-1 0:42:55.880, -0.083, 0.924, 0.346, 0.488, -3.235, -0.305, 66.599, 4.504, 4.005, 8.383, -68.842, -57.125, 26.34, 0.83536, 0.54706, 0.05225, 0.00781,,,,
 14:04:31.310,cf:e6:8b:14:96:06, 2015-1-1 0:42:56.175, -0.088, 0.938, 0.386, -4.883, 0, -2.869, 66.363, 4.625, 3.812, 8.383, -68.842, -57.125, 26.34, 0.83536, 0.54706, 0.05225, 0.00781,,,,
 14:04:31.371,cf:e6:8b:14:96:06, 2015-1-1 0:42:56.175, -0.119, 0.909, 0.404, -4.761, 0.427, -1.648, 65.775, 4.889, 3.697, 9.225, -68.383, -57.442, 26.34, 0.83536, 0.54706, 0.05225, 0.00781,,,,
 14:04:31.494,cf:e6:8b:14:96:06, 2015-1-1 0:42:56.175, -0.067, 0.908, 0.42, -5.005, -2.014, -0.244, 65.22, 5.07, 3.598, 9.225, -68.383, -57.442, 26.34, 0.84213, 0.53647, 0.05396, 0.00235,,,,
 14:04:31.581,cf:e6:8b:14:96:06, 2015-1-1 0:42:56.505, -0.073, 0.93, 0.437, -9.338, 2.258, 2.441, 64.622, 5.076, 3.576, 9.225, -68.383, -57.442, 26.34, 0.84213, 0.53647, 0.05396, 0.00235,,,,
 14:04:31.700,cf:e6:8b:14:96:06, 2015-1-1 0:42:56.505, -0.103, 0.863, 0.431, -14.404, -2.075, 0.122, 63.122, 4.911, 3.51, 9.333, -68.575, -60.717, 26.34, 0.85526, 0.51523, 0.0542, 0.00433,,,,
 14:04:31.791,cf:e6:8b:14:96:06, 2015-1-1 0:42:56.745, -0.113, 0.829, 0.455, 0.427, 1.16, 0.183, 62.287, 5.07, 3.653, 9.333, -68.575, -60.717, 26.34, 0.85526, 0.51523, 0.0542, 0.00433,,,,
 14:04:31.913,cf:e6:8b:14:96:06, 2015-1-1 0:42:56.745, -0.077, 0.89, 0.453, -2.014, 0, -0.854, 62.265, 5.142, 3.604, 9.417, -67.442, -61.533, 26.34, 0.85526, 0.51523, 0.0542, 0.00433,,,,
 14:04:31.974,cf:e6:8b:14:96:06, 2015-1-1 0:42:56.745, -0.083, 0.891, 0.467, 0.305, 0.488, 1.099, 62.303, 5.169, 3.461, 9.417, -67.442, -61.533, 26.34, 0.85516, 0.51541, 0.0542, 0.00253,,,,
 14:04:32.090,cf:e6:8b:14:96:06, 2015-1-1 0:42:56.980, -0.104, 0.882, 0.467, 0.427, -0.549, 0.427, 62.314, 5.153, 3.543, 9.417, -67.442, -61.533, 26.34, 0.85516, 0.51541, 0.0542, 0.00253,,,,
 14:04:32.181,cf:e6:8b:14:96:06, 2015-1-1 0:42:56.980, -0.087, 0.893, 0.452, 1.892, -0.183, 0.488, 62.325, 5.158, 3.549, 9.767, -67.300, -61.125, 26.34, 0.85516, 0.51541, 0.0542, 0.00253,,,,
 14:04:32.300,cf:e6:8b:14:96:06, 2015-1-1 0:42:57.280, -0.092, 0.889, 0.458, 1.038, 0.061, 0.488, 62.347, 5.175, 3.565, 9.767, -67.300, -61.125, 26.34, 0.85495, 0.51569, 0.05472, 0.00327,,,,
 14:04:32.390,cf:e6:8b:14:96:06, 2015-1-1 0:42:57.280, -0.09, 0.885, 0.454, -0.061, -0.122, 0.244, 62.369, 5.164, 3.56, 9.767, -67.300, -61.125, 26.34, 0.85495, 0.51569, 0.05472, 0.00327,,,,
 14:04:32.544,cf:e6:8b:14:96:06, 2015-1-1 0:42:57.280, -0.079, 0.884, 0.459, 0.427, -0.488, 0.427, 62.38, 5.169, 3.56, 9.958, -67.408, -61.225, 26.34, 0.85495, 0.51569, 0.05472, 0.00327,,,,
