Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 13:59:45.486,cf:e6:8b:14:96:06, 2015-1-1 0:38:12.300, 0.91, 0.184, 0.37, 0.061, -0.671, 0, 26.741, -66.429, -175.583, -48.058, -40.475, -82.117, 25.97, -0.15793, 0.52496, 0.21387, 0.80847,,,,
 13:59:45.576,cf:e6:8b:14:96:06, 2015-1-1 0:38:12.535, 0.891, 0.181, 0.369, 0.61, 0.061, 0, 26.735, -66.412, -175.573, -48.058, -40.475, -82.117, 25.97, -0.15793, 0.52496, 0.21387, 0.80847,,,,
 13:59:45.695,cf:e6:8b:14:96:06, 2015-1-1 0:38:12.535, 0.913, 0.193, 0.377, 0, 0, 0, 26.801, -66.44, -175.66, -47.825, -40.517, -80.950, 25.97, -0.15793, 0.52496, 0.21387, 0.80847,,,,
 13:59:45.787,cf:e6:8b:14:96:06, 2015-1-1 0:38:12.535, 0.933, 0.159, 0.34, -0.671, -2.93, 1.831, 27.103, -66.978, -176.171, -47.825, -40.517, -80.950, 25.97, -0.15765, 0.53091, 0.21387, 0.80463,,,,
 13:59:45.906,cf:e6:8b:14:96:06, 2015-1-1 0:38:12.805, 0.933, 0.173, 0.373, 4.272, -19.348, 7.751, 27.488, -68.011, -176.133, -47.825, -40.517, -80.950, 25.97, -0.15765, 0.53091, 0.21387, 0.80463,,,,
 13:59:45.965,cf:e6:8b:14:96:06, 2015-1-1 0:38:12.805, 0.924, 0.155, 0.311, 0.427, 0.183, 2.808, 27.669, -69.109, -176.21, -48.900, -40.342, -79.850, 25.97, -0.15765, 0.53091, 0.21387, 0.80463,,,,
 13:59:46.088,cf:e6:8b:14:96:06, 2015-1-1 0:38:12.805, 0.951, 0.171, 0.333, 4.333, -4.578, 1.831, 28.065, -69.34, -176.248, -48.900, -40.342, -79.850, 25.97, -0.16431, 0.54547, 0.21786, 0.79239,,,,
 13:59:46.177,cf:e6:8b:14:96:06, 2015-1-1 0:38:13.105, 0.936, 0.164, 0.311, 4.7, -4.944, 2.38, 28.982, -69.944, -176.726, -48.900, -40.342, -79.850, 25.97, -0.16431, 0.54547, 0.21786, 0.79239,,,,
 13:59:46.296,cf:e6:8b:14:96:06, 2015-1-1 0:38:13.105, 0.958, 0.169, 0.299, 0.366, 0.732, 2.38, 29.312, -70.219, -176.781, -49.775, -41.208, -79.942, 25.97, -0.16827, 0.5499, 0.2226, 0.78717,,,,
 13:59:46.387,cf:e6:8b:14:96:06, 2015-1-1 0:38:13.340, 0.926, 0.168, 0.277, -0.916, 5.066, -0.305, 29.097, -70.104, -176.517, -49.775, -41.208, -79.942, 25.97, -0.16827, 0.5499, 0.2226, 0.78717,,,,
 13:59:46.508,cf:e6:8b:14:96:06, 2015-1-1 0:38:13.340, 0.933, 0.17, 0.333, 1.16, 4.272, -1.526, 28.707, -69.527, -176.149, -49.692, -41.033, -79.933, 25.97, -0.16827, 0.5499, 0.2226, 0.78717,,,,
 13:59:46.568,cf:e6:8b:14:96:06, 2015-1-1 0:38:13.340, 0.943, 0.168, 0.312, -0.793, 4.456, 0, 28.619, -69.236, -176.039, -49.692, -41.033, -79.933, 25.97, -0.16776, 0.54187, 0.22226, 0.79291,,,,
 13:59:46.688,cf:e6:8b:14:96:06, 2015-1-1 0:38:13.580, 0.915, 0.179, 0.328, 0.427, 5.737, -1.587, 28.51, -69.022, -175.93, -48.375, -41.308, -80.092, 25.97, -0.16776, 0.54187, 0.22226, 0.79291,,,,
 13:59:46.778,cf:e6:8b:14:96:06, 2015-1-1 0:38:13.580, 0.922, 0.162, 0.345, -1.709, 6.104, -0.549, 27.911, -68.549, -175.457, -48.375, -41.308, -80.092, 25.97, -0.16736, 0.53717, 0.22058, 0.79666,,,,
 13:59:46.897,cf:e6:8b:14:96:06, 2015-1-1 0:38:13.820, 0.917, 0.19, 0.341, -0.977, 3.113, -1.221, 27.713, -68.159, -175.243, -48.375, -41.308, -80.092, 25.97, -0.16736, 0.53717, 0.22058, 0.79666,,,,
 13:59:46.988,cf:e6:8b:14:96:06, 2015-1-1 0:38:13.820, 0.912, 0.171, 0.359, 0.732, 4.578, -1.892, 27.653, -68.044, -175.215, -48.808, -40.892, -81.325, 25.97, -0.16736, 0.53717, 0.22058, 0.79666,,,,
