Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 13:27:59.064,cf:e6:8b:14:96:06, 2015-1-1 0:6:39.340, 0.349, -0.128, -0.904, 0, 1.038, 0, -172.513, -20.067, 102.014, -36.500, -20.267, -10.367, 25.55, 0.17551, -0.60941, -0.77084, -0.05942,,,,
 13:27:59.184,cf:e6:8b:14:96:06, 2015-1-1 0:6:39.340, 0.348, -0.127, -0.903, -0.061, 0.916, 0, -172.496, -20.089, 102.014, -36.742, -19.975, -10.233, 25.55, 0.17551, -0.60941, -0.77084, -0.05942,,,,
 13:27:59.248,cf:e6:8b:14:96:06, 2015-1-1 0:6:39.340, 0.348, -0.128, -0.903, 0, 0.977, 0, -172.48, -20.11, 102.008, -36.742, -19.975, -10.233, 25.55, 0.17599, -0.60931, -0.77078, -0.05945,,,,
 13:27:59.396,cf:e6:8b:14:96:06, 2015-1-1 0:6:39.580, 0.348, -0.128, -0.903, -0.244, 1.221, 0, -172.463, -20.132, 102.008, -36.742, -19.975, -10.233, 25.55, 0.17599, -0.60931, -0.77078, -0.05945,,,,
 13:27:59.457,cf:e6:8b:14:96:06, 2015-1-1 0:6:39.580, 0.35, -0.127, -0.903, 0, 0, 0, -172.452, -20.154, 102.008, -36.467, -20.200, -10.375, 25.55, 0.17599, -0.60931, -0.77078, -0.05945,,,,
 13:27:59.579,cf:e6:8b:14:96:06, 2015-1-1 0:6:39.580, 0.351, -0.127, -0.902, 0, 0, 0, -172.436, -20.176, 102.008, -36.467, -20.200, -10.375, 25.55, 0.17676, -0.60916, -0.77075, -0.05954,,,,
 13:27:59.664,cf:e6:8b:14:96:06, 2015-1-1 0:6:39.905, 0.352, -0.127, -0.903, 0, 0, 0, -172.425, -20.204, 102.008, -36.467, -20.200, -10.375, 25.55, 0.17676, -0.60916, -0.77075, -0.05954,,,,
 13:27:59.785,cf:e6:8b:14:96:06, 2015-1-1 0:6:39.905, 0.352, -0.126, -0.903, 0, 0, 0, -172.408, -20.226, 102.008, -36.392, -19.850, -10.108, 25.55, 0.17734, -0.60901, -0.77069, -0.05966,,,,
 13:27:59.878,cf:e6:8b:14:96:06, 2015-1-1 0:6:40.145, 0.351, -0.126, -0.902, 0, 0, 0, -172.397, -20.248, 102.008, -36.392, -19.850, -10.108, 25.55, 0.17734, -0.60901, -0.77069, -0.05966,,,,
 13:27:59.995,cf:e6:8b:14:96:06, 2015-1-1 0:6:40.145, 0.351, -0.126, -0.902, 0, 0, 0, -172.386, -20.275, 102.003, -37.483, -20.017, -10.067, 25.55, 0.17734, -0.60901, -0.77069, -0.05966,,,,
 13:28:00.056,cf:e6:8b:14:96:06, 2015-1-1 0:6:40.145, 0.351, -0.127, -0.902, 0, 0, 0, -172.375, -20.297, 102.003, -37.483, -20.017, -10.067, 25.55, 0.17789, -0.60889, -0.77066, -0.05981,,,,
 13:28:00.175,cf:e6:8b:14:96:06, 2015-1-1 0:6:40.410, 0.352, -0.126, -0.902, 0, 0, 0, -172.365, -20.319, 102.003, -37.483, -20.017, -10.067, 25.55, 0.17789, -0.60889, -0.77066, -0.05981,,,,
 13:28:00.265,cf:e6:8b:14:96:06, 2015-1-1 0:6:40.410, 0.35, -0.127, -0.902, 0, 0, 0, -172.354, -20.341, 102.003, -36.275, -19.958, -9.875, 25.55, 0.17789, -0.60889, -0.77066, -0.05981,,,,
 13:28:00.385,cf:e6:8b:14:96:06, 2015-1-1 0:6:40.680, 0.35, -0.127, -0.902, 0, 0, 0, -172.348, -20.358, 102.003, -36.275, -19.958, -9.875, 25.55, 0.17841, -0.60876, -0.77063, -0.05994,,,,
 13:28:00.476,cf:e6:8b:14:96:06, 2015-1-1 0:6:40.680, 0.35, -0.127, -0.902, 0, 0, 0, -172.337, -20.38, 102.003, -36.275, -19.958, -9.875, 25.55, 0.17841, -0.60876, -0.77063, -0.05994,,,,
 13:28:00.595,cf:e6:8b:14:96:06, 2015-1-1 0:6:40.680, 0.35, -0.127, -0.902, 0, 0, 0, -172.326, -20.396, 102.003, -36.792, -20.042, -10.633, 25.55, 0.17841, -0.60876, -0.77063, -0.05994,,,,
 13:28:00.717,cf:e6:8b:14:96:06, 2015-1-1 0:6:40.680, 0.35, -0.127, -0.902, 0, 0, 0, -172.315, -20.413, 102.003, -36.792, -20.042, -10.633, 25.55, 0.17883, -0.60867, -0.7706, -0.06,,,,
 13:28:00.805,cf:e6:8b:14:96:06, 2015-1-1 0:6:40.980, 0.35, -0.127, -0.903, 0, 0, 0, -172.31, -20.429, 102.003, -36.792, -20.042, -10.633, 25.55, 0.17883, -0.60867, -0.7706, -0.06,,,,
 13:28:00.867,cf:e6:8b:14:96:06, 2015-1-1 0:6:40.980, 0.351, -0.127, -0.903, 0, 0, 0, -172.299, -20.446, 102.003, -36.342, -20.100, -9.642, 25.55, 0.17883, -0.60867, -0.7706, -0.06,,,,
