Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 13:23:19.529,cf:e6:8b:14:96:06, 2015-1-1 0:2:1.745, -0.118, 0.373, 0.938, 0, 0, 0, 21.874, 3.807, 123.541, 10.058, -38.183, -83.633, 22.55, 0.4693, 0.06079, 0.1828, 0.86169,,,,
 13:23:20.619,cf:e6:8b:14:96:06, 2015-1-1 0:2:1.745, -0.126, 0.385, 0.934, 0, 0, 0, 21.605, 3.68, 123.206, 10.058, -38.183, -83.633, 22.55, 0.4693, 0.06079, 0.1828, 0.86169,,,,
 13:23:20.619,cf:e6:8b:14:96:06, 2015-1-1 0:2:1.745, -0.133, 0.378, 0.934, 3.296, 0.488, 0.183, 21.292, 3.615, 122.877, 10.058, -38.183, -83.633, 22.55, 0.4693, 0.06079, 0.1828, 0.86169,,,,
 13:23:20.619,cf:e6:8b:14:96:06, 2015-1-1 0:2:1.745, -0.128, 0.401, 0.918, -2.686, 0, -0.61, 20.989, 3.516, 122.536, 10.058, -38.183, -83.633, 22.55, 0.4693, 0.06079, 0.1828, 0.86169,,,,
 13:23:20.620,cf:e6:8b:14:96:06, 2015-1-1 0:2:1.745, -0.128, 0.4, 0.934, -1.526, 0, -0.122, 20.66, 3.389, 122.195, 10.058, -38.183, -83.633, 22.55, 0.4693, 0.06079, 0.1828, 0.86169,,,,
 13:23:20.620,cf:e6:8b:14:96:06, 2015-1-1 0:2:1.745, -0.126, 0.372, 0.94, 2.197, -0.305, 0.305, 20.297, 3.241, 121.849, 10.058, -38.183, -83.633, 22.55, 0.4693, 0.06079, 0.1828, 0.86169,,,,
 13:23:20.621,cf:e6:8b:14:96:06, 2015-1-1 0:2:1.745, -0.134, 0.378, 0.93, 0.549, -0.977, 0, 20.05, 3.054, 121.503, 10.058, -38.183, -83.633, 22.55, 0.4693, 0.06079, 0.1828, 0.86169,,,,
 13:23:20.621,cf:e6:8b:14:96:06, 2015-1-1 0:2:1.745, -0.127, 0.371, 0.947, 1.526, -0.977, 0.183, 19.885, 2.802, 121.152, 10.058, -38.183, -83.633, 22.55, 0.4693, 0.06079, 0.1828, 0.86169,,,,
 13:23:20.621,cf:e6:8b:14:96:06, 2015-1-1 0:2:1.745, -0.123, 0.382, 0.934, 0.854, -0.671, 0, 19.709, 2.604, 120.811, 10.058, -38.183, -83.633, 22.55, 0.4693, 0.06079, 0.1828, 0.86169,,,,
 13:23:20.622,cf:e6:8b:14:96:06, 2015-1-1 0:2:1.745, -0.125, 0.388, 0.929, 0.854, -0.61, 0, 19.495, 2.433, 120.487, 10.058, -38.183, -83.633, 22.55, 0.4693, 0.06079, 0.1828, 0.86169,,,,
 13:23:20.622,cf:e6:8b:14:96:06, 2015-1-1 0:2:1.745, -0.128, 0.373, 0.931, 1.221, -0.854, 0, 19.715, 3.224, 120.19, 10.058, -38.183, -83.633, 22.55, 0.4693, 0.06079, 0.1828, 0.86169,,,,
 13:23:20.637,cf:e6:8b:14:96:06, 2015-1-1 0:2:1.745, -0.124, 0.372, 0.933, 2.502, -0.427, 0, 19.698, 3.065, 120.207, 10.058, -38.183, -83.633, 22.55, 0.4693, 0.06079, 0.1828, 0.86169,,,,
 13:23:20.725,cf:e6:8b:14:96:06, 2015-1-1 0:2:1.745, -0.124, 0.388, 0.931, 0, 0, 0, 19.495, 2.867, 119.872, 10.058, -38.183, -83.633, 22.55, 0.4693, 0.06079, 0.1828, 0.86169,,,,
 13:23:20.875,cf:e6:8b:14:96:06, 2015-1-1 0:2:1.745, -0.128, 0.387, 0.933, 0, 0, 0, 19.276, 2.697, 119.537, 10.058, -38.183, -83.633, 22.55, 0.4693, 0.06079, 0.1828, 0.86169,,,,
 13:23:20.935,cf:e6:8b:14:96:06, 2015-1-1 0:2:1.745, -0.123, 0.383, 0.93, 0, 0, 0, 19.616, 2.851, 119.718, 10.058, -38.183, -83.633, 22.55, 0.4693, 0.06079, 0.1828, 0.86169,,,,
 13:23:21.055,cf:e6:8b:14:96:06, 2015-1-1 0:2:1.745, -0.121, 0.395, 0.918, 0, 0, 0, 19.786, 2.769, 119.921, 10.058, -38.183, -83.633, 22.55, 0.4693, 0.06079, 0.1828, 0.86169,,,,
 13:23:21.116,cf:e6:8b:14:96:06, 2015-1-1 0:2:1.745, -0.124, 0.397, 0.921, 0, 0, 0, 19.847, 2.637, 119.927, 10.475, -38.383, -83.775, 22.55, 0.4693, 0.06079, 0.1828, 0.86169,,,,
 13:23:21.235,cf:e6:8b:14:96:06, 2015-1-1 0:2:3.445, -0.127, 0.388, 0.927, 0, 0, 0, 19.611, 2.461, 119.592, 10.475, -38.383, -83.775, 22.55, 0.49838, 0.06723, 0.15817, 0.84967,,,,
 13:23:21.327,cf:e6:8b:14:96:06, 2015-1-1 0:2:3.445, -0.119, 0.386, 0.928, 0, 0, 0, 19.863, 2.571, 119.696, 10.375, -38.767, -83.792, 22.55, 0.49838, 0.06723, 0.15817, 0.84967,,,,
 13:23:21.446,cf:e6:8b:14:96:06, 2015-1-1 0:2:3.680, -0.13, 0.405, 0.92, 0, 0, 0, 20.039, 2.505, 119.861, 10.375, -38.767, -83.792, 22.55, 0.49603, 0.06897, 0.16159, 0.85028,,,,
 13:23:21.537,cf:e6:8b:14:96:06, 2015-1-1 0:2:3.680, -0.122, 0.386, 0.929, 0, 0, 0, 20.22, 2.45, 119.993, 10.375, -38.767, -83.792, 22.55, 0.49603, 0.06897, 0.16159, 0.85028,,,,
 13:23:21.657,cf:e6:8b:14:96:06, 2015-1-1 0:2:3.680, -0.126, 0.39, 0.926, 0, 0, 0, 20.396, 2.444, 120.097, 10.283, -38.242, -83.333, 22.55, 0.49603, 0.06897, 0.16159, 0.85028,,,,
 13:23:21.719,cf:e6:8b:14:96:06, 2015-1-1 0:2:3.680, -0.125, 0.39, 0.928, 0, 0, 0, 20.566, 2.444, 120.19, 10.283, -38.242, -83.333, 22.55, 0.49365, 0.07086, 0.16501, 0.85086,,,,
 13:23:21.866,cf:e6:8b:14:96:06, 2015-1-1 0:2:3.980, -0.116, 0.395, 0.921, 0, 0, 0, 20.731, 2.461, 120.273, 10.283, -38.242, -83.333, 22.55, 0.49365, 0.07086, 0.16501, 0.85086,,,,
 13:23:21.927,cf:e6:8b:14:96:06, 2015-1-1 0:2:3.980, -0.124, 0.392, 0.931, 0, 0, 0, 20.896, 2.483, 120.328, 10.133, -38.458, -83.825, 22.55, 0.49365, 0.07086, 0.16501, 0.85086,,,,
 13:23:22.046,cf:e6:8b:14:96:06, 2015-1-1 0:2:4.280, -0.131, 0.401, 0.92, 0, 0, 0, 21.044, 2.499, 120.383, 10.133, -38.458, -83.825, 22.55, 0.49194, 0.07217, 0.16934, 0.85089,,,,
 13:23:22.137,cf:e6:8b:14:96:06, 2015-1-1 0:2:4.280, -0.123, 0.402, 0.917, 0, 0, 0, 21.193, 2.527, 120.438, 10.133, -38.458, -83.825, 22.55, 0.49194, 0.07217, 0.16934, 0.85089,,,,
 13:23:22.256,cf:e6:8b:14:96:06, 2015-1-1 0:2:4.280, -0.123, 0.393, 0.933, 0, 0, 0, 21.341, 2.56, 120.493, 9.975, -38.167, -83.358, 22.55, 0.49078, 0.07306, 0.17261, 0.85083,,,,
 13:23:22.346,cf:e6:8b:14:96:06, 2015-1-1 0:2:4.545, -0.127, 0.404, 0.914, 0, 0, 0, 21.473, 2.598, 120.531, 9.975, -38.167, -83.358, 22.55, 0.49078, 0.07306, 0.17261, 0.85083,,,,
 13:23:22.469,cf:e6:8b:14:96:06, 2015-1-1 0:2:4.545, -0.125, 0.394, 0.923, 0, 0, 0, 21.61, 2.642, 120.558, 9.833, -38.825, -83.708, 22.55, 0.49078, 0.07306, 0.17261, 0.85083,,,,
 13:23:22.526,cf:e6:8b:14:96:06, 2015-1-1 0:2:4.545, -0.123, 0.386, 0.934, 0, 0, 0, 21.736, 2.681, 120.591, 9.833, -38.825, -83.708, 22.55, 0.49017, 0.07333, 0.17578, 0.85049,,,,
 13:23:22.646,cf:e6:8b:14:96:06, 2015-1-1 0:2:4.815, -0.122, 0.399, 0.924, 0, 0, 0, 21.841, 2.752, 120.613, 9.833, -38.825, -83.708, 22.55, 0.49017, 0.07333, 0.17578, 0.85049,,,,
 13:23:22.736,cf:e6:8b:14:96:06, 2015-1-1 0:2:4.815, -0.121, 0.393, 0.925, 0, 0, 0, 21.962, 2.802, 120.641, 10.242, -38.908, -83.833, 22.55, 0.49017, 0.07333, 0.17578, 0.85049,,,,
 13:23:22.856,cf:e6:8b:14:96:06, 2015-1-1 0:2:5.085, -0.129, 0.401, 0.926, 0, 0, 0, 22.077, 2.84, 120.668, 10.242, -38.908, -83.833, 22.55, 0.48965, 0.0737, 0.17862, 0.85019,,,,
 13:23:22.945,cf:e6:8b:14:96:06, 2015-1-1 0:2:5.085, -0.122, 0.396, 0.924, 0, 0, 0, 22.176, 2.895, 120.685, 10.242, -38.908, -83.833, 22.55, 0.48965, 0.0737, 0.17862, 0.85019,,,,
 13:23:23.067,cf:e6:8b:14:96:06, 2015-1-1 0:2:5.085, -0.119, 0.391, 0.93, 0, 0, 0, 22.28, 2.961, 120.701, 10.258, -38.958, -84.067, 22.55, 0.48965, 0.0737, 0.17862, 0.85019,,,,
 13:23:23.129,cf:e6:8b:14:96:06, 2015-1-1 0:2:5.085, -0.134, 0.39, 0.933, 0, 0, 0, 22.368, 3.016, 120.718, 10.258, -38.958, -84.067, 22.55, 0.48941, 0.07349, 0.18118, 0.84979,,,,
 13:23:23.276,cf:e6:8b:14:96:06, 2015-1-1 0:2:5.380, -0.12, 0.394, 0.927, 0, 0, 0, 22.451, 3.076, 120.734, 10.258, -38.958, -84.067, 22.55, 0.48941, 0.07349, 0.18118, 0.84979,,,,
 13:23:23.336,cf:e6:8b:14:96:06, 2015-1-1 0:2:5.380, -0.124, 0.382, 0.93, 0, 0, 0, 22.544, 3.131, 120.756, 10.125, -38.625, -84.392, 22.55, 0.48941, 0.07349, 0.18118, 0.84979,,,,
 13:23:23.459,cf:e6:8b:14:96:06, 2015-1-1 0:2:5.680, -0.131, 0.387, 0.927, 0, 0, 0, 22.604, 3.197, 120.773, 10.125, -38.625, -84.392, 22.55, 0.48904, 0.07297, 0.18402, 0.84943,,,,
 13:23:23.545,cf:e6:8b:14:96:06, 2015-1-1 0:2:5.680, -0.123, 0.399, 0.92, 0, 0, 0, 22.681, 3.257, 120.795, 10.125, -38.625, -84.392, 22.55, 0.48904, 0.07297, 0.18402, 0.84943,,,,
 13:23:23.666,cf:e6:8b:14:96:06, 2015-1-1 0:2:5.680, -0.126, 0.399, 0.924, 0, 0, 0, 22.731, 3.329, 120.811, 9.925, -38.900, -83.675, 22.55, 0.48883, 0.07239, 0.18597, 0.84918,,,,
 13:23:23.755,cf:e6:8b:14:96:06, 2015-1-1 0:2:5.945, -0.129, 0.382, 0.929, 0, 0, 0, 22.797, 3.389, 120.828, 9.925, -38.900, -83.675, 22.55, 0.48883, 0.07239, 0.18597, 0.84918,,,,
 13:23:23.877,cf:e6:8b:14:96:06, 2015-1-1 0:2:5.945, -0.126, 0.396, 0.928, 0, 0, 0, 22.819, 3.461, 120.85, 10.242, -38.575, -83.875, 22.55, 0.48883, 0.07239, 0.18597, 0.84918,,,,
 13:23:23.937,cf:e6:8b:14:96:06, 2015-1-1 0:2:5.945, -0.123, 0.392, 0.929, 0, 0, 0, 22.863, 3.527, 120.866, 10.242, -38.575, -83.875, 22.55, 0.48868, 0.07144, 0.18738, 0.84906,,,,
 13:23:24.055,cf:e6:8b:14:96:06, 2015-1-1 0:2:6.185, -0.13, 0.39, 0.929, 0, 0, 0, 22.923, 3.576, 120.883, 10.242, -38.575, -83.875, 22.55, 0.48868, 0.07144, 0.18738, 0.84906,,,,
 13:23:24.146,cf:e6:8b:14:96:06, 2015-1-1 0:2:6.185, -0.124, 0.388, 0.93, 0, 0, 0, 22.978, 3.631, 120.899, 10.258, -38.600, -83.258, 22.55, 0.48868, 0.07144, 0.18738, 0.84906,,,,
 13:23:24.265,cf:e6:8b:14:96:06, 2015-1-1 0:2:6.485, -0.124, 0.39, 0.929, 0, 0, 0, 23.016, 3.697, 120.916, 10.258, -38.600, -83.258, 22.55, 0.48843, 0.07074, 0.18918, 0.84885,,,,
 13:23:24.355,cf:e6:8b:14:96:06, 2015-1-1 0:2:6.485, -0.128, 0.392, 0.928, 0, 0, 0, 23.038, 3.763, 120.932, 10.258, -38.600, -83.258, 22.55, 0.48843, 0.07074, 0.18918, 0.84885,,,,
 13:23:24.478,cf:e6:8b:14:96:06, 2015-1-1 0:2:6.485, -0.124, 0.385, 0.928, 0, 0, 0, 23.06, 3.823, 120.948, 10.525, -38.783, -83.608, 22.55, 0.48843, 0.07074, 0.18918, 0.84885,,,,
 13:23:24.537,cf:e6:8b:14:96:06, 2015-1-1 0:2:6.485, -0.12, 0.4, 0.923, 0, 0, 0, 23.104, 3.873, 120.965, 10.525, -38.783, -83.608, 22.55, 0.48825, 0.06973, 0.19061, 0.84872,,,,
 13:23:24.685,cf:e6:8b:14:96:06, 2015-1-1 0:2:6.780, -0.129, 0.394, 0.929, 0, 0, 0, 23.148, 3.922, 120.981, 10.525, -38.783, -83.608, 22.55, 0.48825, 0.06973, 0.19061, 0.84872,,,,
