Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 13:26:30.844,cf:e6:8b:14:96:06, 2015-1-1 0:5:11.585, -0.99, -0.162, -0.21, 1.038, 2.258, -2.014, -132.968, 75.58, -9.63, 27.642, 0.358, -1.417, 25.09, 0.36703, -0.6853, 0.30292, 0.55115,,,,
 13:26:30.964,cf:e6:8b:14:96:06, 2015-1-1 0:5:11.880, -0.968, -0.15, -0.219, -2.869, -11.719, -1.953, -131.633, 75.712, -8.212, 27.642, 0.358, -1.417, 25.09, 0.36307, -0.6994, 0.30035, 0.53729,,,,
 13:26:31.055,cf:e6:8b:14:96:06, 2015-1-1 0:5:11.880, -0.977, -0.141, -0.163, -3.235, -12.268, -0.61, -127.848, 76.388, -3.9, 27.642, 0.358, -1.417, 25.09, 0.36307, -0.6994, 0.30035, 0.53729,,,,
 13:26:31.176,cf:e6:8b:14:96:06, 2015-1-1 0:5:11.880, -0.973, -0.156, -0.15, -0.061, -4.089, 1.526, -125.717, 76.767, -1.599, 27.867, 0.408, -2.792, 25.09, 0.36307, -0.6994, 0.30035, 0.53729,,,,
 13:26:31.236,cf:e6:8b:14:96:06, 2015-1-1 0:5:11.880, -0.976, -0.145, -0.132, 0.427, -0.916, 4.456, -125.2, 77.228, -1.005, 27.867, 0.408, -2.792, 25.09, 0.36453, -0.69128, 0.29297, 0.55075,,,,
 13:26:31.385,cf:e6:8b:14:96:06, 2015-1-1 0:5:12.180, -0.993, -0.141, -0.138, -1.77, -2.075, 1.77, -126.189, 77.629, -2.104, 27.867, 0.408, -2.792, 25.09, 0.36453, -0.69128, 0.29297, 0.55075,,,,
 13:26:31.446,cf:e6:8b:14:96:06, 2015-1-1 0:5:12.180, -0.979, -0.126, -0.161, 1.099, -3.357, -3.235, -133.813, 78.47, 104.623, 29.458, -0.933, -4.258, 25.09, 0.36453, -0.69128, 0.29297, 0.55075,,,,
 13:26:31.564,cf:e6:8b:14:96:06, 2015-1-1 0:5:12.480, -0.972, -0.159, -0.151, -3.357, -8.728, 1.526, -131.407, 78.624, 107.122, 29.458, -0.933, -4.258, 25.09, -0.2764, -0.62762, -0.41211, 0.59979,,,,
 13:26:31.655,cf:e6:8b:14:96:06, 2015-1-1 0:5:12.480, -0.977, -0.147, -0.116, -4.7, -3.113, 0.793, -129.825, 78.981, 109.067, 29.458, -0.933, -4.258, 25.09, -0.2764, -0.62762, -0.41211, 0.59979,,,,
 13:26:31.775,cf:e6:8b:14:96:06, 2015-1-1 0:5:12.480, -0.979, -0.139, -0.11, 3.662, -4.639, 1.099, -128.655, 79.387, 110.231, 28.500, -0.608, -4.883, 25.09, -0.28351, -0.62253, -0.4097, 0.60339,,,,
 13:26:31.865,cf:e6:8b:14:96:06, 2015-1-1 0:5:12.745, -0.981, -0.12, -0.11, -2.441, -2.075, -0.488, -128.013, 79.656, 111, 28.500, -0.608, -4.883, 25.09, -0.28351, -0.62253, -0.4097, 0.60339,,,,
 13:26:31.988,cf:e6:8b:14:96:06, 2015-1-1 0:5:12.745, -0.975, -0.158, -0.112, 0, -3.235, 0.366, -126.315, 79.568, 112.725, 28.892, -1.033, -5.942, 25.09, -0.28351, -0.62253, -0.4097, 0.60339,,,,
 13:26:32.047,cf:e6:8b:14:96:06, 2015-1-1 0:5:12.745, -0.974, -0.143, -0.093, -2.014, -2.991, 0.427, -125.167, 79.805, 113.978, 28.892, -1.033, -5.942, 25.09, -0.28574, -0.61868, -0.41031, 0.60593,,,,
 13:26:32.165,cf:e6:8b:14:96:06, 2015-1-1 0:5:12.985, -0.983, -0.126, -0.092, -0.61, -1.038, 0.549, -125.92, 79.964, 113.406, 28.892, -1.033, -5.942, 25.09, -0.28574, -0.61868, -0.41031, 0.60593,,,,
 13:26:32.256,cf:e6:8b:14:96:06, 2015-1-1 0:5:12.985, -0.966, -0.15, -0.097, -1.404, -3.479, 0.305, -124.937, 79.986, 114.373, 30.208, -1.192, -6.342, 25.09, -0.28574, -0.61868, -0.41031, 0.60593,,,,
 13:26:32.376,cf:e6:8b:14:96:06, 2015-1-1 0:5:13.280, -0.995, -0.146, -0.074, -2.136, 0.244, 1.831, -125.019, 80.178, 114.51, 30.208, -1.192, -6.342, 25.09, -0.28979, -0.61722, -0.40991, 0.60574,,,,
 13:26:32.465,cf:e6:8b:14:96:06, 2015-1-1 0:5:13.280, -0.989, -0.14, -0.115, 1.709, 0.61, -0.916, -126.76, 80.332, 113.769, 30.208, -1.192, -6.342, 25.09, -0.28979, -0.61722, -0.40991, 0.60574,,,,
 13:26:32.585,cf:e6:8b:14:96:06, 2015-1-1 0:5:13.280, -0.966, -0.137, -0.109, 0.305, -3.235, -0.671, -125.81, 80.321, 114.659, 29.950, -0.975, -6.700, 25.09, -0.28979, -0.61722, -0.40991, 0.60574,,,,
 13:26:32.646,cf:e6:8b:14:96:06, 2015-1-1 0:5:13.280, -0.987, -0.121, -0.082, -0.061, 1.526, 1.587, -126.293, 80.233, 114.598, 29.950, -0.975, -6.700, 25.09, -0.29846, -0.61295, -0.41635, 0.60144,,,,
 13:26:32.795,cf:e6:8b:14:96:06, 2015-1-1 0:5:13.580, -0.988, -0.123, -0.107, -0.977, 0.183, -0.488, -126.821, 80.316, 113.879, 29.950, -0.975, -6.700, 25.09, -0.29846, -0.61295, -0.41635, 0.60144,,,,
 13:26:32.855,cf:e6:8b:14:96:06, 2015-1-1 0:5:13.580, -0.979, -0.146, -0.105, -0.793, -3.845, -0.244, -125.618, 80.321, 115.334, 29.733, -0.992, -5.200, 25.09, -0.29846, -0.61295, -0.41635, 0.60144,,,,
