Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 13:29:33.043,cf:e6:8b:14:96:06, 2015-1-1 0:8:12.605, -0.093, 0.865, 0.467, -1.648, 0.122, -0.061, 63.347, 6.795, 36.167, 18.883, -57.833, -43.325, 25.69, 0.81644, 0.48325, 0.21164, 0.23453,,,,
 13:29:33.105,cf:e6:8b:14:96:06, 2015-1-1 0:8:12.605, -0.121, 0.8, 0.487, -16.479, -2.808, -1.221, 62.292, 6.63, 35.964, 18.508, -57.392, -44.017, 25.69, 0.81644, 0.48325, 0.21164, 0.23453,,,,
 13:29:33.227,cf:e6:8b:14:96:06, 2015-1-1 0:8:12.605, -0.09, 0.805, 0.529, -29.541, -4.822, -2.502, 60.513, 6.515, 35.552, 18.508, -57.392, -44.017, 25.69, 0.83163, 0.46124, 0.19916, 0.23633,,,,
 13:29:33.316,cf:e6:8b:14:96:06, 2015-1-1 0:8:12.905, -0.114, 0.895, 0.536, -20.081, -3.662, -0.183, 58.705, 6.218, 35.261, 18.508, -57.392, -44.017, 25.69, 0.83163, 0.46124, 0.19916, 0.23633,,,,
 13:29:33.435,cf:e6:8b:14:96:06, 2015-1-1 0:8:12.905, -0.114, 0.754, 0.561, -15.93, -4.944, -1.038, 56.42, 6.163, 34.942, 17.792, -56.217, -49.583, 25.69, 0.84796, 0.4368, 0.18106, 0.23929,,,,
 13:29:33.525,cf:e6:8b:14:96:06, 2015-1-1 0:8:13.140, -0.066, 0.786, 0.441, 36.194, -11.169, 5.798, 56.909, 5.405, 34.42, 17.792, -56.217, -49.583, 25.69, 0.84796, 0.4368, 0.18106, 0.23929,,,,
 13:29:33.648,cf:e6:8b:14:96:06, 2015-1-1 0:8:13.140, -0.131, 0.922, 0.409, 21.179, 11.292, -5.737, 59.788, 5.416, 34.486, 17.692, -56.000, -48.442, 25.69, 0.84796, 0.4368, 0.18106, 0.23929,,,,
 13:29:33.709,cf:e6:8b:14:96:06, 2015-1-1 0:8:13.140, -0.124, 0.947, 0.486, 7.812, 2.563, 0.854, 61.562, 6.004, 35.041, 17.692, -56.000, -48.442, 25.69, 0.82587, 0.47421, 0.1969, 0.23282,,,,
 13:29:33.854,cf:e6:8b:14:96:06, 2015-1-1 0:8:13.380, -0.104, 0.865, 0.541, -3.662, -2.747, -1.343, 61.485, 6.01, 34.882, 17.692, -56.000, -48.442, 25.69, 0.82587, 0.47421, 0.1969, 0.23282,,,,
 13:29:33.914,cf:e6:8b:14:96:06, 2015-1-1 0:8:13.380, -0.087, 0.876, 0.526, -15.137, -0.671, -2.075, 60.568, 5.96, 34.722, 17.525, -55.833, -48.492, 25.69, 0.82587, 0.47421, 0.1969, 0.23282,,,,
 13:29:34.036,cf:e6:8b:14:96:06, 2015-1-1 0:8:13.680, -0.125, 0.87, 0.485, -8.057, -0.488, -1.221, 59.601, 5.878, 34.503, 17.525, -55.833, -48.492, 25.69, 0.83594, 0.45956, 0.18906, 0.23264,,,,
 13:29:34.126,cf:e6:8b:14:96:06, 2015-1-1 0:8:13.680, -0.083, 0.892, 0.458, -3.906, -0.732, -0.916, 58.969, 5.817, 34.25, 17.525, -55.833, -48.492, 25.69, 0.83594, 0.45956, 0.18906, 0.23264,,,,
 13:29:34.244,cf:e6:8b:14:96:06, 2015-1-1 0:8:13.680, -0.113, 0.83, 0.54, -15.259, 4.456, 3.601, 57.739, 5.757, 34.64, 17.250, -55.117, -50.192, 25.69, 0.8457, 0.44156, 0.18076, 0.2388,,,,
 13:29:34.335,cf:e6:8b:14:96:06, 2015-1-1 0:8:13.945, -0.07, 0.778, 0.604, -11.353, -0.366, -0.793, 56.651, 5.427, 34.464, 17.250, -55.117, -50.192, 25.69, 0.8457, 0.44156, 0.18076, 0.2388,,,,
 13:29:34.457,cf:e6:8b:14:96:06, 2015-1-1 0:8:13.945, -0.108, 0.865, 0.54, 4.089, 4.028, -1.221, 56.898, 5.614, 34.7, 17.250, -55.767, -50.450, 25.69, 0.8457, 0.44156, 0.18076, 0.2388,,,,
 13:29:34.517,cf:e6:8b:14:96:06, 2015-1-1 0:8:13.945, -0.105, 0.836, 0.537, 5.127, 0.732, -2.625, 57.178, 5.784, 34.827, 17.250, -55.767, -50.450, 25.69, 0.84354, 0.4436, 0.18579, 0.2388,,,,
 13:29:34.635,cf:e6:8b:14:96:06, 2015-1-1 0:8:14.185, -0.099, 0.856, 0.53, -0.183, 1.77, -1.404, 57.469, 5.933, 34.843, 17.250, -55.767, -50.450, 25.69, 0.84354, 0.4436, 0.18579, 0.2388,,,,
 13:29:34.725,cf:e6:8b:14:96:06, 2015-1-1 0:8:14.185, -0.105, 0.832, 0.545, -2.869, 0.732, -1.343, 57.2, 5.993, 34.816, 17.458, -55.433, -50.158, 25.69, 0.84354, 0.4436, 0.18579, 0.2388,,,,
 13:29:34.846,cf:e6:8b:14:96:06, 2015-1-1 0:8:14.480, -0.109, 0.832, 0.542, -1.038, 1.099, -0.61, 57.019, 5.944, 35.607, 17.458, -55.433, -50.158, 25.69, 0.84265, 0.43961, 0.18985, 0.24606,,,,
 13:29:34.935,cf:e6:8b:14:96:06, 2015-1-1 0:8:14.480, -0.104, 0.834, 0.558, -0.244, 1.099, -0.732, 57.025, 5.955, 36.612, 17.458, -55.433, -50.158, 25.69, 0.84265, 0.43961, 0.18985, 0.24606,,,,
 13:29:35.054,cf:e6:8b:14:96:06, 2015-1-1 0:8:14.480, -0.104, 0.841, 0.541, -2.38, -1.099, -0.61, 57.019, 5.966, 36.733, 17.383, -54.900, -50.550, 25.69, 0.84265, 0.43961, 0.18985, 0.24606,,,,
 13:29:35.118,cf:e6:8b:14:96:06, 2015-1-1 0:8:14.480, -0.102, 0.837, 0.542, -1.465, 0.793, -0.671, 57.025, 5.966, 36.771, 17.383, -54.900, -50.550, 25.69, 0.84052, 0.4379, 0.19376, 0.2532,,,,
 13:29:35.265,cf:e6:8b:14:96:06, 2015-1-1 0:8:14.780, -0.106, 0.825, 0.559, -2.258, 0, -0.732, 57.019, 5.96, 36.859, 17.383, -54.900, -50.550, 25.69, 0.84052, 0.4379, 0.19376, 0.2532,,,,
 13:29:35.324,cf:e6:8b:14:96:06, 2015-1-1 0:8:14.780, -0.103, 0.819, 0.546, -0.61, -0.061, -0.671, 56.992, 5.96, 37.062, 17.450, -55.533, -50.908, 25.69, 0.84052, 0.4379, 0.19376, 0.2532,,,,
 13:29:35.443,cf:e6:8b:14:96:06, 2015-1-1 0:8:15.080, -0.099, 0.826, 0.557, 0.671, 0.916, -0.305, 56.964, 5.966, 37.167, 17.450, -55.533, -50.908, 25.69, 0.83984, 0.43674, 0.19516, 0.25632,,,,
 13:29:35.534,cf:e6:8b:14:96:06, 2015-1-1 0:8:15.080, -0.101, 0.831, 0.55, 0.488, -0.122, -0.488, 56.942, 5.96, 37.167, 17.542, -55.467, -50.842, 25.69, 0.83984, 0.43674, 0.19516, 0.25632,,,,
 13:29:35.654,cf:e6:8b:14:96:06, 2015-1-1 0:8:15.285, -0.099, 0.832, 0.548, 0, 0, 0, 56.931, 5.955, 37.293, 17.542, -55.467, -50.842, 25.69, 0.83957, 0.43625, 0.19571, 0.25772,,,,
 13:29:35.744,cf:e6:8b:14:96:06, 2015-1-1 0:8:15.285, -0.1, 0.832, 0.556, 0, 0, 0, 56.926, 5.955, 37.452, 17.542, -55.467, -50.842, 25.69, 0.83957, 0.43625, 0.19571, 0.25772,,,,
 13:29:35.865,cf:e6:8b:14:96:06, 2015-1-1 0:8:15.285, -0.085, 0.813, 0.55, 0, 0, 0, 56.75, 5.933, 37.441, 17.717, -55.217, -51.233, 25.69, 0.83957, 0.43625, 0.19571, 0.25772,,,,
 13:29:35.927,cf:e6:8b:14:96:06, 2015-1-1 0:8:15.285, -0.161, 0.832, 0.555, 0, 0, 0, 56.788, 5.872, 37.441, 17.717, -55.217, -51.233, 25.69, 0.83984, 0.43533, 0.19507, 0.25885,,,,
 13:29:36.043,cf:e6:8b:14:96:06, 2015-1-1 0:8:15.585, -0.107, 0.843, 0.602, -8.484, -5.066, -4.517, 57.052, 5.312, 36.755, 17.717, -55.217, -51.233, 25.69, 0.83984, 0.43533, 0.19507, 0.25885,,,,
 13:29:36.134,cf:e6:8b:14:96:06, 2015-1-1 0:8:15.585, -0.083, 0.853, 0.556, -15.442, 7.568, -0.061, 56.157, 5.609, 37.04, 17.792, -55.300, -52.300, 25.69, 0.83984, 0.43533, 0.19507, 0.25885,,,,
 13:29:36.255,cf:e6:8b:14:96:06, 2015-1-1 0:8:15.880, -0.111, 0.806, 0.577, -0.305, 0.977, -1.343, 55.294, 5.806, 37.375, 17.792, -55.300, -52.300, 25.69, 0.84592, 0.42389, 0.19113, 0.26099,,,,
 13:29:36.346,cf:e6:8b:14:96:06, 2015-1-1 0:8:15.880, -0.124, 0.741, 0.582, -17.578, 2.625, 1.709, 53.652, 5.966, 37.315, 17.792, -55.300, -52.300, 25.69, 0.84592, 0.42389, 0.19113, 0.26099,,,,
 13:29:36.465,cf:e6:8b:14:96:06, 2015-1-1 0:8:15.880, -0.251, 0.833, 0.593, -14.709, 10.193, -2.93, 52.839, 6.625, 38.293, 17.658, -54.658, -54.392, 25.69, 0.84592, 0.42389, 0.19113, 0.26099,,,,
 13:29:36.527,cf:e6:8b:14:96:06, 2015-1-1 0:8:15.880, -0.128, 0.489, 0.786, 10.315, 7.507, -5.798, 50.834, 7.883, 40.073, 17.658, -54.658, -54.392, 25.69, 0.8569, 0.38086, 0.20383, 0.2811,,,,
 13:29:36.674,cf:e6:8b:14:96:06, 2015-1-1 0:8:16.180, -0.171, 0.792, 0.601, 28.931, -8.911, 2.319, 53.35, 7.987, 40.781, 17.658, -54.658, -54.392, 25.69, 0.8569, 0.38086, 0.20383, 0.2811,,,,
 13:29:36.735,cf:e6:8b:14:96:06, 2015-1-1 0:8:16.180, -0.108, 0.893, 0.679, -64.88, -17.273, -11.23, 52.383, 6.685, 37.793, 17.725, -54.000, -55.217, 25.69, 0.8569, 0.38086, 0.20383, 0.2811,,,,
 13:29:36.855,cf:e6:8b:14:96:06, 2015-1-1 0:8:16.480, -0.075, 1.021, 0.267, -19.714, -2.075, 3.174, 50.911, 6.91, 38.15, 17.725, -54.000, -55.217, 25.69, 0.86154, 0.38477, 0.19049, 0.27072,,,,
 13:29:36.944,cf:e6:8b:14:96:06, 2015-1-1 0:8:16.480, -0.127, 0.674, 0.695, 12.207, 0.793, 1.953, 49.845, 6.779, 38.232, 17.725, -54.000, -55.217, 25.69, 0.86154, 0.38477, 0.19049, 0.27072,,,,
 13:29:37.065,cf:e6:8b:14:96:06, 2015-1-1 0:8:16.480, -0.125, 0.789, 0.636, 0.793, -1.709, -0.366, 50.801, 6.784, 38.282, 18.058, -54.450, -53.725, 25.69, 0.85904, 0.38828, 0.19247, 0.27228,,,,
 13:29:37.155,cf:e6:8b:14:96:06, 2015-1-1 0:8:16.745, -0.116, 0.769, 0.64, 6.592, 2.319, -0.488, 51.125, 6.872, 38.463, 18.058, -54.450, -53.725, 25.69, 0.85904, 0.38828, 0.19247, 0.27228,,,,
 13:29:37.274,cf:e6:8b:14:96:06, 2015-1-1 0:8:16.745, -0.119, 0.772, 0.639, 7.69, 1.099, 1.16, 51.68, 6.96, 38.644, 17.833, -54.750, -53.625, 25.69, 0.85904, 0.38828, 0.19247, 0.27228,,,,
 13:29:37.334,cf:e6:8b:14:96:06, 2015-1-1 0:8:16.745, -0.112, 0.881, 0.568, 8.972, -0.244, -1.282, 53.157, 6.976, 38.804, 17.833, -54.750, -53.625, 25.69, 0.85098, 0.40344, 0.19974, 0.27026,,,,
 13:29:37.454,cf:e6:8b:14:96:06, 2015-1-1 0:8:16.985, -0.125, 0.747, 0.621, 3.845, -0.305, 0, 52.905, 7.075, 38.633, 17.833, -54.750, -53.625, 25.69, 0.85098, 0.40344, 0.19974, 0.27026,,,,
 13:29:37.544,cf:e6:8b:14:96:06, 2015-1-1 0:8:16.985, -0.107, 0.8, 0.599, 2.563, 3.113, 0.793, 53.448, 7.108, 38.705, 18.208, -54.850, -52.858, 25.69, 0.85098, 0.40344, 0.19974, 0.27026,,,,
 13:29:37.663,cf:e6:8b:14:96:06, 2015-1-1 0:8:17.280, -0.109, 0.796, 0.618, 4.333, -1.343, -1.221, 53.558, 7.103, 38.672, 18.208, -54.850, -52.858, 25.69, 0.85049, 0.405, 0.20117, 0.26843,,,,
