Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),ShiftX(),ShiftY(),ShiftZ()
 13:24:57.914,cf:e6:8b:14:96:06, 2015-1-1 0:3:39.480, 0.978, -0.032, 0.185, -0.549, -0.427, 0, -9.547, -79.091, 148.277, -51.992, -2.950, -69.217, 24.19, 0.26096, 0.59277, -0.23514, 0.72464,,,,
 13:24:58.004,cf:e6:8b:14:96:06, 2015-1-1 0:3:39.480, 0.984, -0.024, 0.189, 0.122, -0.916, 0, -9.58, -79.091, 148.304, -51.992, -2.950, -69.217, 24.19, 0.26096, 0.59277, -0.23514, 0.72464,,,,
 13:24:58.125,cf:e6:8b:14:96:06, 2015-1-1 0:3:39.480, 0.978, -0.036, 0.184, 0, -0.061, 0, -9.591, -79.091, 148.315, -52.058, -2.275, -69.992, 24.19, 0.26093, 0.59274, -0.23523, 0.72467,,,,
 13:24:58.214,cf:e6:8b:14:96:06, 2015-1-1 0:3:39.720, 0.974, -0.035, 0.186, 0.183, -0.061, 0, -9.63, -79.091, 148.354, -52.058, -2.275, -69.992, 24.19, 0.26093, 0.59274, -0.23523, 0.72467,,,,
 13:24:58.335,cf:e6:8b:14:96:06, 2015-1-1 0:3:39.720, 0.975, -0.033, 0.185, -1.526, 0, 0, -9.635, -79.091, 148.359, -52.142, -2.433, -69.508, 24.19, 0.26093, 0.59274, -0.23523, 0.72467,,,,
 13:24:58.395,cf:e6:8b:14:96:06, 2015-1-1 0:3:39.720, 0.98, -0.028, 0.186, -2.869, -1.099, 0, -9.651, -79.091, 148.37, -52.142, -2.433, -69.508, 24.19, 0.26093, 0.59274, -0.23532, 0.72464,,,,
 13:24:58.514,cf:e6:8b:14:96:06, 2015-1-1 0:3:39.985, 0.983, -0.036, 0.183, 0, 0, 0, -9.69, -79.091, 148.403, -52.142, -2.433, -69.508, 24.19, 0.26093, 0.59274, -0.23532, 0.72464,,,,
 13:24:58.604,cf:e6:8b:14:96:06, 2015-1-1 0:3:39.985, 0.981, -0.028, 0.183, 0, 0, 0, -9.728, -79.091, 148.436, -52.417, -2.475, -69.058, 24.19, 0.26093, 0.59274, -0.23532, 0.72464,,,,
 13:24:58.724,cf:e6:8b:14:96:06, 2015-1-1 0:3:40.285, 0.981, -0.037, 0.169, -0.244, -5.981, 0.732, -10.305, -79.459, 148.958, -52.417, -2.475, -69.058, 24.19, 0.26016, 0.59543, -0.23743, 0.72202,,,,
 13:24:58.814,cf:e6:8b:14:96:06, 2015-1-1 0:3:40.285, 0.979, -0.041, 0.171, 0.427, 0.854, 0, -10.635, -79.623, 149.156, -52.417, -2.475, -69.058, 24.19, 0.26016, 0.59543, -0.23743, 0.72202,,,,
